site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,rf_area_deg2
site2,A,2000432,211.90718194013098,227.85253068644755,29.436755688244826,-3.0314558728984333,67.66824646972657,-10.494869218963622,8.234126300821973,301.10571923851455
site2,A,2000457,216.28483225543133,219.72366730982733,30.91471306242417,-6.575194703266953,38.78675746972656,31.763179781036378,7.665369290765649,203.0046960133674
site2,A,2000465,217.344223631734,217.75648237268524,31.32329714664963,-7.3431618395201435,17.415986469726562,3.1124947810363777,7.965292297961884,249.91475973657947
site2,A,2000466,217.32152470417319,217.79863203463808,31.314357716771177,-7.329275931068123,14.161536469726563,-11.608210218963622,7.853217272648367,231.23520844388452
site2,A,2000473,218.20678287904502,216.15479521847712,31.654608757098103,-7.813067815812001,25.730896469726563,-10.468768218963623,8.922156752407034,485.10618127751775
site2,A,2000484,219.0524800658823,214.58441924171967,31.967528598046677,-8.211279538282117,30.60800646972656,-15.704070218963622,7.5752900660416325,190.71705670265604
site2,A,2000487,221.07106326682634,210.83611001805593,33.02980335119627,-9.689147113774352,31.873126469726564,-13.547700218963623,7.208655803461087,147.91820407236114
site2,A,2000492,219.99999815634953,212.82497192420232,32.38023891889023,-8.796668249902385,19.110206469726563,-10.880957218963623,6.635104520062553,99.39521670274823
site2,A,2000499,222.04776569272892,209.02247027802775,33.66000471914886,-10.579218185424923,38.04302746972656,2.841800781036377,10.085199574159466,1086.2945085211056
site2,A,2000500,221.57660081064512,209.89737683256325,33.368560697220246,-10.147007078738874,34.72996646972656,-8.019027218963622,8.017121147610004,259.05617230571306
site2,A,2000503,221.07073899643262,210.83671215608382,33.02958232692505,-9.688854432478097,28.958306469726562,-8.029004218963623,7.507588712223316,181.97402346598142
site2,A,2000504,221.59346287111885,209.86606565511258,33.37913176244865,-10.162461329589615,20.348566469726563,7.587595781036377,8.551813710879573,375.27742872154306
site2,A,2000505,222.2150892158915,208.7117670556325,33.76002163320457,-10.733222134026523,25.42530646972656,-12.097900218963623,7.541256949188199,186.2707000343344
site2,A,2000506,221.66188392419502,209.73901453122613,33.42187684409621,-10.225180392083598,47.378456469726565,-9.682302218963622,8.423129114319604,343.25314158767054
site2,A,2000509,220.998102428238,210.97159107433293,32.980142179464636,-9.623315493484995,24.149796469726564,-12.191260218963622,6.733689381283843,106.42471240695342
site2,A,2000510,221.75170682325714,209.57222229749846,33.47762935656995,-10.307543237901761,7.963916469726563,1.1319137810363773,9.62123650622551,787.5548017407626
site2,A,2000519,222.45926482236715,208.25835712062545,33.90395738971458,-10.957922532295377,62.170606469726565,9.658639781036378,8.570988827322816,380.2986025276157
site2,A,2000534,224.3176584488106,204.8075040827432,35.065214189032694,-12.66597566222226,19.275876469726562,-5.898068218963623,7.846905395403731,230.22575038215007
site2,A,2000543,226.03175175004594,201.62460246727548,36.29866238100593,-14.148031181203478,50.96724946972656,-6.9375582189636225,9.152349506072834,569.0255040091919
site2,A,2000547,226.51361755512272,200.72982535781935,36.60980537462362,-14.485685563973053,36.428866469726565,-10.479390218963623,7.826724789265551,227.02774182521435
site2,A,2000556,228.6914175193862,196.68586636245777,38.10746249465063,-15.646891890669062,34.76524646972656,-18.769000218963626,8.172371201883587,288.48874038979255
site2,A,2000558,228.03379716090998,197.9070022830345,37.62144883907162,-15.267778608011556,19.317586469726564,-12.218950218963622,8.38999142454458,335.45871739750424
site2,A,2000562,229.08929729248794,195.9470430022272,38.4035808406781,-15.91963956571694,19.222056469726564,-9.102466218963624,9.005334060256365,513.8965157024704
site2,A,2000565,229.32796030227024,195.50386941369442,38.57325396404575,-16.106504646691405,51.14990846972656,-8.642460218963622,9.757535841968554,865.5874921538349
site2,A,2000566,230.38897303054156,193.5336737864128,39.30332537294784,-16.999139226965223,35.75304646972656,-20.745550218963622,7.718091564298867,210.56058092748316
site2,A,2000572,230.43242526330081,193.4529872906745,39.33317317958768,-17.0371178842149,28.957436469726563,-22.00893021896362,10.017661835562059,1036.613114490199
site2,A,2000577,230.36789545494938,193.57281275822618,39.288878213646534,-16.980712124220936,37.05801646972656,-29.863590218963623,8.355900095363701,327.62464960471146
site2,A,2000578,230.32574030376497,193.65109070185292,39.26004514732147,-16.94384886495088,72.84978646972657,-15.053130218963622,10.26549366225248,1230.896431539964
site2,A,2000580,230.09583259461328,194.0780065636324,39.10379078289555,-16.743655721704286,25.722176469726563,-8.792238218963622,7.793436082040983,221.84928327389795
site2,A,2000581,231.29757867376168,191.8464830322432,39.958508854714694,-17.79520786460891,40.743758469726565,-1.5120442189636225,8.82817053026655,454.51072584439044
site2,A,2000582,230.13604212343532,194.0033414481731,39.13128851598793,-16.77786012402905,29.277236469726564,-2.389102918963623,10.286918274600362,1249.312149816447
site2,A,2000583,230.86500196853126,192.64973516145886,39.6388073814622,-17.41621888862394,25.911096469726562,-14.671080218963622,8.775296049485446,438.15455581002993
site2,A,2000598,231.27325839423222,191.89164338433554,39.93977656907202,-17.773912480269153,31.965996469726562,-22.318740218963626,8.632006286625451,396.7279654119354
site2,A,2000600,232.415338720935,189.77091325007953,40.825579684541886,-18.76619254246687,30.35959646972656,-21.056920218963626,8.556209752140301,376.4226818940742
site2,A,2000602,232.0388607938192,190.46999550046885,40.54079155751903,-18.44066338952955,34.08799646972656,-4.434801218963623,9.47116386918372,709.7483939744329
site2,A,2000613,232.99999824082292,188.68525838577978,41.25347151924636,-19.26781841917193,41.751207469726566,-8.923575218963624,10.497978630295275,1446.1270893899139
site2,A,2000617,234.4994245414117,185.9009721447804,42.229976298109094,-20.53165217898014,41.02671246972656,-19.039900218963624,7.447944892352945,174.60425325451365
site2,A,2000619,235.3490129729737,184.32337051168818,42.853458838460895,-21.19251014684594,35.327936469726566,-16.495760218963625,7.029067667153756,130.60512205095318
site2,A,2000632,237.80633401662894,179.76036853627872,44.86214511386146,-22.56594477144386,39.73915246972656,-15.265630218963622,9.848431260666707,921.8775091087416
site2,A,2000638,236.65938963402027,181.8901307409532,43.9133284235339,-21.988441887503775,42.73283246972656,-19.454450218963622,11.122872170525211,2230.068284256601
site2,A,2000649,237.89518410450987,179.5953827166347,44.935701203236746,-22.617449116985583,41.25797446972656,-17.51361021896362,11.557969467342419,3015.056803512099
site2,B,2000754,146.41437445359682,379.00000004738945,24.7876682396695,34.68503627718337,38.10084246972656,-5.926259218963622,9.839120568149703,915.9471632805569
site2,B,2001004,234.66718073340655,357.7825998826876,61.8780650850302,33.904835043843676,52.99663546972656,34.01655978103638,7.134348416039066,140.49241333634484
site2,B,2001012,237.28358724351196,357.15357349521577,62.834291007566016,33.031915036185765,65.17570646972656,37.24128978103638,6.398295648859667,84.34880058561069
site2,B,2001039,244.2661124010512,355.474861659607,65.00163543018081,30.49786108812997,67.54463646972656,19.011309781036374,7.672783229580061,204.05061230992177
site2,B,2001047,245.75542757436136,355.1168062352469,65.37859673663418,30.036800099677343,60.13995646972656,35.11534978103638,7.269991383882042,154.3424801716598
site2,B,2001051,246.78302395177056,354.8697554674995,65.62221339223576,29.714571384069956,59.05282646972656,25.951699781036375,7.076700209560676,134.9892030624592
site2,B,2001057,249.2330873266524,354.2807206566525,66.22247590283287,28.945916803274375,60.61447646972656,32.32209978103638,8.693013428017837,413.8641368893445
site2,B,2001068,253.63807119259639,353.22169138220124,67.58256547635466,27.81656179822987,61.51815646972656,35.57060978103638,7.24666062067456,151.8665808301987
site2,B,2001072,252.62524359822106,353.4651914959492,67.24610490499717,28.028782927378487,64.14288646972656,29.15617978103638,7.081118804985129,135.4032732543096
site2,B,2001075,252.77137681981935,353.4300587090079,67.29437696754863,27.995224022627994,58.986576469726565,37.01468978103638,7.025758083420778,130.3058535577968
site2,B,2001084,256.94705589655325,352.4261580098104,68.7866283773137,27.21476786616946,64.71305646972657,30.473079781036375,7.108016222754509,137.95139378670703
site2,B,2001104,263.68783939495916,350.805564773876,70.91490815506351,24.964110163519663,80.70612646972657,6.7893627810363775,10.69122502568873,1653.4056719479943
site2,B,2001107,261.53315168075466,351.3235865047351,70.37953435886101,25.840446017265375,67.84273646972656,28.340109781036375,8.983034112579503,506.0142181524934
site2,B,2001108,263.2222340772072,350.91750381312005,70.80915970481897,25.161165587345856,70.72902646972656,25.903369781036375,8.394069253162959,336.4082446447212
