ecephys_session_id,null_repeat,real_residual_full_minimum_loss,null_residual_full_minimum_loss,real_residual_physical_half_difference_deg,null_residual_physical_half_difference_deg
742951821,0,1.3781428237730162,1.8190855344506014,20.0,13.416407864998739
742951821,1,1.3781428237730162,1.777629520980528,20.0,10.770329614269007
742951821,2,1.3781428237730162,1.749701511203202,20.0,27.85677655436824
742951821,3,1.3781428237730162,1.8571125273266011,20.0,29.120439557122072
742951821,4,1.3781428237730162,1.6940655345038007,20.0,27.784887978899608
742951821,5,1.3781428237730162,1.709055112902258,20.0,8.94427190999916
742951821,6,1.3781428237730162,1.7766803893932392,20.0,15.231546211727817
742951821,7,1.3781428237730162,1.8394464768946055,20.0,10.198039027185569
742951821,8,1.3781428237730162,1.647177949933551,20.0,18.973665961010276
742951821,9,1.3781428237730162,1.8105468882527753,20.0,20.0
742951821,10,1.3781428237730162,1.7874282587743116,20.0,10.770329614269007
742951821,11,1.3781428237730162,1.7868419694256357,20.0,18.110770276274835
742951821,12,1.3781428237730162,1.6901308590502913,20.0,12.649110640673518
742951821,13,1.3781428237730162,1.8157443697408397,20.0,21.2602916254693
742951821,14,1.3781428237730162,1.8215334149168083,20.0,8.48528137423857
742951821,15,1.3781428237730162,1.8532075101909087,20.0,6.324555320336759
742951821,16,1.3781428237730162,1.820712157683442,20.0,20.0
742951821,17,1.3781428237730162,1.747547148998921,20.0,12.806248474865697
742951821,18,1.3781428237730162,1.820332127077984,20.0,10.0
742951821,19,1.3781428237730162,1.537660414287003,20.0,15.231546211727817
742951821,20,1.3781428237730162,1.7938730080510235,20.0,17.88854381999832
742951821,21,1.3781428237730162,1.7636723548104192,20.0,8.94427190999916
742951821,22,1.3781428237730162,1.7285345993256784,20.0,8.94427190999916
742951821,23,1.3781428237730162,1.8184859852519948,20.0,27.784887978899608
742951821,24,1.3781428237730162,1.7782788519541937,20.0,15.620499351813308
742951821,25,1.3781428237730162,1.7842311784893081,20.0,22.360679774997898
742951821,26,1.3781428237730162,1.6914771825326753,20.0,6.324555320336759
742951821,27,1.3781428237730162,1.6679342432880584,20.0,21.633307652783937
742951821,28,1.3781428237730162,1.6763544585191237,20.0,10.770329614269007
742951821,29,1.3781428237730162,1.8218958415457418,20.0,15.231546211727817
742951821,30,1.3781428237730162,1.7976464229051472,20.0,25.059928172283335
742951821,31,1.3781428237730162,1.7839377309480031,20.0,17.88854381999832
742951821,32,1.3781428237730162,1.757797478096118,20.0,14.422205101855956
742951821,33,1.3781428237730162,1.7976557219255465,20.0,18.110770276274835
742951821,34,1.3781428237730162,1.7963649855924033,20.0,16.1245154965971
742951821,35,1.3781428237730162,1.7426490379764976,20.0,23.323807579381203
742951821,36,1.3781428237730162,1.7727387813326299,20.0,27.85677655436824
742951821,37,1.3781428237730162,1.804076876576701,20.0,33.52610922848042
742951821,38,1.3781428237730162,1.7964835288740402,20.0,28.284271247461902
742951821,39,1.3781428237730162,1.790993040382094,20.0,19.697715603592208
742951821,40,1.3781428237730162,1.7461910927766353,20.0,16.1245154965971
742951821,41,1.3781428237730162,1.7713065477816219,20.0,16.1245154965971
742951821,42,1.3781428237730162,1.820243121218725,20.0,15.620499351813308
742951821,43,1.3781428237730162,1.8368857888264805,20.0,8.94427190999916
742951821,44,1.3781428237730162,1.7567953617201884,20.0,20.396078054371138
742951821,45,1.3781428237730162,1.6779177679791681,20.0,25.059928172283335
742951821,46,1.3781428237730162,1.77105760562784,20.0,22.0
742951821,47,1.3781428237730162,1.781545274976979,20.0,22.80350850198276
742951821,48,1.3781428237730162,1.8308154056367836,20.0,7.211102550927978
742951821,49,1.3781428237730162,1.7374432880047948,20.0,13.416407864998739
742951821,50,1.3781428237730162,1.7825501202165044,20.0,21.633307652783937
742951821,51,1.3781428237730162,1.7771266416256688,20.0,20.09975124224178
742951821,52,1.3781428237730162,1.8333024590633347,20.0,12.165525060596439
742951821,53,1.3781428237730162,1.7792174554077311,20.0,18.973665961010276
742951821,54,1.3781428237730162,1.7826754658047206,20.0,8.246211251235321
742951821,55,1.3781428237730162,1.8667630174368006,20.0,22.360679774997898
742951821,56,1.3781428237730162,1.79579707962772,20.0,14.142135623730951
742951821,57,1.3781428237730162,1.7584320947420033,20.0,17.88854381999832
742951821,58,1.3781428237730162,1.657541439234341,20.0,18.439088914585774
742951821,59,1.3781428237730162,1.6426510985757892,20.0,18.439088914585774
742951821,60,1.3781428237730162,1.7956145490163966,20.0,10.0
742951821,61,1.3781428237730162,1.7628433893950572,20.0,32.984845004941285
742951821,62,1.3781428237730162,1.7435562548747332,20.0,16.1245154965971
742951821,63,1.3781428237730162,1.8335255611468353,20.0,6.324555320336759
742951821,64,1.3781428237730162,1.761778895719389,20.0,4.0
742951821,65,1.3781428237730162,1.7624600167710158,20.0,12.165525060596439
742951821,66,1.3781428237730162,1.7933937372889803,20.0,34.17601498127012
742951821,67,1.3781428237730162,1.7694205148902171,20.0,15.231546211727817
742951821,68,1.3781428237730162,1.7326993638316655,20.0,13.416407864998739
742951821,69,1.3781428237730162,1.7975340325312887,20.0,6.324555320336759
742951821,70,1.3781428237730162,1.7657799460824872,20.0,18.439088914585774
742951821,71,1.3781428237730162,1.751363036199189,20.0,34.23448553724738
742951821,72,1.3781428237730162,1.7684664184879975,20.0,19.697715603592208
742951821,73,1.3781428237730162,1.7976740861733833,20.0,15.620499351813308
742951821,74,1.3781428237730162,1.5546701063902337,20.0,13.416407864998739
742951821,75,1.3781428237730162,1.785550006546737,20.0,12.649110640673518
742951821,76,1.3781428237730162,1.6925362875674903,20.0,16.1245154965971
742951821,77,1.3781428237730162,1.8507140628623997,20.0,10.198039027185569
742951821,78,1.3781428237730162,1.7739481942858286,20.0,13.416407864998739
742951821,79,1.3781428237730162,1.7783708891458796,20.0,32.55764119219941
742951821,80,1.3781428237730162,1.7541774695311445,20.0,12.165525060596439
742951821,81,1.3781428237730162,1.6855119711359108,20.0,11.313708498984761
742951821,82,1.3781428237730162,1.7946277425845678,20.0,16.492422502470642
742951821,83,1.3781428237730162,1.7578104505171341,20.0,21.633307652783937
742951821,84,1.3781428237730162,1.7562092592309089,20.0,12.806248474865697
742951821,85,1.3781428237730162,1.7684020143152461,20.0,17.08800749063506
742951821,86,1.3781428237730162,1.7665833379261286,20.0,15.231546211727817
742951821,87,1.3781428237730162,1.7747534118379735,20.0,22.090722034374522
742951821,88,1.3781428237730162,1.7901346587320817,20.0,14.142135623730951
742951821,89,1.3781428237730162,1.7647497947278683,20.0,22.090722034374522
742951821,90,1.3781428237730162,1.7902174608188792,20.0,21.2602916254693
742951821,91,1.3781428237730162,1.6771554874291004,20.0,8.94427190999916
742951821,92,1.3781428237730162,1.8022230420823315,20.0,18.0
742951821,93,1.3781428237730162,1.7933636650156426,20.0,16.97056274847714
