ecephys_session_id,v1_units,selected_shank_bandwidth_um,cross_fitted_mse,cross_fitted_units,shank_prediction_variance_explained,raw_trace_vs_shank_spearman,ccf_units,ccf_pc_vs_probe_vertical_rho,ccf_pc_vs_raw_trace_rho
715093703,93,40.0,0.0552958327731997,93,0.06968794554962154,-0.3473165278245694,93,0.9995704707912816,-0.3483256055701273
719161530,83,400.0,0.0717540848624742,80,-0.026038653022341096,-0.15730239607570565,80,0.9989785192912329,-0.15538253438526636
721123822,58,80.0,0.06885703572967654,56,0.07722445442985115,-0.10628076756067839,56,0.9995549240582724,-0.10315522507297938
732592105,154,120.0,0.2971246304349998,152,0.150774924943066,-0.28240435498215116,0,,
737581020,85,40.0,0.031157643871823324,83,0.032121836043250585,-0.1749685555055681,0,,
739448407,40,180.0,0.016187255216791676,40,-0.021371282936404112,0.5257826097572089,0,,
742951821,81,120.0,0.4512319855730972,81,0.05493069458041577,-0.2313929748065064,0,,
744228101,56,60.0,0.009082571719269851,53,-0.03310890225472085,0.08196392925004682,55,0.9985705101758483,0.04915845648632445
746083955,45,120.0,0.5613672863793818,44,0.0347131471645874,-0.6199504828942791,0,,
750332458,103,80.0,0.17987905389418613,103,0.1055661345978205,-0.4252753847074975,0,,
750749662,92,60.0,0.18995879487267459,90,0.03831202707574588,-0.3279289136417874,91,0.9993342806803531,-0.3481856538173737
751348571,74,120.0,0.08166809238871521,72,0.07991479784074007,-0.06503493989652877,72,0.9993478863984885,-0.0658451544988283
754312389,144,250.0,0.21310603390703445,143,-0.007666657675642563,0.025395285001485093,143,0.9996632339629407,0.023394670547057406
754829445,141,40.0,0.25199145763610487,140,0.15698906443307992,-0.3649461208196664,140,0.8398003995573896,-0.5071228142680024
755434585,142,80.0,0.31725313193001187,142,0.0666075523321632,-0.36435288760063217,142,0.9995878919766455,-0.3614902478663005
756029989,90,400.0,0.014117790343197581,90,-0.022464640420011506,-0.22670017963710068,90,0.9994478393203629,-0.22845262987355472
757216464,150,120.0,0.2404294051528255,148,0.0822204361213612,-0.5427247494288421,148,0.9995470827591981,-0.5395573398765988
757970808,150,40.0,0.1258576709795874,148,0.10378585784587868,-0.5235653814443122,148,0.9995563781532719,-0.5241977166978156
758798717,83,80.0,0.20672667026637553,83,0.180964053633472,-0.47688127434520217,83,0.9996218447537552,-0.47161960071949716
759883607,92,180.0,0.3353419488210045,90,0.023058991028092723,-0.27869049482557756,90,0.9995219372805264,-0.2800397394115485
760345702,92,80.0,0.025564081012324765,90,-0.014415290644656187,0.23940283983747815,90,0.9993199675270834,0.23228907279152347
760693773,154,120.0,0.10454694385948657,154,0.0480223101043491,-0.27967836291195186,0,,
761418226,58,40.0,0.28846948132607525,57,0.014774234813259235,-0.31377417427101256,57,0.9993343884972173,-0.3165491878668074
762120172,128,250.0,0.2573902761808655,127,-0.013217829443946227,-0.12028988412999211,0,,
