ecephys_session_id,component,target_subset,shift_azimuth_deg,shift_elevation_deg,minimum_loss,at_bound,basin_grid_points_delta_005,physical_half_vector_difference_deg
742951821,raw_covariance_trace,full,-12.0,-2.0,1.6909435461270224,False,96,0.0
742951821,raw_covariance_trace,physical_half_0,-10.0,-4.0,1.47301724351857,False,94,0.0
742951821,raw_covariance_trace,physical_half_1,-10.0,-4.0,1.8612849913234761,False,92,0.0
742951821,shank_predicted_trace,full,-30.0,-30.0,1.7930187457333948,True,328,2.0
742951821,shank_predicted_trace,physical_half_0,-30.0,-28.0,1.3843007376283727,True,212,2.0
742951821,shank_predicted_trace,physical_half_1,-30.0,-30.0,2.502975653331823,True,326,2.0
742951821,shank_residual_trace,full,-22.0,6.0,1.3781428237730162,False,78,20.0
742951821,shank_residual_trace,physical_half_0,-12.0,4.0,1.6905931711900453,False,35,20.0
742951821,shank_residual_trace,physical_half_1,-24.0,-12.0,0.1150282452053975,False,66,20.0
762602078,raw_covariance_trace,full,20.0,30.0,0.2943436130775594,True,41,69.33974329343886
762602078,raw_covariance_trace,physical_half_0,20.0,30.0,0.32810588071775537,True,41,69.33974329343886
762602078,raw_covariance_trace,physical_half_1,-18.0,-28.0,0.1469054464739822,False,184,69.33974329343886
762602078,shank_predicted_trace,full,-30.0,6.0,0.7532822035211426,True,54,4.0
762602078,shank_predicted_trace,physical_half_0,-30.0,6.0,0.5416701546431515,True,45,4.0
762602078,shank_predicted_trace,physical_half_1,-30.0,10.0,0.6186931355019493,True,72,4.0
762602078,shank_residual_trace,full,16.0,-6.0,1.244757275279021,False,49,10.0
762602078,shank_residual_trace,physical_half_0,14.0,-6.0,1.7838249710090943,False,31,10.0
762602078,shank_residual_trace,physical_half_1,8.0,-14.0,0.339395106448567,False,52,10.0
715093703,raw_covariance_trace,full,-14.0,24.0,0.06910164240184213,False,144,34.52535300326414
715093703,raw_covariance_trace,physical_half_0,10.0,16.0,0.03090946525036935,False,305,34.52535300326414
715093703,raw_covariance_trace,physical_half_1,-24.0,10.0,0.19371896436990899,False,81,34.52535300326414
715093703,shank_predicted_trace,full,-30.0,30.0,0.07192567036085704,True,734,62.0966987850401
715093703,shank_predicted_trace,physical_half_0,-14.0,-30.0,0.02167251081998398,True,859,62.0966987850401
715093703,shank_predicted_trace,physical_half_1,-30.0,30.0,0.544592868504418,True,45,62.0966987850401
715093703,shank_residual_trace,full,-6.0,26.0,0.3771542086859788,False,30,19.79898987322333
