unit_id,site,site_number,subject_id,probe,pilot_qc,default_qc,rf_baseline_spikes,rf_amplitude_spikes,rf_center_x_deg,rf_center_y_deg,rf_sigma_major_deg,rf_sigma_minor_deg,rf_theta_deg,rf_deviance,rf_null_deviance,rf_pseudo_r2,rf_lrt_p,rf_fit_success,rf_fit_evaluations,rf_center_on_screen,rf_split_half_r,rf_split_half_spearman_brown,rf_reliability_p,rf_presentations,rf_position_cells,rf_lrt_q,rf_reliability_q,rf_model_supported,supported_rf_center_x_deg,supported_rf_center_y_deg,azimuth_deg,elevation_deg,rf_area_deg2,log2_rf_area,inferred_row,inferred_col
2000509,site2,2,816305,A,True,True,2.864464,9.221073,-23.679,-10.66574,6.14435,5.513364,70.67457,587.49,1686.902,0.6517343,2.795971e-234,True,15,True,0.8724609,0.9318869,1.385239e-26,4860,81,2.9474199999999997e-233,1.265677e-25,True,-23.679,-10.66574,24.149796469726564,-12.191260218963622,106.42471240695342,6.733689381283843,202,209
2000510,site2,2,816305,A,True,True,8.086281,5.49533,-39.86488,2.657434,20.68768,12.11767,75.16337,559.5193,1395.292,0.5989949,2.866565e-177,True,22,True,0.8770385,0.9344918,3.5824199999999995e-27,4860,81,2.4783419999999998e-176,3.3692979999999996e-26,True,-39.86488,2.657434,7.963916469726563,1.1319137810363773,787.5548017407626,9.62123650622551,232,173
2000519,site2,2,816305,A,True,True,0.4626887,0.4876026,14.34181,11.18416,22.86042,5.295301,-61.09041,220.7056,297.4427,0.2579895,1.683828e-14,True,18,True,0.6048896,0.7538084,1.110852e-09,4860,81,4.372858e-14,4.135364e-09,True,14.34181,11.18416,62.170606469726565,9.658639781036378,380.2986025276157,8.570988827322816,270,245
2000534,site2,2,816305,A,True,True,0.004724207,0.1483118,-28.55292,-4.372548,10.61412,6.904306,20.09979,69.60864,171.6564,0.5944885,9.378716e-20,True,17,True,0.511938,0.6771945,5.17448e-07,4860,81,2.6755779999999996e-19,1.659009e-06,True,-28.55292,-4.372548,19.275876469726562,-5.898068218963623,230.22575038215007,7.846905395403731,217,199
2000543,site2,2,816305,A,True,True,9.044323,1.746878,3.138453,-5.412038,22.18724,8.163541,-68.88673,164.8727,245.1607,0.3274912,3.115513e-15,True,20,True,0.6013574,0.7510596,1.455206e-09,4860,81,8.201683e-15,5.375648e-09,True,3.138453,-5.412038,50.96724946972656,-6.9375582189636225,569.0255040091919,9.152349506072834,227,242
2000547,site2,2,816305,A,True,True,4.534076,5.000908,-11.39993,-8.95387,9.215589,7.841623,81.9627,230.5249,762.6532,0.697733,1.00467e-111,True,24,True,0.864492,0.9273218,1.293969e-25,4860,81,6.482482e-111,1.12456e-24,True,-11.39993,-8.95387,36.428866469726565,-10.479390218963623,227.02774182521435,7.826724789265551,211,225
2000556,site2,2,816305,A,True,True,0.7566795,2.464832,-13.06355,-17.24348,11.48737,7.993894,-65.16838,182.6354,894.3987,0.795801,1.76431e-150,True,19,True,0.8386037,0.912218,7.656123000000001e-23,4860,81,1.370119e-149,5.6521240000000005e-22,True,-13.06355,-17.24348,34.76524646972656,-18.769000218963626,288.48874038979255,8.172371201883587,189,225
2000558,site2,2,816305,A,True,True,3.908751,1.840619,-28.51121,-10.69343,14.25288,7.491807,-18.04219,412.9286,542.6028,0.2389856,1.505245e-25,True,18,True,0.8049781,0.8919533,6.776464999999999e-20,4860,81,4.680281e-25,4.2683739999999997e-19,True,-28.51121,-10.69343,19.317586469726564,-12.218950218963622,335.45871739750424,8.38999142454458,200,202
2000562,site2,2,816305,A,True,True,1.434809,3.988878,-28.60674,-7.576946,14.87905,10.99387,-75.12466,217.8383,1800.863,0.8790367,0.0,True,14,True,0.956854,0.9779513,1.8454649999999998e-44,4860,81,0.0,4.3907460000000005e-43,True,-28.60674,-7.576946,19.222056469726564,-9.102466218963624,513.8965157024704,9.005334060256365,207,200
2000565,site2,2,816305,A,True,True,1.53729,1.029674,3.321112,-7.11694,20.12692,13.68938,21.57736,244.4247,419.4815,0.417317,3.802792e-35,True,25,True,0.6270898,0.7708115,1.881898e-10,4860,81,1.363164e-34,7.329337e-10,True,3.321112,-7.11694,51.14990846972656,-8.642460218963622,865.5874921538349,9.757535841968554,221,243
2000566,site2,2,816305,A,True,True,0.5685581,0.4109118,-12.07575,-19.22003,8.90858,7.523479,15.09138,99.01582,127.8876,0.2257588,6.433281e-05,True,31,True,0.2710924,0.4265502,0.00718384,4860,81,0.0001098181,0.01590306,True,-12.07575,-19.22003,35.75304646972656,-20.745550218963622,210.56058092748316,7.718091564298867,184,226
2000572,site2,2,816305,A,True,True,0.9967036,2.439019,-18.87136,-20.48341,23.85065,13.8346,13.35549,122.4016,1385.343,0.9116452,1.139888e-269,True,8,True,0.9363117,0.9671084,5.948988999999999e-38,4860,81,1.343001e-268,9.996797e-37,True,-18.87136,-20.48341,28.957436469726563,-22.00893021896362,1036.613114490199,10.017661835562059,179,217
2000577,site2,2,816305,A,True,True,1.257656,3.158497,-10.77078,-28.33807,13.43133,7.764396,-7.015015,148.6148,996.5061,0.8508641,6.8926470000000005e-180,True,21,True,0.9156791,0.9559838,2.5950180000000003e-33,4860,81,6.057212e-179,3.426279e-32,True,-10.77078,-28.33807,37.05801646972656,-29.863590218963623,327.62464960471146,8.355900095363701,159,228
2000578,site2,2,816305,A,True,True,0.6018012,0.2696682,25.02099,-13.52761,40.71648,9.622799,-75.50302,150.8702,193.8379,0.2216681,1.183738e-07,True,20,True,0.3401323,0.50761,0.00094562,4860,81,2.426536e-07,0.002352303,True,25.02099,-13.52761,72.84978646972657,-15.053130218963622,1230.896431539964,10.26549366225248,203,272
2000580,site2,2,816305,A,True,True,1.048598,4.534858,-22.10662,-7.266718,11.20161,6.304167,68.81846,500.3198,1760.839,0.7158629,3.811721e-269,True,18,True,0.8775664,0.9347913,3.054576e-27,4860,81,4.4799380000000005e-268,2.889822e-26,True,-22.10662,-7.266718,25.722176469726563,-8.792238218963622,221.84928327389795,7.793436082040983,211,210
