stimulus_presentation_id,stimulus_block,start_time,stop_time,color,phase,y_position,contrast,temporal_frequency,size,orientation,spatial_frequency,frame,stimulus_name,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1539,0.0,469.39521,469.64541,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,20.0,0.25020709,119,,,0,,False,7,train,1
1540,0.0,469.64541,469.89562,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-40.0,0.25020709,98,,,0,,False,8,test,2
1541,0.0,469.89562,470.14584,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-20.0,0.25022291,22,,,0,,False,8,test,1
1542,0.0,470.14584,470.39607,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,30.0,0.25022291,72,,,0,,False,5,test,2
1543,0.0,470.39607,470.64629,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25022291,95,,,0,,False,9,train,0
1544,0.0,470.64629,470.89651,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,0.0,0.25022291,180,,,0,,False,4,train,0
1545,0.0,470.89651,471.1467,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25019209,20,,,0,,False,5,test,0
1546,0.0,471.1467,471.3969,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25019209,225,,,0,,False,5,test,1
1547,0.0,471.3969,471.64709,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,40.0,0.25019209,26,,,0,,False,10,train,0
1548,0.0,471.64709,471.89728,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25019209,167,,,0,,False,5,test,2
1549,0.0,471.89728,472.14749,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,40.0,0.25020791,91,,,0,,False,7,train,2
1550,0.0,472.14749,472.3977,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,40.0,0.25020791,138,,,0,,False,5,test,1
1551,0.0,472.3977,472.6479,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-20.0,0.25020791,240,,,0,,False,5,test,2
1552,0.0,472.6479,472.89811,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25020791,107,,,0,,False,7,train,2
1553,0.0,472.89811,473.14833,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-30.0,0.25021459,128,,,0,,False,6,train,1
1554,0.0,473.14833,473.39854,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,40.0,0.25021459,173,,,0,,False,4,train,1
1555,0.0,473.39854,473.64875,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,10.0,0.25021459,203,,,0,,False,3,train,1
1556,0.0,473.64875,473.89897,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,30.0,0.25021459,121,,,0,,False,5,test,1
1557,0.0,473.89897,474.14918,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-30.0,0.25021291,191,,,0,,False,5,test,0
1558,0.0,474.14918,474.3994,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,30.0,0.25021291,122,,,0,,False,6,train,2
1559,0.0,474.3994,474.64961,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,40.0,0.25021291,37,,,0,,False,9,train,1
1560,0.0,474.64961,474.89982,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,40.0,0.25021291,241,,,0,,False,5,test,2
1561,0.0,474.89982,475.15003,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-40.0,0.25020459,55,,,0,,False,6,train,2
1562,0.0,475.15003,475.40023,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25020459,195,,,0,,False,5,test,1
1563,0.0,475.40023,475.65043,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25020459,68,,,0,,False,6,train,1
1564,0.0,475.65043,475.90064,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,30.0,0.25020459,141,,,0,,False,8,test,2
1565,0.0,475.90064,476.15084,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25020541,90,,,0,,False,7,train,0
1566,0.0,476.15084,476.40105,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-10.0,0.25020541,198,,,0,,False,3,train,1
1567,0.0,476.40105,476.65126,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,0.0,0.25020541,7,,,0,,False,6,train,1
1568,0.0,476.65126,476.90146,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,20.0,0.25020541,41,,,0,,False,8,test,2
1569,0.0,476.90146,477.15168,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,20.0,0.25021459,143,,,0,,False,3,train,2
1570,0.0,477.15168,477.40189,null,"[3644.93333333, 3644.93333333]",40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-40.0,0.25021459,222,,,0,,False,3,train,0
1571,0.0,477.40189,477.6521,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-20.0,0.25021459,57,,,0,,False,8,test,2
1572,0.0,477.6521,477.90232,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-10.0,0.25021459,201,,,0,,False,8,test,0
1573,0.0,477.90232,478.15254,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,20.0,0.25022041,230,,,0,,False,4,train,1
1574,0.0,478.15254,478.40276,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,40.0,0.25022041,190,,,0,,False,8,test,2
1575,0.0,478.40276,478.65298,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-10.0,0.25022041,105,,,0,,False,5,test,0
1576,0.0,478.65298,478.9032,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,20.0,0.25022041,112,,,0,,False,6,train,0
1577,0.0,478.9032,479.1534,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,-40.0,0.25019459,209,,,0,,False,5,test,1
1578,0.0,479.1534,479.40359,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,40.0,0.25019459,18,,,0,,False,3,train,1
1579,0.0,479.40359,479.65378,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,30.0,0.25019459,71,,,0,,False,4,train,1
1580,0.0,479.65378,479.90398,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25019459,20,,,0,,False,6,train,0
1581,0.0,479.90398,480.1542,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",45.0,0.08,null,gabors,10.0,0.25021791,203,,,0,,False,4,train,1
1582,0.0,480.1542,480.40442,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25021791,133,,,0,,False,3,train,2
1583,0.0,480.40442,480.65463,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-20.0,0.25021791,213,,,0,,False,4,train,2
1584,0.0,480.65463,480.90485,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,20.0,0.25021791,45,,,0,,False,6,train,2
1585,0.0,480.90485,481.15505,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-30.0,0.25020209,223,,,0,,False,4,train,0
1586,0.0,481.15505,481.40526,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,10.0,0.25020209,77,,,0,,False,9,train,0
1587,0.0,481.40526,481.65546,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25020209,34,,,0,,False,8,test,2
1588,0.0,481.65546,481.90566,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,20.0,0.25020209,42,,,0,,False,6,train,0
1589,0.0,481.90566,482.15587,null,"[3644.93333333, 3644.93333333]",0.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-30.0,0.25021291,142,,,0,,False,6,train,2
1590,0.0,482.15587,482.40609,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-20.0,0.25021291,52,,,0,,False,5,test,2
1591,0.0,482.40609,482.6563,null,"[3644.93333333, 3644.93333333]",30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,40.0,0.25021291,190,,,0,,False,9,train,2
1592,0.0,482.6563,482.90651,null,"[3644.93333333, 3644.93333333]",20.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-10.0,0.25021291,113,,,0,,False,5,test,2
1593,0.0,482.90651,483.15672,null,"[3644.93333333, 3644.93333333]",10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,40.0,0.25020709,91,,,0,,False,8,test,2
1594,0.0,483.15672,483.40693,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,0.0,0.25020709,34,,,0,,False,9,train,2
1595,0.0,483.40693,483.65713,null,"[3644.93333333, 3644.93333333]",-30.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,-30.0,0.25020709,73,,,0,,False,8,test,2
1596,0.0,483.65713,483.90734,null,"[3644.93333333, 3644.93333333]",-20.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-10.0,0.25020709,188,,,0,,False,8,test,0
1597,0.0,483.90734,484.15755,null,"[3644.93333333, 3644.93333333]",-40.0,0.8,4.0,"[20.0, 20.0]",0.0,0.08,null,gabors,-40.0,0.25021041,46,,,0,,False,9,train,0
1598,0.0,484.15755,484.40776,null,"[3644.93333333, 3644.93333333]",-10.0,0.8,4.0,"[20.0, 20.0]",90.0,0.08,null,gabors,30.0,0.25021041,126,,,0,,False,3,train,2
