ecephys_session_id,structure_group,units,areas,valid_mean_map,valid_dispersion,median_rf_effective_n,censored_fraction
754829445,HVA,119,3,119,118,27.806414771437787,0.3949579831932773
754829445,LGd,43,1,43,41,12.402176575330387,0.6511627906976745
754829445,V1,141,1,141,140,94.11063776388602,0.2907801418439716
755434585,HVA,283,4,283,283,80.57714838798627,0.19081272084805653
755434585,LGd,19,1,19,18,9.578571445278795,0.42105263157894735
755434585,V1,142,1,142,142,127.3218714312783,0.24647887323943662
760345702,HVA,247,4,247,247,107.90590764691629,0.15789473684210525
760345702,LGd,20,1,20,20,14.918652993422079,0.65
760345702,V1,92,1,92,90,83.78431546835151,0.2826086956521739
