session_id,ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,released_azimuth_rf_deg,released_elevation_rf_deg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,axis_center_x_deg,axis_center_y_deg,axis_sigma_x_deg,axis_sigma_y_deg,axis_area_deg2,axis_train_deviance,axis_test_deviance,axis_optimizer_nfev,axis_censored,axis_edge_distance_deg,rotation_center_x_deg,rotation_center_y_deg,rotation_sigma_major_deg,rotation_sigma_minor_deg,rotation_angle_deg,rotation_axis_ratio,rotation_area_deg2,rotation_train_deviance,rotation_test_deviance,rotation_optimizer_nfev,rotation_test_gain,rotation_train_gain,rotation_sigma_lower_bound,rotation_sigma_upper_bound,axis_parameters,rotation_parameters,model_elapsed_seconds
839557629,951125801,HVA,VISam,evaluation,aperture,15,-5,400,1879.0466,294.62898,-34.5184706,-15.6778545,4.05597517,4.09398662,72.3181047,1.27049364,1.24986862,15,False,5.4815294,-34.3653032,-16.2117833,9.46827748,2,-51.6710567,4.73413874,82.4719573,1.26729636,1.25143035,20,-0.00156172671,0.00319728333,True,False,"[0.43107149286487917, 1.2411698233591563e-17, 0.5550165923612326, 1.2422853065508537, -34.5184705989415, -15.677854464419845, 4.055975166497359, 4.0939866195269925]","[0.42603505285698423, 4.2771961082244726e-26, 0.5833104828500385, 1.1109036625705728, -34.365303181628626, -16.211783295476256, 9.468277477522252, 2.0000000000000466, -0.901830067465157]",2.18182185
839557629,951125801,HVA,VISam,evaluation,point,15,-5,400,1879.0466,294.62898,-34.7222964,-15.4137187,6.64617892,6.5100339,188.434582,1.27048882,1.24943242,15,False,5.27770364,-34.295195,-16.2808539,11.6812942,5.88414333,-46.0567537,1.98521577,299.350186,1.2687007,1.24930379,18,0.000128635853,0.00178811702,False,False,"[0.43068373161890333, 1.2253151463126725e-18, 0.6994151763956662, 1.578487230950723, -34.72229635883783, -15.413718705930808, 6.646178918224095, 6.510033903861277]","[0.4254252781061275, 3.8251747434627324e-33, 0.6589063043002983, 1.225954212582565, -34.295194979440424, -16.280853884430062, 11.681294150521719, 5.884143332168801, -0.8038419952620846]",0.198070193
839557629,951125817,HVA,VISam,calibration,aperture,71.333,40.667,1500,43787.695,119.30146,44.0301816,52.5328933,29.9751588,6.19894085,809.252995,2.29919374,2.29259211,19,False,-12.5328933,59.9822992,45.4547043,46.5533715,2.00000051,8.33108706,23.2766798,405.496,2.29680462,2.29255602,51,3.60920481e-05,0.00238911826,True,False,"[1.7283842242050587, 0.7067234664334882, 1.4621831632757198, 3.9127542832864113, 44.03018162507305, 52.532893267855414, 29.97515883618726, 6.198940854479016]","[1.7094433689313686, 0.48438680530638045, 0.5412589146934441, 1.1864135459071794, 59.98229916011965, 45.454704304372775, 46.55337147017349, 2.0000005102173195, 0.14540489942982804]",8.76312499
839557629,951125817,HVA,VISam,calibration,point,71.333,40.667,1500,43787.695,119.30146,43.9450404,51.6959638,30.3525559,7.4548893,985.466342,2.2991943,2.29257878,19,False,-11.6959638,4.41532303,35.3786203,49.9999575,2.00000009,2.05646964,24.9999776,435.516867,2.29535428,2.29697518,54,-0.00439639919,0.00384002145,True,True,"[1.728386851502447, 0.7510581263714516, 1.562783838563645, 4.181284518842002, 43.94504040015575, 51.695963844183375, 30.352555873753616, 7.454889302614852]","[1.7081267185905444, 2.5507562544874323, 2.935885503507701, 6.3091392652859675, 4.41532303081027, 35.3786203056216, 49.99995751274573, 2.0000000886736236, 0.03589216610539059]",0.558426332
839557629,951125819,HVA,VISam,evaluation,aperture,62.5,-21.25,800,496.70709,62.366347,5.35183505,-27.4990243,28.1514007,6.89504674,845.361671,1.18865554,1.22159822,12,False,12.5009757,4.4616735,-27.6982349,27.5543765,6.62518255,-4.94929308,4.15903657,795.048764,1.18836371,1.22127083,13,0.000327392096,0.000291821935,False,False,"[0.27954197983688533, 0.2716628502832957, 0.5551342252802852, 0.6003180745021172, 5.351835050298818, -27.49902430637146, 28.151400704661906, 6.895046744662804]","[0.2809718827846577, 0.25814467335741553, 0.5570158174195997, 0.6336692490445581, 4.461673496304572, -27.69823485299749, 27.554376490474183, 6.625182551780947, -0.0863814599098287]",1.7679672
839557629,951125819,HVA,VISam,evaluation,point,62.5,-21.25,800,496.70709,62.366347,5.34577118,-27.4920851,28.6463523,8.68692656,1083.77919,1.18868898,1.22174837,12,False,12.5079149,4.48724014,-27.6949011,27.9883787,8.5003144,-4.96603757,3.29262864,1036.13909,1.18840719,1.2214885,9,0.000259874854,0.000281783792,False,False,"[0.2792629322442439, 0.27311355462003484, 0.558668980200215, 0.605401552816644, 5.345771177500456, -27.492085132321094, 28.646352298194785, 8.686926562342993]","[0.2806524449377468, 0.2594459918018717, 0.5611020834094268, 0.6400820274739689, 4.4872401423129515, -27.69490112635242, 27.988378655652923, 8.500314397717373, -0.08667370637719474]",0.13889014
839557629,951125824,HVA,VISam,calibration,aperture,25,-5,800,72.953497,2518.6644,-32.0170861,-16.8206925,20.422472,4.75611735,423.025162,2.1012372,1.8828415,18,False,7.98291391,-53.344646,-19.8115186,50,2,8.57217391,25,435.517218,2.09849622,1.88066789,42,0.00217361052,0.00274097932,True,True,"[0.8285030761944103, 0.8831975432712987, 0.2194394079181634, 1.1261439620621616, -32.017086093861735, -16.82069254559489, 20.42247196663449, 4.756117354067293]","[0.816675702774486, 0.9008536326190545, 0.31766137938095246, 1.0318924973530876, -53.344645970524596, -19.811518566919577, 49.99999999999999, 2.0000000000000004, 0.14961265874965202]",6.15343503
839557629,951125824,HVA,VISam,calibration,point,25,-5,800,72.953497,2518.6644,-32.0183349,-16.5166668,21.1907003,7.20573384,665.011041,2.10173572,1.88217072,20,False,7.98166514,-59.9981024,-19.9556485,50,6.28205737,7.01762941,7.95917596,1367.97207,2.0989174,1.8820595,25,0.000111220172,0.00281832202,False,True,"[0.8272842459220184, 0.9156858284208259, 0.23218676102034444, 1.145592878266027, -32.01833485662008, -16.51666679823995, 21.190700338233274, 7.205733840261406]","[0.813887007856574, 1.101504218408141, 0.3308018152804588, 1.2792700139358735, -59.998102449720655, -19.955648454667656, 49.99999999981952, 6.28205736817336, 0.12248073882002064]",0.268019308
839557629,951125826,HVA,VISam,evaluation,aperture,30,-10,500,14.063891,15.483177,-18.9280733,-18.1493393,9.07314223,8.32222264,328.853432,2.13510294,1.83344132,8,False,21.0719267,-18.8731524,-18.1723315,9.21425837,8.25006232,20.7744534,1.11687137,331.072375,2.13387802,1.83169842,13,0.00174289422,0.0012249246,False,False,"[0.3957752962151702, 6.73861802207348, 2.5061588651185565, 1.353309851030685, -18.928073304951575, -18.14933933498997, 9.073142226258282, 8.322222641723993]","[0.3951073060172496, 6.719927776725435, 2.5034604714126187, 1.3474002936124367, -18.873152359904324, -18.172331499571804, 9.214258371749253, 8.250062316666112, 0.36258261151779525]",1.3876673
839557629,951125826,HVA,VISam,evaluation,point,30,-10,500,14.063891,15.483177,-18.9113508,-18.1565986,10.4958595,9.88278057,451.754503,2.13610706,1.83450393,8,False,21.0886492,-18.8528331,-18.1821568,10.6076367,9.82686223,20.9101909,1.07945308,453.982211,2.13500968,1.83288671,7,0.00161721312,0.00109737605,False,False,"[0.3936976474004517, 6.761132973224799, 2.5229010873670497, 1.3624147043424415, -18.911350839738862, -18.156598606580708, 10.49585949130793, 9.882780571486549]","[0.39309219505922993, 6.742755413765808, 2.5210973807285977, 1.356266432022056, -18.852833109254544, -18.182156831824734, 10.60763674170803, 9.826862225335384, 0.3649516776639403]",0.102201468
