session_id,translation_azimuth_deg,translation_elevation_deg,bound_deg,regularization_weight,translation_magnitude_deg,at_bound
715093703,0,0,0,0.0,0.0,False
755434585,0,0,0,0.0,0.0,False
756029989,0,0,0,0.0,0.0,False
757216464,0,0,0,0.0,0.0,False
768515987,0,0,0,0.0,0.0,False
774875821,0,0,0,0.0,0.0,False
778240327,0,0,0,0.0,0.0,False
781842082,0,0,0,0.0,0.0,False
786091066,0,0,0,0.0,0.0,False
794812542,0,0,0,0.0,0.0,False
798911424,0,0,0,0.0,0.0,False
829720705,0,0,0,0.0,0.0,False
831882777,0,0,0,0.0,0.0,False
847657808,0,0,0,0.0,0.0,False
