bound_deg,regularization_weight,median_cross_half_correlation_gain,median_cross_half_rmse_gain,mean_cross_half_rmse_gain,positive_rmse_gain_fraction
0,0.0,0.0,0.0,0.0,0.0
5,0.01,0.0031812262104196423,-0.002620212079513788,-0.0047518920267325794,0.35714285714285715
5,1.0,-0.008693985181809298,-0.003940375936675809,0.00023981638101968985,0.35714285714285715
10,1.0,-0.008693985181809298,-0.003940375936675809,0.00023981638101968985,0.35714285714285715
20,1.0,-0.008693985181809298,-0.003940375936675809,0.00023981638101968985,0.35714285714285715
30,1.0,-0.008693985181809298,-0.003940375936675809,0.00023981638101968985,0.35714285714285715
5,0.03,-0.003255582554186058,-0.00502507345576398,-0.0052757576935414385,0.35714285714285715
5,0.3,-0.004902294071203947,-0.005521708908621595,-0.0028896337129480495,0.42857142857142855
5,0.1,-0.006846851997860275,-0.006048273717149423,-0.004599163525138374,0.2857142857142857
10,0.3,-0.01264615222548105,-0.008623739367944708,-0.004111047045863479,0.35714285714285715
20,0.3,-0.012399746011850217,-0.008973424496521831,-0.004019380335506755,0.35714285714285715
30,0.3,-0.012399746011850217,-0.008973424496521831,-0.004019380335506755,0.35714285714285715
10,0.1,-0.06150712968766578,-0.012193320298855004,-0.011759780964478153,0.35714285714285715
10,0.01,-0.09401325794176701,-0.014974154934062983,-0.014947339481098276,0.35714285714285715
10,0.03,-0.12648715342588784,-0.015970809435820202,-0.0163927798998152,0.35714285714285715
20,0.03,-0.3485558948373926,-0.025855429613885608,-0.02861811267177004,0.2857142857142857
20,0.1,-0.09170737468686468,-0.03128391562887527,-0.031012328432758085,0.2857142857142857
30,0.1,-0.23356949958148884,-0.03565949261954249,-0.038034604573068335,0.2857142857142857
20,0.01,-0.32813063333297343,-0.04282015260984164,-0.04614071169351662,0.2857142857142857
30,0.01,-0.24908000465849608,-0.052210832494443984,-0.05509744994001926,0.2857142857142857
30,0.03,-0.32070614961884475,-0.058070334169078,-0.054455363006669755,0.2857142857142857
