stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,coherence,Speed,phase,contrast,Dir,temporal_frequency,y_position,color,frame,size,orientation,stimulus_name,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1680,0.0,497.30369,497.5539,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021236,205,,,0,,False,5,test,1
1681,0.0,497.5539,497.8041,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020264,144,,,0,,False,7,train,2
1682,0.0,497.8041,498.0543,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020264,120,,,0,,False,9,train,1
1683,0.0,498.0543,498.30451,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020264,230,,,0,,False,5,test,1
1684,0.0,498.30451,498.55471,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020264,135,,,0,,False,7,train,0
1685,0.0,498.55471,498.80492,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020986,208,,,0,,False,6,train,2
1686,0.0,498.80492,499.05513,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020986,195,,,0,,False,6,train,0
1687,0.0,499.05513,499.30534,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020986,56,,,0,,False,8,test,1
1688,0.0,499.30534,499.55555,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020986,67,,,0,,False,8,test,2
1689,0.0,499.55555,499.80576,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020764,149,,,0,,False,7,train,0
1690,0.0,499.80576,500.05596,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020764,239,,,0,,False,4,train,1
1691,0.0,500.05596,500.30617,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020764,167,,,0,,False,6,train,2
1692,0.0,500.30617,500.55638,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020764,211,,,0,,False,6,train,0
1693,0.0,500.55638,500.80659,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021236,91,,,0,,False,7,train,2
1694,0.0,500.80659,501.0568,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021236,232,,,0,,False,7,train,2
1695,0.0,501.0568,501.30702,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021236,112,,,0,,False,4,train,0
1696,0.0,501.30702,501.55723,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021236,118,,,0,,False,7,train,1
1697,0.0,501.55723,501.80744,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020764,29,,,0,,False,4,train,1
1698,0.0,501.80744,502.05764,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020764,53,,,0,,False,6,train,2
1699,0.0,502.05764,502.30785,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020764,23,,,0,,False,7,train,2
1700,0.0,502.30785,502.55806,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020764,11,,,0,,False,8,test,1
1701,0.0,502.55806,502.80827,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021486,36,,,0,,False,8,test,0
1702,0.0,502.80827,503.05849,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021486,48,,,0,,False,4,train,1
1703,0.0,503.05849,503.3087,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021486,147,,,0,,False,6,train,0
1704,0.0,503.3087,503.55892,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021486,190,,,0,,False,6,train,1
1705,0.0,503.55892,503.80912,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020264,203,,,0,,False,8,test,0
1706,0.0,503.80912,504.05932,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020264,119,,,0,,False,2,test,1
1707,0.0,504.05932,504.30953,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020264,125,,,0,,False,9,train,0
1708,0.0,504.30953,504.55973,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020264,77,,,0,,False,7,train,1
1709,0.0,504.55973,504.80994,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021486,127,,,0,,False,8,test,2
1710,0.0,504.80994,505.06016,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021486,25,,,0,,False,6,train,0
1711,0.0,505.06016,505.31037,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021486,68,,,0,,False,4,train,1
1712,0.0,505.31037,505.56059,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021486,192,,,0,,False,5,test,2
1713,0.0,505.56059,505.81079,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020264,1,,,0,,False,6,train,1
1714,0.0,505.81079,506.06099,10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020264,1,,,0,,False,7,train,1
1715,0.0,506.06099,506.3112,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020264,28,,,0,,False,11,test,2
1716,0.0,506.3112,506.5614,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020264,221,,,0,,False,5,test,2
1717,0.0,506.5614,506.81161,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021236,91,,,0,,False,8,test,2
1718,0.0,506.81161,507.06182,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021236,208,,,0,,False,7,train,2
1719,0.0,507.06182,507.31204,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021236,171,,,0,,False,5,test,0
1720,0.0,507.31204,507.56225,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021236,3,,,0,,False,7,train,1
1721,0.0,507.56225,507.81245,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020514,205,,,0,,False,6,train,1
1722,0.0,507.81245,508.06266,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020514,9,,,0,,False,9,train,0
1723,0.0,508.06266,508.31286,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020514,198,,,0,,False,6,train,2
1724,0.0,508.31286,508.56307,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020514,200,,,0,,False,5,test,1
1725,0.0,508.56307,508.81329,-30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021736,173,,,0,,False,9,train,2
1726,0.0,508.81329,509.0635,40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-30.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25021736,204,,,0,,False,4,train,2
1727,0.0,509.0635,509.31372,20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021736,133,,,0,,False,6,train,1
1728,0.0,509.31372,509.56394,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-10.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021736,11,,,0,,False,9,train,1
1729,0.0,509.56394,509.81414,-40.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020014,86,,,0,,False,6,train,1
1730,0.0,509.81414,510.06434,-20.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,0.0,null,null,"[20.0, 20.0]",90.0,gabors,0.08,0.25020014,235,,,0,,False,6,train,2
1731,0.0,510.06434,510.31454,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25020014,132,,,0,,False,7,train,1
1732,0.0,510.31454,510.56474,-10.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,30.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25020014,62,,,0,,False,9,train,0
1733,0.0,510.56474,510.81495,30.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,40.0,null,null,"[20.0, 20.0]",45.0,gabors,0.08,0.25021486,79,,,0,,False,9,train,1
1734,0.0,510.81495,511.06517,0.0,null,null,"[3644.93333333, 3644.93333333]",0.8,null,4.0,-20.0,null,null,"[20.0, 20.0]",0.0,gabors,0.08,0.25021486,228,,,0,,False,4,train,0
