spatial_model,group,units,median_rotation_test_gain,median_gain_ci_low,median_gain_ci_high,fraction_helped,fraction_helped_ci_low,fraction_helped_ci_high,clean_units,clean_median_rotation_test_gain,clean_median_gain_ci_low,clean_median_gain_ci_high,median_log2_area_change
point,V1,23,-0.000468444885,-0.0020998091,0.000316718953,0.47826087,0.260869565,0.695652174,20,-0.000508235432,-0.0024609246,0.000282135642,-0.00256583535
point,HVA,137,0.000329281551,5.11952442e-05,0.0013744536,0.605839416,0.525547445,0.686131387,124,0.000322632007,3.95999658e-05,0.00137074034,0.000553104649
point,all,160,0.000247235038,2.19393718e-05,0.000829342612,0.5875,0.5125,0.6625,144,0.000242202064,-9.5806426e-05,0.000652752111,0.000186738954
aperture,V1,23,8.03479282e-05,-0.000551377231,0.00054693866,0.565217391,0.347826087,0.740217391,13,8.62625303e-05,-0.000916479787,0.00054693866,0.00412776196
aperture,HVA,137,0.000405897,-1.1341049e-05,0.00134454669,0.569343066,0.481751825,0.649635036,107,0.000440731291,-6.98497342e-05,0.0015367768,1.85749949e-09
aperture,all,160,0.000215384119,-2.22140876e-06,0.00101500946,0.56875,0.49375,0.64375,120,0.000297228201,-6.98497342e-05,0.0013084168,0.000291402581
