selection_role,criterion,ecephys_session_id,target_subset,mode,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,split_half_vector_difference_deg,v1_units,censored_fraction,median_absolute_rf_area_deg2,median_rf_azimuth_deg,median_rf_elevation_deg,median_dispersion_effective_neighbors,supported_grid_points
most reproducible non-bound case,minimum combined split-half vector difference among sessions with >=60 V1 units,742951821,full,combined,-6.0,-28.0,0.8738962447746021,535.0,False,2.0,81,0.13580246913580246,265.501848,15.4166137,-3.37698124,72.2721925197981,1614
median reproducibility non-bound case,middle combined split-half vector difference among sessions with >=60 V1 units,762602078,full,combined,18.0,26.0,0.6167829293592412,146.0,False,18.973665961010276,108,0.4722222222222222,93.51441685,-16.0604097,11.4263968,87.74426208632295,1888
failure-prone case,"boundary optimum prioritized, then maximum combined split-half vector difference",715093703,full,combined,-26.0,-30.0,0.3293447936929098,435.0,True,84.8528137423857,93,0.17204301075268819,258.344089,-0.32911888,-18.9451271,81.14696483596053,2431
