ecephys_session_id,target_subset,mode,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,split_half_vector_difference_deg
715093703,full,size,22.0,30.0,0.46809117202844,961.0,True,38.47076812334269
715093703,full,dispersion,-26.0,-30.0,0.1694069507880035,175.0,True,56.0
715093703,full,combined,-26.0,-30.0,0.3293447936929098,435.0,True,84.8528137423857
715093703,half_0,size,18.0,30.0,0.47281208843588596,961.0,True,38.47076812334269
715093703,half_0,dispersion,26.0,-30.0,0.09590147784467713,163.0,True,56.0
715093703,half_0,combined,30.0,30.0,0.2865590391471568,489.0,True,84.8528137423857
715093703,half_1,size,24.0,-8.0,0.4525868401546342,960.0,False,38.47076812334269
715093703,half_1,dispersion,-30.0,-30.0,0.3674682806910795,4.0,True,56.0
715093703,half_1,combined,-30.0,-30.0,0.4230360891691978,93.0,True,84.8528137423857
719161530,full,size,30.0,16.0,0.5779182863112047,961.0,True,52.3450093132096
719161530,full,dispersion,12.0,-30.0,0.6299872855500938,335.0,True,37.57658845611187
719161530,full,combined,-16.0,-24.0,0.6146453531617293,613.0,False,54.037024344425184
719161530,half_0,size,-22.0,28.0,0.5860944221718265,922.0,False,52.3450093132096
719161530,half_0,dispersion,24.0,-30.0,0.6423599333127463,71.0,True,37.57658845611187
719161530,half_0,combined,24.0,-30.0,0.6393489430948035,446.0,True,54.037024344425184
719161530,half_1,size,30.0,22.0,0.5560272820427541,961.0,True,52.3450093132096
719161530,half_1,dispersion,-10.0,-14.0,0.7831417210834234,406.0,False,37.57658845611187
719161530,half_1,combined,-18.0,4.0,0.6741366374015114,635.0,False,54.037024344425184
721123822,full,size,-2.0,28.0,0.6307205846676162,961.0,False,32.55764119219941
721123822,full,dispersion,30.0,-30.0,0.49469722915174164,63.0,True,62.0966987850401
721123822,full,combined,30.0,22.0,0.5780728774992969,268.0,True,65.39113089708727
721123822,half_0,size,2.0,30.0,0.5702501705935314,961.0,True,32.55764119219941
721123822,half_0,dispersion,-30.0,-4.0,0.6779026646860054,145.0,True,62.0966987850401
721123822,half_0,combined,-30.0,-4.0,0.6293423894130437,333.0,True,65.39113089708727
721123822,half_1,size,-30.0,24.0,0.6903594950952592,932.0,True,32.55764119219941
721123822,half_1,dispersion,30.0,12.0,0.6005175698225085,81.0,True,62.0966987850401
721123822,half_1,combined,30.0,22.0,0.6571366723916039,164.0,True,65.39113089708727
732592105,full,size,24.0,26.0,0.4879262137136204,961.0,False,43.174066289845804
