group,preference,sessions,median_correlation_raw,median_correlation_aligned,median_paired_correlation_change,median_rmse_raw_octaves,median_rmse_aligned_octaves,median_paired_rmse_change_octaves,median_coverage_raw,median_coverage_aligned
HVA pooled,sf,19,0.214032,-0.00190495,-0.285532,0.240239,0.263101,0.0119236,1,1
HVA pooled,tf,19,0.484012,0.364034,-0.0429251,0.37456,0.412197,0.019957,1,1
V1,sf,21,-0.123504,-0.0436015,-0.0427475,0.297939,0.267576,-0.0166034,1,1
V1,tf,21,0.597587,-0.110955,-0.0445617,0.143014,0.181637,0.00476653,1,1
