ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,rotation_test_gain,rotation_train_gain,axis_test_poisson_deviance,axis_train_poisson_deviance,axis_area_deg2,rotation_log2_area_ratio,parameter_baseline,parameter_amplitude_0,parameter_amplitude_45,parameter_amplitude_90,success,optimizer_nfev,best_train_anscombe_mse,second_best_train_anscombe_mse,multistart_mse_gap,train_poisson_deviance,test_poisson_deviance,baseline_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_major_deg,sigma_minor_deg,major_axis_angle_deg,axis_ratio,latent_halfmax_area_deg2,sigma_lower_bound,sigma_upper_bound
951868664,HVA,VISal,evaluation,aperture,0.00368559326,0.000399122452,1.5859405,1.54637791,60.2038371,1.05544502,1.67547647,2.55286977,2.75854522,5.7345574,True,28,1.21044084,1.21044084,2.42988296e-10,1.54597879,1.58225491,1.67547647,3.68199079,-13.7594388,-59.999345,14.3651266,2,52.688968,7.18256328,125.125199,True,False
951868664,HVA,VISal,evaluation,point,0.00299153521,0.000377727342,1.58679434,1.54651999,124.077642,0.975958276,1.67547243,0.877036727,1.16600066,2.14876255,True,18,1.21049361,1.21049363,2.04862942e-08,1.54614226,1.5838028,1.67547243,1.39726665,-6.31911569,-44.6398512,11.2984393,4.95978057,37.5237727,2.27801192,244.054178,False,False
951868685,HVA,VISal,calibration,aperture,0.00099581294,0.000614863603,1.81934067,1.7220364,91.0153357,1.68587155,6.11199842,6.36848803,8.99291514,7.85394966,True,50,1.60579624,1.60579627,2.62915187e-08,1.72142154,1.81834486,6.11199842,7.73845094,-59.9999455,56.6718237,33.618409,2,-14.4615198,16.8092045,292.827919,True,False
951868685,HVA,VISal,calibration,point,-0.00375313129,0.00143388925,1.81925032,1.7221628,200.829169,-0.28411713,6.12902002,3.57893549,5.60018987,4.79778381,True,48,1.60645085,1.60645102,1.67709455e-07,1.72072891,1.82300345,6.12902002,4.65896972,-9.37387515,36.8298658,16.7071778,2.26668196,-9.43808368,7.37076402,164.929755,False,False
951868732,HVA,VISal,evaluation,aperture,0.00419410918,0.000745063134,2.85755357,3.69780592,1602.40824,-0.0265188306,4.25602465,8.18858748,4.71597413,4.73859546,True,22,3.22993139,3.22993139,7.01311054e-09,3.69706086,2.85335946,4.25602465,5.88105236,5.22153481,60,29.7568329,12.1394265,-20.1477585,2.45125524,1573.22271,False,False
951868732,HVA,VISal,evaluation,point,0.00425204566,0.000753107301,2.85757348,3.69779141,1722.56475,-0.00344336345,4.25623969,8.24812189,4.74282292,4.77567257,True,21,3.22990614,3.22990614,3.28958638e-10,3.6970383,2.85332143,4.25623969,5.9222058,4.52146152,60,30.3672346,12.9935681,-20.3489087,2.33709743,1718.45831,False,False
951868741,HVA,VISal,calibration,aperture,0.00127327795,0.000258812333,1.46412002,1.39427605,1188.41313,-0.0506570778,2.06738209,10.2368394,11.6844869,9.19868333,True,14,1.15979828,1.15979828,2.10995443e-10,1.39401724,1.46284674,2.06738209,10.3733365,17.5106212,58.0835153,18.1844767,14.488119,-26.2958575,1.25513027,1147.40871,False,False
951868741,HVA,VISal,calibration,point,0.00130519571,0.000273609057,1.46412908,1.39426403,1293.82458,-0.0467385845,2.06736085,10.1744545,11.6117344,9.14216239,True,16,1.15978353,1.15978353,2.82807111e-11,1.39399042,1.46282388,2.06736085,10.3094504,17.4161286,57.8513715,18.8723592,15.2396207,-26.1972673,1.23837459,1252.5806,False,False
951868760,HVA,VISal,evaluation,aperture,-0.00100971421,0.00020643818,3.8002963,3.52054511,3927.43689,-0.0270296283,2.66176811,3.59070324,2.9628918,3.13698352,True,14,2.96024835,2.96024836,4.23059454e-09,3.52033867,3.80130601,2.66176811,3.23019285,40.0280113,43.7950936,33.3270973,26.5564285,-11.089587,1.25495404,3854.53937,False,False
951868760,HVA,VISal,evaluation,point,-0.00099780333,0.000204158622,3.80030791,3.52055106,4046.88132,-0.0275212575,2.66165136,3.59344922,2.96533887,3.13970269,True,16,2.9602546,2.9602546,5.2270055e-10,3.5203469,3.80130571,2.66165136,3.23283026,40.0520513,43.8384645,33.7070082,27.0464462,-11.0019217,1.24626385,3970.41355,False,False
