spatial_model,gaze_condition,unit_split,group,units,median_test_deviance,median_improvement_vs_point_nominal,fraction_improved_vs_point_nominal,median_gaze_improvement_within_model,fraction_gaze_improved_within_model,median_log2_latent_area_vs_point_nominal,censored_fraction,sigma_lower_bound_fraction
aperture,gaze_corrected,calibration,HVA,136,1.27642589,0.000116808104,0.580882353,0.000112138,0.544117647,-0.204644275,0.25,0.125
aperture,gaze_corrected,calibration,V1,22,1.47625035,0.00016111085,0.590909091,0.000189128918,0.590909091,-0.329916866,0.181818182,0.136363636
aperture,gaze_corrected,calibration,all,158,1.29540635,0.000116808104,0.582278481,0.00012297057,0.550632911,-0.209675529,0.240506329,0.126582278
aperture,gaze_corrected,evaluation,HVA,137,1.33591859,0.000214197484,0.598540146,0.000239175909,0.583941606,-0.187253895,0.248175182,0.109489051
aperture,gaze_corrected,evaluation,V1,23,1.50115957,0.000319631628,0.695652174,0.000240480375,0.608695652,-0.50758005,0.347826087,0.304347826
aperture,gaze_corrected,evaluation,all,160,1.35783932,0.000234414377,0.6125,0.000239828142,0.5875,-0.209244374,0.2625,0.1375
aperture,nominal,calibration,HVA,136,1.27683484,7.25974364e-07,0.507352941,0,0,-0.19289235,0.235294118,0.110294118
aperture,nominal,calibration,V1,22,1.47605427,-4.30771153e-05,0.318181818,0,0,-0.314317137,0.136363636,0.0909090909
aperture,nominal,calibration,all,158,1.29563884,-3.39123894e-06,0.481012658,0,0,-0.203141159,0.221518987,0.107594937
aperture,nominal,evaluation,HVA,137,1.33507952,1.91664473e-06,0.540145985,0,0,-0.176046287,0.240875912,0.102189781
aperture,nominal,evaluation,V1,23,1.50312787,3.46779371e-05,0.565217391,0,0,-0.517356051,0.347826087,0.304347826
aperture,nominal,evaluation,all,160,1.36030556,2.0600536e-06,0.54375,0,0,-0.194213752,0.25625,0.13125
point,gaze_corrected,calibration,HVA,136,1.27642068,9.12982578e-05,0.536764706,9.12982578e-05,0.536764706,0.00159680804,0.176470588,0.0588235294
point,gaze_corrected,calibration,V1,22,1.47623389,0.00012124281,0.545454545,0.00012124281,0.545454545,0.00428203174,0.0909090909,0.0454545455
point,gaze_corrected,calibration,all,158,1.29533054,0.000109689747,0.537974684,0.000109689747,0.537974684,0.00159680804,0.164556962,0.0569620253
point,gaze_corrected,evaluation,HVA,137,1.33605845,0.000116465797,0.547445255,0.000116465797,0.547445255,-0.00650402744,0.167883212,0.0291970803
point,gaze_corrected,evaluation,V1,23,1.50148991,0.000365860173,0.608695652,0.000365860173,0.608695652,0.00270973711,0.0434782609,0
point,gaze_corrected,evaluation,all,160,1.35869934,0.000174994264,0.55625,0.000174994264,0.55625,-0.00481328516,0.15,0.025
point,nominal,calibration,HVA,136,1.27683144,0,0,0,0,0,0.125,0.00735294118
point,nominal,calibration,V1,22,1.47602963,0,0,0,0,0,0.0454545455,0
point,nominal,calibration,all,158,1.29556417,0,0,0,0,0,0.113924051,0.00632911392
point,nominal,evaluation,HVA,137,1.33522893,0,0,0,0,0,0.138686131,0.00729927007
point,nominal,evaluation,V1,23,1.50341158,0,0,0,0,0,0.0434782609,0
point,nominal,evaluation,all,160,1.36141395,0,0,0,0,0,0.125,0.00625
