ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,gaze_condition,gaze_gain_x,gaze_gain_y,success,optimizer_status,optimizer_nfev,center_bound,sigma_lower_bound,sigma_upper_bound,censored,baseline_spikes,amplitude_0_spikes,amplitude_45_spikes,amplitude_90_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_x_deg,sigma_y_deg,latent_halfmax_area_deg2,train_poisson_deviance,test_poisson_deviance,train_anscombe_rmse,test_anscombe_rmse,point_nominal_test_deviance,point_nominal_area_deg2,point_nominal_center_x_deg,point_nominal_center_y_deg,point_nominal_sigma_x_deg,point_nominal_sigma_y_deg,same_model_nominal_test_deviance,same_model_nominal_area_deg2,deviance_improvement_vs_point_nominal,gaze_deviance_improvement_within_model,log2_latent_area_vs_point_nominal,log2_sigma_x_vs_point_nominal,log2_sigma_y_vs_point_nominal,point_nominal_edge_distance_deg,log2_gaze_area_ratio_within_model
951868526,HVA,VISal,evaluation,point,nominal,0,0,True,2,20,False,False,False,False,0.0668853106,0.134078639,0.0655894038,0.179571078,0.12641304,-23.9679078,22.5451807,21.2383457,21.2922116,1969.45829,0.709564081,0.654013061,0.456887283,0.435613565,0.654013061,1969.45829,-23.9679078,22.5451807,21.2383457,21.2922116,0.654013061,1969.45829,0,0,0,0,0,16.0320922,0
951868526,HVA,VISal,evaluation,point,gaze_corrected,0,0.5,True,2,9,False,False,False,False,0.0666060226,0.133732202,0.0665372043,0.17755209,0.125940499,-23.9184548,22.3242596,21.3458078,21.5286833,2001.4069,0.709592378,0.654634837,0.456916142,0.435768444,0.654013061,1969.45829,-23.9679078,22.5451807,21.2383457,21.2922116,0.654013061,1969.45829,-0.000621775988,-0.000621775988,0.0232156442,0.00728136229,0.0159342819,16.0320922,0.0232156442
951868526,HVA,VISal,evaluation,aperture,nominal,0,0,True,2,20,False,False,False,False,0.0669068011,0.13407848,0.0655338631,0.179575917,0.126396087,-23.9684984,22.5277711,20.6271142,20.6590994,1855.90264,0.709564176,0.654009589,0.456887076,0.4356133,0.654013061,1969.45829,-23.9679078,22.5451807,21.2383457,21.2922116,0.654009589,1855.90264,3.47245282e-06,0,-0.0856778387,-0.0421293991,-0.0435484397,16.0320922,0
951868526,HVA,VISal,evaluation,aperture,gaze_corrected,0,0.5,True,2,9,False,False,False,False,0.066626256,0.133729039,0.0664893535,0.177552881,0.125923758,-23.9192198,22.3086081,20.7379063,20.904607,1888.04458,0.70959235,0.654631329,0.456915952,0.435768158,0.654013061,1969.45829,-23.9679078,22.5451807,21.2383457,21.2922116,0.654009589,1855.90264,-0.000618268227,-0.00062174068,-0.0609060332,-0.034401152,-0.0265048812,16.0320922,0.0247718056
951868545,HVA,VISal,evaluation,point,nominal,0,0,True,2,16,False,False,True,True,0.347756473,0.823707653,0.663545835,0.34719353,0.611482339,-30.2067308,50.7479217,50,17.669475,3847.6803,1.4753423,1.35654328,0.840350628,0.800921815,1.35654328,3847.6803,-30.2067308,50.7479217,50,17.669475,1.35654328,3847.6803,0,0,0,0,0,-10.7479217,0
951868545,HVA,VISal,evaluation,point,gaze_corrected,0,0.5,True,2,6,False,False,True,True,0.348889249,0.73945833,0.598662693,0.305503388,0.547874804,-30.944528,46.1067251,50,15.5590757,3388.12267,1.47470181,1.35764154,0.840262089,0.801376014,1.35654328,3847.6803,-30.2067308,50.7479217,50,17.669475,1.35654328,3847.6803,-0.0010982664,-0.0010982664,-0.18350282,1.02648356e-10,-0.18350282,-10.7479217,-0.18350282
951868545,HVA,VISal,evaluation,aperture,nominal,0,0,True,2,15,False,False,True,True,0.347771558,0.824680186,0.66423389,0.347458616,0.612124231,-30.4860148,50.7919317,49.9999999,16.9539782,3691.87471,1.47533604,1.35652269,0.840349279,0.800916946,1.35654328,3847.6803,-30.2067308,50.7479217,50,17.669475,1.35652269,3691.87471,2.05890171e-05,0,-0.0596353396,-2.47425552e-09,-0.0596353371,-10.7479217,0
951868545,HVA,VISal,evaluation,aperture,gaze_corrected,0,0.5,True,2,6,False,False,True,True,0.348924197,0.740356107,0.599253602,0.305697507,0.548435739,-31.2416853,46.1506014,50,14.7322376,3208.07156,1.47469441,1.35762551,0.840260803,0.801372696,1.35654328,3847.6803,-30.2067308,50.7479217,50,17.669475,1.35652269,3691.87471,-0.00108223965,-0.00110282867,-0.262282607,1.02647716e-10,-0.262282607,-10.7479217,-0.202647267
951868575,HVA,VISal,evaluation,point,nominal,0,0,True,2,146,False,False,False,False,1.29781725,0.630724759,0.874738962,0.941541481,0.815668401,49.9554021,-22.1425356,48.0858597,17.5711046,3679.77936,2.48662243,2.39038995,1.33919647,1.30339559,2.39038995,3679.77936,49.9554021,-22.1425356,48.0858597,17.5711046,2.39038995,3679.77936,0,0,0,0,0,-9.95540207,0
951868575,HVA,VISal,evaluation,point,gaze_corrected,0,0.5,True,2,37,False,False,False,False,1.30524363,0.61554651,0.860294482,0.940609663,0.805483551,47.7306674,-21.6263985,45.6711071,17.0035822,3382.10663,2.48748772,2.38981027,1.33943823,1.30316276,2.39038995,3679.77936,49.9554021,-22.1425356,48.0858597,17.5711046,2.39038995,3679.77936,0.000579674807,0.000579674807,-0.121697119,-0.07433095,-0.0473661694,-9.95540207,-0.121697119
