stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,x_position,frame,size,temporal_frequency,color,spatial_frequency,stimulus_name,y_position,contrast,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1731,0.0,517.48122,517.73142,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,90.0,0.25019796,167,,,0,,False,7,train,2
1732,0.0,517.73142,517.98162,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25019796,43,,,0,,False,8,test,1
1733,0.0,517.98162,518.23184,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25021954,59,,,0,,False,7,train,2
1734,0.0,518.23184,518.48206,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25021954,97,,,0,,False,4,train,1
1735,0.0,518.48206,518.73228,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25021954,50,,,0,,False,10,train,2
1736,0.0,518.73228,518.9825,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,0.0,0.25021954,34,,,0,,False,9,train,0
1737,0.0,518.9825,519.2327,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25020046,208,,,0,,False,11,test,1
1738,0.0,519.2327,519.4829,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25020046,199,,,0,,False,5,test,1
1739,0.0,519.4829,519.7331,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,0.0,0.25020046,189,,,0,,False,6,train,0
1740,0.0,519.7331,519.9833,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25020046,23,,,0,,False,6,train,1
1741,0.0,519.9833,520.23352,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25021454,134,,,0,,False,5,test,2
1742,0.0,520.23352,520.48373,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25021454,50,,,0,,False,11,test,2
1743,0.0,520.48373,520.73394,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25021454,9,,,0,,False,8,test,1
1744,0.0,520.73394,520.98416,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,0.0,0.25021454,99,,,0,,False,6,train,0
1745,0.0,520.98416,521.23436,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,0.0,0.25020546,233,,,0,,False,8,test,0
1746,0.0,521.23436,521.48457,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25020546,136,,,0,,False,8,test,1
1747,0.0,521.48457,521.73478,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25020546,130,,,0,,False,5,test,0
1748,0.0,521.73478,521.98498,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,90.0,0.25020546,94,,,0,,False,5,test,2
