ecephys_probe_id,ecephys_session_id,probe_letter,primary_structure,n_units,n_visp_units_other_probes,dist_entry_to_v1_um,dist_tip_to_v1_um,delta_um
792607557,778240327,probeE,VISal,345,172,1769.4468,702.0436,-1067.4032
792626853,778998620,probeE,VISal,410,174,2114.7021,820.5113,-1294.1908
792586883,781842082,probeD,VISal,279,174,1924.4847,2194.5918,270.1071
792586887,781842082,probeE,VISal,423,174,2460.9287,1743.9311,-716.9976
792623925,786091066,probeD,VISal,198,171,1407.6786,1248.3597,-159.3189
792623928,786091066,probeE,VISal,383,171,1479.7467,704.0614,-775.6853
792586848,787025148,probeE,VISal,400,168,1954.1427,666.3221,-1287.8206
805008608,791319847,probeE,VISal,331,190,1897.5936,1054.1489,-843.4447
805124812,793224716,probeE,VISal,366,176,2135.3083,989.5434,-1145.7649
805579749,797828357,probeE,VISal,333,190,2095.5907,998.6495,-1096.9412
800036204,798911424,probeE,VISal,364,200,1888.6332,1140.8105,-747.8227
832129159,829720705,probeE,VISal,209,121,2341.9116,1253.9464,-1087.9653
832810582,831882777,probeE,VISal,133,130,1948.6818,1321.5389,-627.1429
837761714,835479236,probeE,VISal,181,159,2550.2684,1956.4269,-593.8415
846401841,839557629,probeE,VISal,200,151,2149.4040,925.0988,-1224.3052
848037576,847657808,probeE,VISal,300,122,1564.9904,772.6050,-792.3854
729445648,719161530,probeA,VISam,233,112,1057.6364,889.6467,-167.9897
760213137,721123822,probeA,VISam,156,110,1455.2829,1165.7012,-289.5817
769322802,750749662,probeA,VISam,347,143,1960.1361,1498.2030,-461.9330
757984813,751348571,probeA,VISam,319,119,1477.8499,1029.3503,-448.4996
756781553,754312389,probeA,VISam,211,202,1238.4629,1181.0653,-57.3976
760642621,755434585,probeA,VISam,250,184,1486.2143,1522.8152,36.6009
760640083,756029989,probeA,VISam,291,140,1723.2992,1416.4831,-306.8161
769322745,757216464,probeA,VISam,318,205,1517.9299,1752.3767,234.4468
769322785,759883607,probeA,VISam,338,182,1412.3705,1712.5968,300.2263
810753195,760345702,probeA,VISam,177,155,1245.3338,1163.2317,-82.1022
768909178,762602078,probeA,VISam,253,164,1721.1478,1298.5725,-422.5754
773463013,763673393,probeA,VISam,263,145,1002.2048,1442.8922,440.6874
773463015,763673393,probeB,VISam,156,145,1144.2993,1321.8440,177.5447
773592315,766640955,probeA,VISam,316,119,1188.5124,1735.0656,546.5532
773462985,767871931,probeA,VISam,250,201,1502.0369,1399.3593,-102.6776
773549842,768515987,probeA,VISam,284,159,1152.8690,1535.6266,382.7576
773621937,771160300,probeA,VISam,386,171,905.3583,1515.7231,610.3648
773654723,771990200,probeA,VISam,157,163,1717.4115,1541.3465,-176.0650
792676154,773418906,probeA,VISam,59,135,1403.1754,1302.5985,-100.5769
792602650,774875821,probeA,VISam,300,196,1350.1696,1384.7499,34.5803
792626841,778998620,probeA,VISam,303,174,1388.3663,1248.9321,-139.4343
792645490,779839471,probeA,VISam,271,241,1579.5791,1579.8796,0.3005
792586876,781842082,probeA,VISam,252,174,2146.1945,1612.1614,-534.0331
792623916,786091066,probeA,VISam,204,171,1513.4722,1520.8863,7.4141
805002027,789848216,probeA,VISam,224,44,2242.5158,1680.6968,-561.8189
805008600,791319847,probeA,VISam,129,190,1508.4739,1510.5609,2.0870
810758777,794812542,probeA,VISam,418,226,1367.3658,1128.1973,-239.1685
805579734,797828357,probeA,VISam,204,190,1639.3126,1711.9946,72.6820
800036196,798911424,probeA,VISam,332,200,1543.1757,1316.8267,-226.3490
800036198,798911424,probeB,VISam,240,200,1325.4890,1538.6074,213.1184
805579698,799864342,probeA,VISam,138,155,1452.9683,1144.2683,-308.7000
836943713,816200189,probeA,VISam,270,168,1268.9804,1093.0923,-175.8882
832129149,829720705,probeA,VISam,188,121,1556.5868,1397.0176,-159.5692
832810573,831882777,probeA,VISam,248,130,1539.1008,1150.5217,-388.5791
841435557,839068429,probeA,VISam,294,178,1506.6906,1393.9434,-112.7472
846401828,839557629,probeA,VISam,239,151,1251.8107,1287.1421,35.3314
841431754,840012044,probeA,VISam,241,137,1100.8706,1250.2144,149.3438
810755803,715093703,probeD,VISl,349,135,1589.7881,976.4848,-613.3034
760213147,721123822,probeD,VISl,159,110,1488.2017,1037.2727,-450.9290
769326325,743475441,probeD,VISl,166,113,1436.4822,1203.3029,-233.1793
757904516,744228101,probeD,VISl,278,97,1581.0711,1259.2030,-321.8681
769322808,750749662,probeD,VISl,173,143,1585.4877,977.6943,-607.7934
757984822,751348571,probeD,VISl,195,119,1666.6641,782.6806,-883.9835
760642631,755434585,probeD,VISl,201,184,1532.3367,639.1060,-893.2306
760640094,756029989,probeD,VISl,278,140,1836.4554,797.6388,-1038.8166
769322751,757216464,probeD,VISl,314,205,1616.8547,819.1218,-797.7330
810753201,760345702,probeD,VISl,240,155,1358.7352,1204.7283,-154.0069
773463019,763673393,probeD,VISl,209,145,1799.8419,791.1575,-1008.6845
773592324,766640955,probeD,VISl,231,119,1698.8049,116.7500,-1582.0548
773549850,768515987,probeD,VISl,213,159,2024.1966,1055.9890,-968.2076
792602656,774875821,probeD,VISl,222,196,1306.3234,833.4217,-472.9017
792607553,778240327,probeD,VISl,256,172,1853.6034,976.4904,-877.1130
792626851,778998620,probeD,VISl,326,174,2136.1669,1276.9398,-859.2271
805002033,789848216,probeD,VISl,91,44,1833.5044,1297.5252,-535.9792
805008606,791319847,probeD,VISl,278,190,1805.9973,1477.9518,-328.0456
810758783,794812542,probeD,VISl,382,226,1928.6190,1328.5462,-600.0728
805579745,797828357,probeD,VISl,209,190,2004.6731,1496.7600,-507.9131
836943719,816200189,probeD,VISl,238,168,1564.2022,955.9485,-608.2537
832129157,829720705,probeD,VISl,351,121,2032.4367,1211.1786,-821.2581
837761712,835479236,probeD,VISl,291,159,1830.0042,1648.9636,-181.0406
841435559,839068429,probeD,VISl,396,178,1610.7814,634.6374,-976.1440
846401838,839557629,probeD,VISl,260,151,1426.4098,700.9875,-725.4224
841431758,840012044,probeD,VISl,402,137,1414.7993,341.0835,-1073.7158
848037574,847657808,probeD,VISl,480,122,1511.9403,597.7204,-914.2199
769322858,757970808,probeD,VISli,292,193,1325.5060,551.1015,-774.4045
773462995,767871931,probeD,VISli,256,201,1642.5058,872.3143,-770.1915
773621945,771160300,probeD,VISli,385,171,1809.6432,1060.8170,-748.8262
773654730,771990200,probeD,VISli,237,163,1533.6313,1338.5264,-195.1049
792586845,787025148,probeD,VISli,302,168,1973.3617,961.0694,-1012.2923
769325781,743475441,probeB,VISmma,243,113,1367.5550,1612.5451,244.9901
773549846,768515987,probeB,VISmma,306,159,1177.1243,1531.0775,353.9531
792602652,774875821,probeB,VISmma,200,196,1403.9050,1427.6898,23.7848
792586879,781842082,probeB,VISmma,262,174,1679.4926,2176.2011,496.7086
805579700,799864342,probeB,VISmma,250,155,1433.9434,1438.7398,4.7964
768909180,762602078,probeB,VISmmp,181,164,1353.3434,1388.9181,35.5747
792676156,773418906,probeB,VISmmp,166,135,1261.3286,1345.9037,84.5751
769322804,750749662,probeB,VISpm,328,143,1443.8053,1951.2736,507.4683
756781555,754312389,probeB,VISpm,178,202,1237.3251,1370.1500,132.8249
760642624,755434585,probeB,VISpm,231,184,1298.9470,1359.7927,60.8457
760640087,756029989,probeB,VISpm,352,140,1380.9784,1464.9374,83.9589
769322789,759883607,probeB,VISpm,246,182,1215.2260,1389.9799,174.7538
810753197,760345702,probeB,VISpm,216,155,907.5615,1150.9295,243.3680
768908582,761418226,probeB,VISpm,300,80,1219.2189,1297.1430,77.9241
773462990,767871931,probeB,VISpm,327,201,1181.0656,1609.6285,428.5629
773654726,771990200,probeB,VISpm,237,163,1560.3266,1734.7364,174.4097
792607547,778240327,probeB,VISpm,287,172,1221.7418,1262.4947,40.7530
792626844,778998620,probeB,VISpm,236,174,1149.8200,1292.5902,142.7702
792645493,779839471,probeB,VISpm,374,241,1226.0956,1464.9004,238.8049
792623919,786091066,probeB,VISpm,242,171,1243.3392,1448.6451,205.3059
805008602,791319847,probeB,VISpm,95,190,1290.5984,1539.8326,249.2342
810758779,794812542,probeB,VISpm,285,226,1009.4815,1327.4509,317.9694
805579738,797828357,probeB,VISpm,226,190,1302.8381,1445.2061,142.3680
836943715,816200189,probeB,VISpm,318,168,920.9027,1023.4090,102.5064
832810576,831882777,probeB,VISpm,301,130,1352.2862,928.3578,-423.9284
868929135,839068429,probeB,VISpm,357,178,1109.7685,1282.6518,172.8833
846401830,839557629,probeB,VISpm,170,151,1031.1395,1178.9553,147.8158
868297127,840012044,probeB,VISpm,300,137,1016.1964,1028.4490,12.2525
848037570,847657808,probeB,VISpm,359,122,1315.0211,1360.9550,45.9340
810755807,715093703,probeF,VISrl,144,135,1507.4661,1094.6395,-412.8266
760213153,721123822,probeF,VISrl,213,110,1678.0945,1357.3986,-320.6960
769326329,743475441,probeE,VISrl,220,113,2191.5046,491.8630,-1699.6415
769326332,743475441,probeF,VISrl,243,113,1798.4826,996.9987,-801.4839
769322812,750749662,probeF,VISrl,267,143,1735.4234,1308.1998,-427.2236
757984826,751348571,probeE,VISrl,395,119,1877.3707,1528.0025,-349.3682
757984830,751348571,probeF,VISrl,336,119,1737.5758,1014.8043,-722.7715
756781563,754312389,probeF,VISrl,123,202,1439.4905,1129.9060,-309.5845
760640104,756029989,probeF,VISrl,114,140,1554.6710,1189.0053,-365.6656
769322755,757216464,probeF,VISrl,160,205,1649.0316,1186.0025,-463.0291
769322862,757970808,probeF,VISrl,272,193,1501.6467,1642.7365,141.0898
768908579,761418226,probeA,VISrl,228,80,1103.5767,1000.7738,-102.8029
768908591,761418226,probeF,VISrl,256,80,1014.5193,1250.0205,235.5011
768909188,762602078,probeF,VISrl,169,164,1576.2486,1012.3989,-563.8496
773463026,763673393,probeF,VISrl,297,145,976.0529,1702.1279,726.0750
773592330,766640955,probeF,VISrl,267,119,1136.5814,1893.5731,756.9918
773549856,768515987,probeF,VISrl,294,159,1526.3334,1868.2084,341.8750
792676164,773418906,probeF,VISrl,162,135,1827.0608,1623.9296,-203.1312
792602660,774875821,probeF,VISrl,248,196,1160.0800,1624.9491,464.8691
792607559,778240327,probeF,VISrl,178,172,1220.7169,1215.2246,-5.4923
792626855,778998620,probeF,VISrl,297,174,1893.1970,1286.5766,-606.6204
792586891,781842082,probeF,VISrl,289,174,2395.1605,2058.1902,-336.9704
792623931,786091066,probeF,VISrl,231,171,1661.8110,1743.9691,82.1582
