stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,color,coherence,y_position,stimulus_name,Speed,orientation,spatial_frequency,size,Dir,temporal_frequency,frame,phase,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
41,0.0,85.524664,85.774862,0.0,null,null,-10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25019788,37,,,0,,False,0,train,2
42,0.0,85.774862,86.02506,-10.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25019788,38,,,0,,False,0,train,0
43,0.0,86.02506,86.275258,20.0,null,null,-30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25019788,39,,,0,,False,0,train,0
44,0.0,86.275258,86.525456,-20.0,null,null,-20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25019788,40,,,0,,False,0,train,0
45,0.0,86.525456,86.775675,-30.0,null,null,0.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,41,,,0,,False,0,train,2
46,0.0,86.775675,87.025895,-30.0,null,null,20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,42,,,0,,False,0,train,2
47,0.0,87.025895,87.276115,0.0,null,null,-20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,43,,,0,,False,0,train,2
48,0.0,87.276115,87.526334,10.0,null,null,-40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,44,,,0,,False,0,train,0
49,0.0,87.526334,87.776537,-10.0,null,null,-10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,21,,,0,,False,1,train,1
50,0.0,87.776537,88.02674,20.0,null,null,10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,45,,,0,,False,0,train,0
51,0.0,88.02674,88.276943,-20.0,null,null,30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,46,,,0,,False,0,train,0
52,0.0,88.276943,88.527146,10.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,47,,,0,,False,0,train,0
53,0.0,88.527146,88.77736,30.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,19,,,0,,False,1,train,0
54,0.0,88.77736,89.027575,-40.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,48,,,0,,False,0,train,1
55,0.0,89.027575,89.27779,0.0,null,null,30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,49,,,0,,False,0,train,2
56,0.0,89.27779,89.528004,40.0,null,null,40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,50,,,0,,False,0,train,2
57,0.0,89.528004,89.77821,20.0,null,null,40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,51,,,0,,False,0,train,2
58,0.0,89.77821,90.028415,-30.0,null,null,20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,42,,,0,,False,1,train,2
59,0.0,90.028415,90.27862,10.0,null,null,-10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,52,,,0,,False,0,train,1
60,0.0,90.27862,90.528826,10.0,null,null,0.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,53,,,0,,False,0,train,2
61,0.0,90.528826,90.779038,-10.0,null,null,-30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,54,,,0,,False,0,train,0
62,0.0,90.779038,91.02925,-30.0,null,null,10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,55,,,0,,False,0,train,1
63,0.0,91.02925,91.279462,30.0,null,null,-30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,56,,,0,,False,0,train,0
64,0.0,91.279462,91.529674,-20.0,null,null,-20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,57,,,0,,False,0,train,2
65,0.0,91.529674,91.77988,0.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,58,,,0,,False,0,train,0
66,0.0,91.77988,92.030085,-10.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,24,,,0,,False,2,test,1
67,0.0,92.030085,92.28029,0.0,null,null,40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,59,,,0,,False,0,train,2
68,0.0,92.28029,92.530496,-40.0,null,null,40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,60,,,0,,False,0,train,1
69,0.0,92.530496,92.7807,-20.0,null,null,-20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020462,61,,,0,,False,0,train,1
70,0.0,92.7807,93.030905,-20.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020462,62,,,0,,False,0,train,0
71,0.0,93.030905,93.28111,40.0,null,null,30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020462,63,,,0,,False,0,train,0
72,0.0,93.28111,93.531314,0.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020462,64,,,0,,False,0,train,1
73,0.0,93.531314,93.781525,-10.0,null,null,0.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,65,,,0,,False,0,train,0
74,0.0,93.781525,94.031735,0.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,66,,,0,,False,0,train,0
75,0.0,94.031735,94.281945,30.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,19,,,0,,False,2,test,0
76,0.0,94.281945,94.532156,0.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,58,,,0,,False,1,train,0
77,0.0,94.532156,94.78237,-20.0,null,null,40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,67,,,0,,False,0,train,1
78,0.0,94.78237,95.032585,10.0,null,null,-30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,68,,,0,,False,0,train,1
79,0.0,95.032585,95.2828,30.0,null,null,30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,69,,,0,,False,0,train,2
80,0.0,95.2828,95.533014,40.0,null,null,-10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,70,,,0,,False,0,train,1
81,0.0,95.533014,95.783217,-30.0,null,null,30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,71,,,0,,False,0,train,0
82,0.0,95.783217,96.03342,40.0,null,null,-30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,72,,,0,,False,0,train,0
83,0.0,96.03342,96.283623,20.0,null,null,-40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,73,,,0,,False,0,train,0
84,0.0,96.283623,96.533826,-10.0,null,null,-30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,74,,,0,,False,0,train,1
85,0.0,96.533826,96.784043,0.0,null,null,-20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,75,,,0,,False,0,train,1
86,0.0,96.784043,97.03426,20.0,null,null,30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,76,,,0,,False,0,train,2
87,0.0,97.03426,97.284477,20.0,null,null,-30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,77,,,0,,False,0,train,2
88,0.0,97.284477,97.534694,40.0,null,null,-20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,78,,,0,,False,0,train,2
89,0.0,97.534694,97.784895,10.0,null,null,0.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,79,,,0,,False,0,train,1
90,0.0,97.784895,98.035095,-10.0,null,null,-20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,80,,,0,,False,0,train,2
91,0.0,98.035095,98.285295,20.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,81,,,0,,False,0,train,0
92,0.0,98.285295,98.535496,30.0,null,null,30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,69,,,0,,False,1,train,2
93,0.0,98.535496,98.785715,-40.0,null,null,20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,82,,,0,,False,0,train,2
94,0.0,98.785715,99.035935,20.0,null,null,-20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,83,,,0,,False,0,train,2
95,0.0,99.035935,99.286155,0.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,58,,,0,,False,2,test,0
96,0.0,99.286155,99.536374,40.0,null,null,10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021962,84,,,0,,False,0,train,2
97,0.0,99.536374,99.786575,-20.0,null,null,10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,85,,,0,,False,0,train,2
98,0.0,99.786575,100.03677,20.0,null,null,-10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,22,,,0,,False,1,train,2
99,0.0,100.03677,100.28698,-40.0,null,null,-40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,86,,,0,,False,0,train,0
100,0.0,100.28698,100.53718,-20.0,null,null,-10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,87,,,0,,False,0,train,2
101,0.0,100.53718,100.78738,-20.0,null,null,-40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,88,,,0,,False,0,train,1
102,0.0,100.78738,101.03759,40.0,null,null,-20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,89,,,0,,False,0,train,0
103,0.0,101.03759,101.2878,0.0,null,null,0.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,90,,,0,,False,0,train,0
104,0.0,101.2878,101.538,-40.0,null,null,-10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,91,,,0,,False,0,train,2
105,0.0,101.538,101.78821,-40.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020788,48,,,0,,False,1,train,1
106,0.0,101.78821,102.03842,10.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020788,92,,,0,,False,0,train,0
107,0.0,102.03842,102.28863,40.0,null,null,-30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020788,93,,,0,,False,0,train,1
108,0.0,102.28863,102.53884,40.0,null,null,20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020788,94,,,0,,False,0,train,2
109,0.0,102.53884,102.78905,-20.0,null,null,30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020962,46,,,0,,False,1,train,0
110,0.0,102.78905,103.03925,-10.0,null,null,-20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020962,95,,,0,,False,0,train,1
111,0.0,103.03925,103.28946,-10.0,null,null,20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020962,96,,,0,,False,0,train,1
112,0.0,103.28946,103.53967,30.0,null,null,-30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020962,56,,,0,,False,1,train,0
113,0.0,103.53967,103.78988,-20.0,null,null,40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,97,,,0,,False,0,train,2
114,0.0,103.78988,104.04009,30.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,98,,,0,,False,0,train,1
115,0.0,104.04009,104.29031,-40.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,99,,,0,,False,0,train,0
116,0.0,104.29031,104.54052,30.0,null,null,-30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,100,,,0,,False,0,train,1
117,0.0,104.54052,104.79073,10.0,null,null,10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,101,,,0,,False,0,train,1
118,0.0,104.79073,105.04095,40.0,null,null,20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,102,,,0,,False,0,train,1
119,0.0,105.04095,105.29117,30.0,null,null,20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,12,,,0,,False,1,train,1
120,0.0,105.29117,105.54138,0.0,null,null,0.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,90,,,0,,False,1,train,0
121,0.0,105.54138,105.79158,0.0,null,null,-30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,103,,,0,,False,0,train,2
122,0.0,105.79158,106.04178,0.0,null,null,-40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,104,,,0,,False,0,train,0
123,0.0,106.04178,106.29199,0.0,null,null,-40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,105,,,0,,False,0,train,2
124,0.0,106.29199,106.54219,10.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,106,,,0,,False,0,train,1
125,0.0,106.54219,106.7924,-20.0,null,null,-40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,88,,,0,,False,1,train,1
126,0.0,106.7924,107.04261,-10.0,null,null,-40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,107,,,0,,False,0,train,0
127,0.0,107.04261,107.29282,-40.0,null,null,10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,108,,,0,,False,0,train,1
128,0.0,107.29282,107.54303,0.0,null,null,40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,109,,,0,,False,0,train,0
129,0.0,107.54303,107.79324,40.0,null,null,40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020538,110,,,0,,False,0,train,0
