stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,color,coherence,y_position,stimulus_name,Speed,orientation,spatial_frequency,size,Dir,temporal_frequency,frame,phase,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.532984,75.766509,-20.0,null,null,0.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.23352511,1,,,0,,False,0,train,1
2,0.0,75.766509,76.016715,30.0,null,null,0.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020547,2,,,0,,False,0,train,0
3,0.0,76.016715,76.26692,10.0,null,null,-40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020547,3,,,0,,False,0,train,1
4,0.0,76.26692,76.517126,20.0,null,null,40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020547,4,,,0,,False,0,train,0
5,0.0,76.517126,76.767333,-40.0,null,null,10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,5,,,0,,False,0,train,0
6,0.0,76.767333,77.01754,-10.0,null,null,30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,6,,,0,,False,0,train,2
7,0.0,77.01754,77.267747,-30.0,null,null,30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,7,,,0,,False,0,train,2
8,0.0,77.267747,77.517954,-20.0,null,null,0.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020712,8,,,0,,False,0,train,0
9,0.0,77.517954,77.768165,-20.0,null,null,-40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,9,,,0,,False,0,train,2
10,0.0,77.768165,78.018375,-30.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,10,,,0,,False,0,train,0
11,0.0,78.018375,78.268585,0.0,null,null,20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,11,,,0,,False,0,train,2
12,0.0,78.268585,78.518796,30.0,null,null,20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021038,12,,,0,,False,0,train,1
13,0.0,78.518796,78.769008,0.0,null,null,0.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,13,,,0,,False,0,train,1
14,0.0,78.769008,79.01922,-10.0,null,null,40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,14,,,0,,False,0,train,1
15,0.0,79.01922,79.269432,40.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,15,,,0,,False,0,train,1
16,0.0,79.269432,79.519644,-30.0,null,null,40.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021212,16,,,0,,False,0,train,1
17,0.0,79.519644,79.769847,-30.0,null,null,40.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,17,,,0,,False,0,train,2
18,0.0,79.769847,80.02005,10.0,null,null,40.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,18,,,0,,False,0,train,0
19,0.0,80.02005,80.270253,30.0,null,null,-10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,19,,,0,,False,0,train,0
20,0.0,80.270253,80.520456,-40.0,null,null,10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,5,,,0,,False,1,train,0
21,0.0,80.520456,80.770673,20.0,null,null,0.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,20,,,0,,False,0,train,1
22,0.0,80.770673,81.02089,-10.0,null,null,-10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,21,,,0,,False,0,train,1
23,0.0,81.02089,81.271107,20.0,null,null,-10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,22,,,0,,False,0,train,2
24,0.0,81.271107,81.521324,-40.0,null,null,-20.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,23,,,0,,False,0,train,1
25,0.0,81.521324,81.771525,-10.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,24,,,0,,False,0,train,1
26,0.0,81.771525,82.021725,-10.0,null,null,-30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,25,,,0,,False,0,train,2
27,0.0,82.021725,82.271925,-10.0,null,null,10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,26,,,0,,False,0,train,1
28,0.0,82.271925,82.522126,-20.0,null,null,-30.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020038,27,,,0,,False,0,train,2
29,0.0,82.522126,82.77234,30.0,null,null,0.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,28,,,0,,False,0,train,1
30,0.0,82.77234,83.022555,0.0,null,null,0.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,29,,,0,,False,0,train,2
31,0.0,83.022555,83.27277,30.0,null,null,30.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,30,,,0,,False,0,train,0
32,0.0,83.27277,83.522984,-10.0,null,null,30.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021462,24,,,0,,False,1,train,1
33,0.0,83.522984,83.773187,0.0,null,null,20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,11,,,0,,False,1,train,2
34,0.0,83.773187,84.02339,-30.0,null,null,-20.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,31,,,0,,False,0,train,2
35,0.0,84.02339,84.273593,10.0,null,null,10.0,gabors,null,90.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,32,,,0,,False,0,train,2
36,0.0,84.273593,84.523796,40.0,null,null,10.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25020288,33,,,0,,False,0,train,0
37,0.0,84.523796,84.774013,30.0,null,null,0.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,2,,,0,,False,1,train,0
38,0.0,84.774013,85.02423,-20.0,null,null,20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,34,,,0,,False,0,train,0
39,0.0,85.02423,85.274447,0.0,null,null,10.0,gabors,null,45.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,35,,,0,,False,0,train,1
40,0.0,85.274447,85.524664,-30.0,null,null,-20.0,gabors,null,0.0,0.08,"[20.0, 20.0]",null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.25021712,36,,,0,,False,0,train,0
