area,rf_units,ecephys_session_id,rf_center_error_before_deg,rf_center_error_after_deg
AM,54,715093703,12.8401,12.4471
LM,58,715093703,15.9579,7.3445
PM,73,715093703,28.3471,24.1331
RL,126,715093703,15.652,12.9727
V1,93,715093703,16.5692,7.55077
AL,21,719161530,9.51467,18.2838
AM,50,719161530,21.0846,6.94712
LM,56,719161530,33.4243,11.5048
PM,36,719161530,3.02685,0.728508
RL,16,719161530,14.316,5.36887
V1,82,719161530,26.9664,5.02476
AL,89,721123822,13.2007,2.34039
AM,65,721123822,16.0482,11.0646
LM,61,721123822,30,2.2504
RL,71,721123822,20.1823,7.29305
V1,58,721123822,6.40781,5.84037
AL,88,732592105,31.9531,8.1376
LM,47,732592105,30.0019,5.31603
PM,85,732592105,39.7196,25.9678
RL,76,732592105,18.6719,6.36684
V1,154,732592105,9.62915,10.7508
LM,28,737581020,25.9833,11.0385
PM,23,737581020,18.2707,6.94267
RL,77,737581020,29.3668,3.21755
V1,85,737581020,9.35479,2.60996
AM,68,739448407,22.2129,2.41927
LM,49,739448407,24.6221,2.85037
RL,66,739448407,27.4274,4.06028
V1,40,739448407,25.8705,8.92704
AL,61,742951821,34.4745,28.309
LM,69,742951821,21.7177,8.19537
PM,35,742951821,24.1904,18.6074
RL,80,742951821,15.4964,4.22991
V1,81,742951821,15.5261,2.2056
AL,49,744228101,30.1791,4.23299
LM,40,744228101,30.5596,3.12937
RL,41,744228101,7.68696,0.669486
V1,56,744228101,17.1091,6.05324
AL,27,746083955,29.5215,5.16362
LM,24,746083955,32.5662,11.0498
PM,164,746083955,41.741,12.9546
RL,58,746083955,21.7578,8.27805
V1,45,746083955,21.9808,9.69843
AL,108,750332458,55.3649,11.3955
AM,70,750332458,12.9354,1.40531
LM,65,750332458,31,8.42372
RL,56,750332458,15.2932,2.10075
V1,103,750332458,9.50749,8.41046
AL,57,750749662,11.0535,16.3764
AM,64,750749662,28.6733,11.9798
LM,17,750749662,25.2014,8.3293
PM,45,750749662,19.8817,6.2167
RL,57,750749662,16.2613,3.21213
V1,92,750749662,8.87859,4.16645
AM,72,751348571,17.4024,7.50686
LM,28,751348571,20.6015,9.2379
PM,56,751348571,11.9865,4.90799
RL,128,751348571,29.4703,8.23516
V1,74,751348571,10.3022,9.01576
AL,48,754312389,14.6065,5.78617
AM,83,754312389,17.303,4.77061
LM,6,754312389,23.3275,13.7178
PM,29,754312389,26.3212,18.5253
RL,48,754312389,14.2854,10.6549
V1,144,754312389,7.57533,5.67208
AM,56,754829445,31.2087,3.32555
PM,23,754829445,18.0107,13.6686
RL,40,754829445,54.6081,17.09
V1,141,754829445,15.5261,3.82189
AL,53,755434585,21.4709,10.0672
AM,109,755434585,7.02169,4.93834
LM,35,755434585,25.2674,18.7927
PM,85,755434585,9.70867,4.20551
RL,54,755434585,7.36585,7.75824
V1,141,755434585,7.77875,1.01449
AL,74,756029989,12.8658,1.87486
AM,83,756029989,7.3182,1.8375
LM,63,756029989,16.3398,7.08377
PM,91,756029989,13.682,2.89833
RL,22,756029989,21.3494,5.65544
V1,90,756029989,7.91186,5.52972
AL,86,757216464,56.3173,6.88127
AM,74,757216464,37.1474,10.1156
LM,86,757216464,30.3332,12.5522
RL,43,757216464,6.10845,4.18066
V1,149,757216464,8.35232,2.83175
AL,82,757970808,32.172,3.60049
AM,84,757970808,12.9541,4.9953
