ecephys_session_id,group,preference,coordinate_model,session_units,reference_units,shared_grid_points,shared_grid_fraction,comparison_supported,weighted_surface_correlation,weighted_rmse_octaves,weighted_bias_octaves
715093703,V1,sf,raw,66,2130,425,0.252826,True,-0.844304,0.207404,-0.176465
719161530,V1,sf,raw,54,2142,308,0.183224,True,-0.0667981,0.190222,-0.117511
721123822,V1,sf,raw,30,2166,282,0.167757,True,-0.829212,0.142947,-0.0594343
732592105,V1,sf,raw,94,2102,497,0.295657,True,0.677407,0.0626531,-0.0215361
737581020,V1,sf,raw,55,2141,373,0.221892,True,-0.805654,0.392193,-0.378707
739448407,V1,sf,raw,29,2167,288,0.171327,True,-0.614632,0.330842,0.134769
742951821,V1,sf,raw,47,2149,311,0.185009,True,0.86447,0.0851882,0.0301928
744228101,V1,sf,raw,29,2167,290,0.172516,True,-0.603872,0.284202,-0.269275
746083955,V1,sf,raw,28,2168,271,0.161214,True,-0.500618,0.340352,0.273801
750332458,V1,sf,raw,71,2125,459,0.273052,True,-0.470405,0.147524,-0.0548796
750749662,V1,sf,raw,51,2145,363,0.215943,True,-0.661336,0.692592,0.679564
751348571,V1,sf,raw,40,2156,357,0.212374,True,-0.965574,0.665226,0.614534
754312389,V1,sf,raw,79,2117,485,0.288519,True,0.887879,0.271153,0.195477
754829445,V1,sf,raw,96,2100,632,0.375967,True,-0.898272,0.461304,-0.357262
755434585,V1,sf,raw,97,2099,479,0.284949,True,-0.831579,0.156072,0.101367
756029989,V1,sf,raw,58,2138,379,0.225461,True,0.579493,0.213751,-0.207012
757216464,V1,sf,raw,104,2092,508,0.302201,True,-0.144211,0.305709,0.295368
757970808,V1,sf,raw,106,2090,507,0.301606,True,0.462942,0.352029,0.345132
758798717,V1,sf,raw,61,2135,383,0.227841,True,0.460469,0.064752,0.0331394
759883607,V1,sf,raw,70,2126,397,0.236169,True,0.444241,0.361706,0.358397
760345702,V1,sf,raw,66,2130,412,0.245092,True,-0.304014,0.254481,-0.236529
760693773,V1,sf,raw,132,2064,648,0.385485,True,0.616921,0.242915,-0.220935
761418226,V1,sf,raw,41,2155,338,0.201071,True,-0.170414,0.207574,-0.145986
762120172,V1,sf,raw,107,2089,551,0.327781,True,0.9229,0.0719272,-0.0325173
762602078,V1,sf,raw,94,2102,550,0.327186,True,0.448497,0.619636,-0.605868
