stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,phase,temporal_frequency,spatial_frequency,y_position,contrast,size,x_position,frame,color,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,73.537433,73.770952,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.23351871,1,,,0,,False,0,train,1
2,0.0,73.770952,74.02115,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25019862,2,,,0,,False,0,train,0
3,0.0,74.02115,74.271349,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25019862,3,,,0,,False,0,train,1
4,0.0,74.271349,74.521547,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25019862,4,,,0,,False,0,train,0
5,0.0,74.521547,74.771764,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25021636,5,,,0,,False,0,train,2
6,0.0,74.771764,75.02198,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021636,6,,,0,,False,0,train,2
7,0.0,75.02198,75.272197,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25021636,7,,,0,,False,0,train,0
8,0.0,75.272197,75.522413,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25021636,8,,,0,,False,0,train,0
9,0.0,75.522413,75.772614,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25020114,9,,,0,,False,0,train,2
10,0.0,75.772614,76.022815,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020114,10,,,0,,False,0,train,1
11,0.0,76.022815,76.273016,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020114,11,,,0,,False,0,train,2
12,0.0,76.273016,76.523217,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25020114,12,,,0,,False,0,train,0
13,0.0,76.523217,76.773436,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021886,13,,,0,,False,0,train,0
14,0.0,76.773436,77.023655,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25021886,14,,,0,,False,0,train,0
15,0.0,77.023655,77.273874,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25021886,15,,,0,,False,0,train,0
16,0.0,77.273874,77.524093,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021886,16,,,0,,False,0,train,2
17,0.0,77.524093,77.774297,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020364,17,,,0,,False,0,train,2
18,0.0,77.774297,78.0245,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25020364,18,,,0,,False,0,train,2
19,0.0,78.0245,78.274704,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25020364,19,,,0,,False,0,train,0
20,0.0,78.274704,78.524907,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020364,20,,,0,,False,0,train,2
21,0.0,78.524907,78.775116,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25020886,21,,,0,,False,0,train,0
22,0.0,78.775116,79.025325,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020886,22,,,0,,False,0,train,1
23,0.0,79.025325,79.275534,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25020886,9,,,0,,False,1,train,2
24,0.0,79.275534,79.525743,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020886,23,,,0,,False,0,train,2
25,0.0,79.525743,79.775947,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25020364,24,,,0,,False,0,train,2
26,0.0,79.775947,80.02615,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020364,25,,,0,,False,0,train,1
27,0.0,80.02615,80.276354,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25020364,26,,,0,,False,0,train,1
28,0.0,80.276354,80.526557,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25020364,27,,,0,,False,0,train,1
29,0.0,80.526557,80.776764,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25020636,28,,,0,,False,0,train,0
30,0.0,80.776764,81.02697,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25020636,29,,,0,,False,0,train,0
31,0.0,81.02697,81.277177,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020636,30,,,0,,False,0,train,1
32,0.0,81.277177,81.527383,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020636,31,,,0,,False,0,train,0
33,0.0,81.527383,81.777597,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25021364,32,,,0,,False,0,train,0
34,0.0,81.777597,82.02781,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021364,33,,,0,,False,0,train,1
35,0.0,82.02781,82.278024,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25021364,34,,,0,,False,0,train,2
36,0.0,82.278024,82.528237,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021364,35,,,0,,False,0,train,0
37,0.0,82.528237,82.778454,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-30.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25021636,36,,,0,,False,0,train,1
38,0.0,82.778454,83.02867,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021636,37,,,0,,False,0,train,0
39,0.0,83.02867,83.278887,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25021636,38,,,0,,False,0,train,0
40,0.0,83.278887,83.529103,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,10.0,0.8,"[20.0, 20.0]",-20.0,null,null,gabors,0.25021636,39,,,0,,False,0,train,1
41,0.0,83.529103,83.779302,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25019864,40,,,0,,False,0,train,2
42,0.0,83.779302,84.0295,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25019864,41,,,0,,False,0,train,2
43,0.0,84.0295,84.279699,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-10.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25019864,14,,,0,,False,1,train,0
44,0.0,84.279699,84.529897,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25019864,42,,,0,,False,0,train,0
45,0.0,84.529897,84.780119,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25022136,43,,,0,,False,0,train,2
46,0.0,84.780119,85.03034,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",0.0,null,null,gabors,0.25022136,44,,,0,,False,0,train,1
47,0.0,85.03034,85.280562,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,40.0,0.8,"[20.0, 20.0]",20.0,null,null,gabors,0.25022136,45,,,0,,False,0,train,2
48,0.0,85.280562,85.530783,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25022136,46,,,0,,False,0,train,2
49,0.0,85.530783,85.780984,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-40.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020114,11,,,0,,False,1,train,2
50,0.0,85.780984,86.031185,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",40.0,null,null,gabors,0.25020114,47,,,0,,False,0,train,0
51,0.0,86.031185,86.281386,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-10.0,null,null,gabors,0.25020114,48,,,0,,False,0,train,2
52,0.0,86.281386,86.531587,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25020114,49,,,0,,False,0,train,2
53,0.0,86.531587,86.781799,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,20.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021136,50,,,0,,False,0,train,2
54,0.0,86.781799,87.03201,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",10.0,null,null,gabors,0.25021136,51,,,0,,False,0,train,2
55,0.0,87.03201,87.282222,0.0,"[3644.93333333, 3644.93333333]",4.0,0.08,-20.0,0.8,"[20.0, 20.0]",30.0,null,null,gabors,0.25021136,52,,,0,,False,0,train,0
56,0.0,87.282222,87.532433,45.0,"[3644.93333333, 3644.93333333]",4.0,0.08,30.0,0.8,"[20.0, 20.0]",-30.0,null,null,gabors,0.25021136,53,,,0,,False,0,train,1
57,0.0,87.532433,87.782634,90.0,"[3644.93333333, 3644.93333333]",4.0,0.08,0.0,0.8,"[20.0, 20.0]",-40.0,null,null,gabors,0.25020114,54,,,0,,False,0,train,2
