stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,contrast,phase,x_position,y_position,spatial_frequency,orientation,frame,size,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
21,0.0,89.320232,89.570454,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25022173,20,,,0,,False,0,train,2
22,0.0,89.570454,89.820675,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25022173,21,,,0,,False,0,train,2
23,0.0,89.820675,90.070897,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25022173,22,,,0,,False,0,train,2
24,0.0,90.070897,90.321119,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25022173,23,,,0,,False,0,train,2
25,0.0,90.321119,90.571317,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,24,,,0,,False,0,train,2
26,0.0,90.571317,90.821515,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,4,,,0,,False,1,train,2
27,0.0,90.821515,91.071714,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25019827,16,,,0,,False,1,train,0
28,0.0,91.071714,91.321912,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,25,,,0,,False,0,train,2
29,0.0,91.321912,91.572129,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,26,,,0,,False,0,train,2
30,0.0,91.572129,91.822345,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,27,,,0,,False,0,train,2
31,0.0,91.822345,92.072562,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,28,,,0,,False,0,train,2
32,0.0,92.072562,92.322779,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021673,29,,,0,,False,0,train,0
33,0.0,92.322779,92.57298,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,-40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020077,30,,,0,,False,0,train,0
34,0.0,92.57298,92.82318,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020077,31,,,0,,False,0,train,0
35,0.0,92.82318,93.073381,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,-20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020077,32,,,0,,False,0,train,0
36,0.0,93.073381,93.323582,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020077,33,,,0,,False,0,train,0
37,0.0,93.323582,93.573796,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,34,,,0,,False,0,train,0
38,0.0,93.573796,93.82401,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021423,35,,,0,,False,0,train,2
39,0.0,93.82401,94.074225,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021423,36,,,0,,False,0,train,2
40,0.0,94.074225,94.324439,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,31,,,0,,False,1,train,0
41,0.0,94.324439,94.574642,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020327,37,,,0,,False,0,train,2
42,0.0,94.574642,94.824845,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020327,38,,,0,,False,0,train,0
43,0.0,94.824845,95.075049,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020327,39,,,0,,False,0,train,0
44,0.0,95.075049,95.325252,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,-30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020327,40,,,0,,False,0,train,1
45,0.0,95.325252,95.575466,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,0.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021423,41,,,0,,False,0,train,1
46,0.0,95.575466,95.82568,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021423,42,,,0,,False,0,train,1
47,0.0,95.82568,96.075895,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,43,,,0,,False,0,train,0
48,0.0,96.075895,96.326109,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,0.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021423,44,,,0,,False,0,train,2
49,0.0,96.326109,96.57631,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,20.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020077,45,,,0,,False,0,train,1
50,0.0,96.57631,96.82651,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020077,46,,,0,,False,0,train,2
51,0.0,96.82651,97.076711,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020077,47,,,0,,False,0,train,0
52,0.0,97.076711,97.326912,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020077,48,,,0,,False,0,train,2
53,0.0,97.326912,97.577124,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021173,49,,,0,,False,0,train,0
54,0.0,97.577124,97.827335,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,0.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021173,50,,,0,,False,0,train,2
55,0.0,97.827335,98.077547,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021173,51,,,0,,False,0,train,0
56,0.0,98.077547,98.327759,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021173,52,,,0,,False,0,train,2
57,0.0,98.327759,98.577967,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020827,53,,,0,,False,0,train,1
58,0.0,98.577967,98.828175,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020827,54,,,0,,False,0,train,0
59,0.0,98.828175,99.078384,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020827,55,,,0,,False,0,train,2
60,0.0,99.078384,99.328592,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020827,56,,,0,,False,0,train,0
61,0.0,99.328592,99.578811,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,0.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021923,57,,,0,,False,0,train,2
62,0.0,99.578811,99.82903,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021923,58,,,0,,False,0,train,0
63,0.0,99.82903,100.07925,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021923,59,,,0,,False,0,train,0
64,0.0,100.07925,100.32947,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021923,60,,,0,,False,0,train,0
65,0.0,100.32947,100.57966,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,-30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25019577,61,,,0,,False,0,train,0
66,0.0,100.57966,100.82986,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25019577,62,,,0,,False,0,train,0
67,0.0,100.82986,101.08006,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019577,63,,,0,,False,0,train,2
68,0.0,101.08006,101.33025,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25019577,64,,,0,,False,0,train,1
69,0.0,101.33025,101.58047,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25022173,65,,,0,,False,0,train,1
70,0.0,101.58047,101.8307,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25022173,66,,,0,,False,0,train,2
71,0.0,101.8307,102.08092,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25022173,67,,,0,,False,0,train,0
72,0.0,102.08092,102.33114,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25022173,68,,,0,,False,0,train,2
73,0.0,102.33114,102.58134,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,69,,,0,,False,0,train,2
74,0.0,102.58134,102.83154,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,70,,,0,,False,0,train,2
75,0.0,102.83154,103.08173,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,63,,,0,,False,1,train,2
76,0.0,103.08173,103.33193,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-20.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25019827,71,,,0,,False,0,train,1
77,0.0,103.33193,103.58215,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,0.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021923,72,,,0,,False,0,train,1
78,0.0,103.58215,103.83237,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021923,37,,,0,,False,1,train,2
79,0.0,103.83237,104.08259,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021923,73,,,0,,False,0,train,2
80,0.0,104.08259,104.33281,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,0.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021923,44,,,0,,False,1,train,2
81,0.0,104.33281,104.58301,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,0.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,57,,,0,,False,1,train,2
82,0.0,104.58301,104.83321,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25019827,56,,,0,,False,1,train,0
83,0.0,104.83321,105.0834,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25019827,74,,,0,,False,0,train,1
84,0.0,105.0834,105.3336,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,-40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,75,,,0,,False,0,train,2
85,0.0,105.3336,105.58382,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,0.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,76,,,0,,False,0,train,2
86,0.0,105.58382,105.83404,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021673,77,,,0,,False,0,train,1
87,0.0,105.83404,106.08425,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,78,,,0,,False,0,train,2
88,0.0,106.08425,106.33447,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021673,18,,,0,,False,1,train,1
89,0.0,106.33447,106.58467,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,20.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020327,79,,,0,,False,0,train,1
90,0.0,106.58467,106.83488,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020327,80,,,0,,False,0,train,2
91,0.0,106.83488,107.08508,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020327,81,,,0,,False,0,train,2
92,0.0,107.08508,107.33528,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020327,17,,,0,,False,2,test,0
93,0.0,107.33528,107.5855,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,82,,,0,,False,0,train,0
94,0.0,107.5855,107.83571,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021423,24,,,0,,False,1,train,2
95,0.0,107.83571,108.08592,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021423,68,,,0,,False,1,train,2
96,0.0,108.08592,108.33614,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,51,,,0,,False,1,train,0
97,0.0,108.33614,108.58634,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,37,,,0,,False,2,test,2
98,0.0,108.58634,108.83654,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,83,,,0,,False,0,train,2
99,0.0,108.83654,109.08673,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25019827,84,,,0,,False,0,train,0
100,0.0,109.08673,109.33693,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,36,,,0,,False,1,train,2
101,0.0,109.33693,109.58715,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,81,,,0,,False,1,train,2
102,0.0,109.58715,109.83737,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021673,85,,,0,,False,0,train,1
103,0.0,109.83737,110.08758,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021673,86,,,0,,False,0,train,2
104,0.0,110.08758,110.3378,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021673,87,,,0,,False,0,train,0
105,0.0,110.3378,110.588,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,0.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020577,72,,,0,,False,1,train,1
106,0.0,110.588,110.83821,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,-20.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020577,88,,,0,,False,0,train,1
107,0.0,110.83821,111.08842,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020577,89,,,0,,False,0,train,0
108,0.0,111.08842,111.33862,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020577,90,,,0,,False,0,train,0
109,0.0,111.33862,111.58883,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021173,54,,,0,,False,1,train,0
110,0.0,111.58883,111.83905,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021173,91,,,0,,False,0,train,0
111,0.0,111.83905,112.08926,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021173,92,,,0,,False,0,train,2
112,0.0,112.08926,112.33947,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021173,54,,,0,,False,2,test,0
113,0.0,112.33947,112.58967,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020577,25,,,0,,False,1,train,2
114,0.0,112.58967,112.83988,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020577,43,,,0,,False,1,train,0
115,0.0,112.83988,113.09009,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020577,84,,,0,,False,1,train,0
116,0.0,113.09009,113.34029,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020577,93,,,0,,False,0,train,0
117,0.0,113.34029,113.5905,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020923,94,,,0,,False,0,train,0
118,0.0,113.5905,113.84071,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020923,95,,,0,,False,0,train,2
119,0.0,113.84071,114.09092,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,0.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020923,96,,,0,,False,0,train,1
120,0.0,114.09092,114.34113,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020923,46,,,0,,False,1,train,2
121,0.0,114.34113,114.59134,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020827,97,,,0,,False,0,train,0
122,0.0,114.59134,114.84155,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-20.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020827,98,,,0,,False,0,train,1
123,0.0,114.84155,115.09175,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,-10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020827,99,,,0,,False,0,train,2
124,0.0,115.09175,115.34196,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020827,95,,,0,,False,1,train,2
125,0.0,115.34196,115.59217,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-20.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021173,71,,,0,,False,1,train,1
126,0.0,115.59217,115.84239,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,-20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021173,58,,,0,,False,1,train,0
127,0.0,115.84239,116.0926,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021173,100,,,0,,False,0,train,2
128,0.0,116.0926,116.34281,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25021173,66,,,0,,False,1,train,2
129,0.0,116.34281,116.59302,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,10.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020827,101,,,0,,False,0,train,2
130,0.0,116.59302,116.84323,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020827,102,,,0,,False,0,train,0
131,0.0,116.84323,117.09343,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020827,103,,,0,,False,0,train,1
132,0.0,117.09343,117.34364,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020827,7,,,0,,False,1,train,0
133,0.0,117.34364,117.59385,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020923,104,,,0,,False,0,train,0
134,0.0,117.59385,117.84406,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020923,105,,,0,,False,0,train,1
135,0.0,117.84406,118.09427,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,-30.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020923,82,,,0,,False,1,train,0
136,0.0,118.09427,118.34448,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,-30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020923,40,,,0,,False,1,train,1
