stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,contrast,phase,x_position,y_position,spatial_frequency,orientation,frame,size,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.332759,84.566284,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,-10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.23352547,1,,,0,,False,0,train,1
2,0.0,84.566284,84.81649,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-10.0,40.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020586,2,,,0,,False,0,train,2
3,0.0,84.81649,85.066696,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,-30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020586,3,,,0,,False,0,train,1
4,0.0,85.066696,85.316902,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-30.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25020586,4,,,0,,False,0,train,2
5,0.0,85.316902,85.567119,null,gabors,0.8,"[3644.93333333, 3644.93333333]",40.0,40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021673,5,,,0,,False,0,train,1
6,0.0,85.567119,85.817335,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021673,6,,,0,,False,0,train,1
7,0.0,85.817335,86.067552,null,gabors,0.8,"[3644.93333333, 3644.93333333]",30.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021673,7,,,0,,False,0,train,0
8,0.0,86.067552,86.317769,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,10.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021673,8,,,0,,False,0,train,1
9,0.0,86.317769,86.567967,null,gabors,0.8,"[3644.93333333, 3644.93333333]",0.0,40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25019827,9,,,0,,False,0,train,1
10,0.0,86.567967,86.818165,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25019827,10,,,0,,False,0,train,1
11,0.0,86.818165,87.068364,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,20.0,0.08,90.0,null,"[20.0, 20.0]",4.0,0.25019827,11,,,0,,False,0,train,2
12,0.0,87.068364,87.318562,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25019827,12,,,0,,False,0,train,0
13,0.0,87.318562,87.568776,null,gabors,0.8,"[3644.93333333, 3644.93333333]",20.0,20.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,13,,,0,,False,0,train,0
14,0.0,87.568776,87.81899,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021423,14,,,0,,False,0,train,1
15,0.0,87.81899,88.069205,null,gabors,0.8,"[3644.93333333, 3644.93333333]",10.0,-30.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25021423,15,,,0,,False,0,train,1
16,0.0,88.069205,88.319419,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-40.0,0.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25021423,16,,,0,,False,0,train,0
17,0.0,88.319419,88.569622,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020327,17,,,0,,False,0,train,0
18,0.0,88.569622,88.819825,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-30.0,-40.0,0.08,45.0,null,"[20.0, 20.0]",4.0,0.25020327,18,,,0,,False,0,train,1
19,0.0,88.819825,89.070029,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,-10.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020327,17,,,0,,False,1,train,0
20,0.0,89.070029,89.320232,null,gabors,0.8,"[3644.93333333, 3644.93333333]",-20.0,40.0,0.08,0.0,null,"[20.0, 20.0]",4.0,0.25020327,19,,,0,,False,0,train,0
