stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,size,stimulus_name,x_position,contrast,spatial_frequency,color,frame,phase,temporal_frequency,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
20,0.0,93.809796,94.060001,-30.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020557,20,,,0,,False,0,train,2
21,0.0,94.060001,94.310213,0.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021193,21,,,0,,False,0,train,2
22,0.0,94.310213,94.560425,-30.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021193,22,,,0,,False,0,train,1
23,0.0,94.560425,94.810637,-30.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021193,23,,,0,,False,0,train,2
24,0.0,94.810637,95.060849,-40.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021193,24,,,0,,False,0,train,1
25,0.0,95.060849,95.311055,20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020557,13,,,0,,False,1,train,0
26,0.0,95.311055,95.56126,-10.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020557,25,,,0,,False,0,train,2
27,0.0,95.56126,95.811466,40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020557,26,,,0,,False,0,train,0
28,0.0,95.811466,96.061671,0.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020557,27,,,0,,False,0,train,0
29,0.0,96.061671,96.311883,-20.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021193,16,,,0,,False,1,train,1
30,0.0,96.311883,96.562095,-20.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021193,28,,,0,,False,0,train,2
31,0.0,96.562095,96.812307,40.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021193,29,,,0,,False,0,train,0
32,0.0,96.812307,97.062519,-40.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021193,30,,,0,,False,0,train,0
33,0.0,97.062519,97.312725,-30.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020557,31,,,0,,False,0,train,2
34,0.0,97.312725,97.56293,-20.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020557,32,,,0,,False,0,train,1
35,0.0,97.56293,97.813136,-30.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020557,33,,,0,,False,0,train,1
36,0.0,97.813136,98.063341,-10.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020557,34,,,0,,False,0,train,2
37,0.0,98.063341,98.313563,-20.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25022193,35,,,0,,False,0,train,2
38,0.0,98.313563,98.563785,40.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25022193,36,,,0,,False,0,train,2
39,0.0,98.563785,98.814007,40.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022193,37,,,0,,False,0,train,1
40,0.0,98.814007,99.064229,0.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25022193,38,,,0,,False,0,train,2
41,0.0,99.064229,99.314425,10.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019557,39,,,0,,False,0,train,0
42,0.0,99.314425,99.56462,40.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019557,40,,,0,,False,0,train,0
43,0.0,99.56462,99.814816,0.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019557,41,,,0,,False,0,train,0
44,0.0,99.814816,100.06501,0.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25019557,42,,,0,,False,0,train,1
45,0.0,100.06501,100.31522,-20.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020943,43,,,0,,False,0,train,0
46,0.0,100.31522,100.56543,20.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020943,44,,,0,,False,0,train,0
47,0.0,100.56543,100.81564,30.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020943,45,,,0,,False,0,train,2
48,0.0,100.81564,101.06585,-40.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020943,46,,,0,,False,0,train,0
49,0.0,101.06585,101.31605,10.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020557,47,,,0,,False,0,train,1
50,0.0,101.31605,101.56626,-30.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020557,48,,,0,,False,0,train,2
51,0.0,101.56626,101.81647,20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020557,49,,,0,,False,0,train,1
52,0.0,101.81647,102.06667,-20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020557,50,,,0,,False,0,train,2
53,0.0,102.06667,102.31689,10.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021693,51,,,0,,False,0,train,1
54,0.0,102.31689,102.56711,30.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021693,52,,,0,,False,0,train,0
55,0.0,102.56711,102.81732,0.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021693,53,,,0,,False,0,train,0
56,0.0,102.81732,103.06754,-20.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021693,35,,,0,,False,1,train,2
57,0.0,103.06754,103.31774,10.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020057,54,,,0,,False,0,train,0
58,0.0,103.31774,103.56794,30.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020057,55,,,0,,False,0,train,2
59,0.0,103.56794,103.81814,-20.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020057,56,,,0,,False,0,train,2
60,0.0,103.81814,104.06834,0.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020057,4,,,0,,False,1,train,0
61,0.0,104.06834,104.31856,20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022193,49,,,0,,False,1,train,1
62,0.0,104.31856,104.56879,10.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25022193,6,,,0,,False,1,train,0
63,0.0,104.56879,104.81901,-10.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022193,57,,,0,,False,0,train,1
64,0.0,104.81901,105.06923,-20.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25022193,58,,,0,,False,0,train,0
65,0.0,105.06923,105.31943,40.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019807,59,,,0,,False,0,train,2
66,0.0,105.31943,105.56963,10.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019807,60,,,0,,False,0,train,0
67,0.0,105.56963,105.81982,10.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019807,61,,,0,,False,0,train,2
68,0.0,105.81982,106.07002,-10.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25019807,8,,,0,,False,1,train,1
69,0.0,106.07002,106.32024,-30.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021943,20,,,0,,False,1,train,2
70,0.0,106.32024,106.57046,20.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021943,62,,,0,,False,0,train,2
71,0.0,106.57046,106.82068,20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021943,1,,,0,,False,1,train,2
72,0.0,106.82068,107.0709,30.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021943,63,,,0,,False,0,train,2
73,0.0,107.0709,107.3211,40.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020057,10,,,0,,False,1,train,1
74,0.0,107.3211,107.5713,-40.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020057,64,,,0,,False,0,train,1
75,0.0,107.5713,107.8215,30.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020057,65,,,0,,False,0,train,0
76,0.0,107.8215,108.0717,0.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020057,66,,,0,,False,0,train,1
77,0.0,108.0717,108.32191,40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020693,67,,,0,,False,0,train,1
78,0.0,108.32191,108.57212,40.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020693,68,,,0,,False,0,train,0
79,0.0,108.57212,108.82232,-10.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020693,69,,,0,,False,0,train,2
80,0.0,108.82232,109.07253,-10.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020693,57,,,0,,False,1,train,1
81,0.0,109.07253,109.32274,-40.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020807,70,,,0,,False,0,train,0
82,0.0,109.32274,109.57295,-30.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020807,71,,,0,,False,0,train,0
83,0.0,109.57295,109.82315,20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020807,1,,,0,,False,2,test,2
84,0.0,109.82315,110.07336,30.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020807,72,,,0,,False,0,train,0
85,0.0,110.07336,110.32358,-20.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021943,56,,,0,,False,1,train,2
86,0.0,110.32358,110.5738,10.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021943,73,,,0,,False,0,train,1
87,0.0,110.5738,110.82402,0.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021943,74,,,0,,False,0,train,0
88,0.0,110.82402,111.07424,-30.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021943,71,,,0,,False,1,train,0
89,0.0,111.07424,111.32444,-10.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019807,75,,,0,,False,0,train,0
90,0.0,111.32444,111.57464,20.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25019807,76,,,0,,False,0,train,1
91,0.0,111.57464,111.82483,40.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019807,77,,,0,,False,0,train,0
92,0.0,111.82483,112.07503,10.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019807,78,,,0,,False,0,train,2
93,0.0,112.07503,112.32525,-10.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021943,79,,,0,,False,0,train,0
94,0.0,112.32525,112.57547,0.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021943,80,,,0,,False,0,train,0
95,0.0,112.57547,112.82569,-10.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021943,81,,,0,,False,0,train,1
96,0.0,112.82569,113.07591,-40.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021943,24,,,0,,False,1,train,1
97,0.0,113.07591,113.32611,30.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020057,82,,,0,,False,0,train,1
98,0.0,113.32611,113.57631,-40.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020057,30,,,0,,False,1,train,0
99,0.0,113.57631,113.82651,-30.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020057,83,,,0,,False,0,train,1
100,0.0,113.82651,114.07671,-40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020057,84,,,0,,False,0,train,2
101,0.0,114.07671,114.32693,0.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021943,85,,,0,,False,0,train,1
102,0.0,114.32693,114.57715,-10.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021943,86,,,0,,False,0,train,1
103,0.0,114.57715,114.82737,-30.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021943,33,,,0,,False,1,train,1
104,0.0,114.82737,115.07759,-10.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021943,69,,,0,,False,1,train,2
105,0.0,115.07759,115.32778,-10.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25019557,2,,,0,,False,1,train,1
106,0.0,115.32778,115.57798,-30.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019557,48,,,0,,False,1,train,2
107,0.0,115.57798,115.82818,40.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019557,87,,,0,,False,0,train,2
108,0.0,115.82818,116.07837,-40.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019557,88,,,0,,False,0,train,0
109,0.0,116.07837,116.3286,30.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25022943,89,,,0,,False,0,train,2
110,0.0,116.3286,116.57883,-40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022943,11,,,0,,False,1,train,1
111,0.0,116.57883,116.82906,10.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25022943,90,,,0,,False,0,train,2
112,0.0,116.82906,117.07929,0.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25022943,91,,,0,,False,0,train,2
113,0.0,117.07929,117.32948,20.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25019307,92,,,0,,False,0,train,0
114,0.0,117.32948,117.57968,20.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019307,93,,,0,,False,0,train,2
115,0.0,117.57968,117.82987,0.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019307,94,,,0,,False,0,train,2
116,0.0,117.82987,118.08006,20.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25019307,95,,,0,,False,0,train,2
117,0.0,118.08006,118.33027,40.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021193,96,,,0,,False,0,train,1
118,0.0,118.33027,118.58049,30.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021193,97,,,0,,False,0,train,0
119,0.0,118.58049,118.8307,-30.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021193,31,,,0,,False,1,train,2
120,0.0,118.8307,119.08091,30.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021193,82,,,0,,False,1,train,1
121,0.0,119.08091,119.33111,-20.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020307,50,,,0,,False,1,train,2
122,0.0,119.33111,119.58132,0.0,"[20.0, 20.0]",gabors,10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020307,91,,,0,,False,1,train,2
123,0.0,119.58132,119.83152,-40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020307,11,,,0,,False,2,test,1
124,0.0,119.83152,120.08172,20.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020307,98,,,0,,False,0,train,2
125,0.0,120.08172,120.33194,-40.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25022193,99,,,0,,False,0,train,0
126,0.0,120.33194,120.58217,-10.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022193,2,,,0,,False,2,test,1
127,0.0,120.58217,120.83239,20.0,"[20.0, 20.0]",gabors,-40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022193,18,,,0,,False,1,train,1
128,0.0,120.83239,121.08261,10.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25022193,100,,,0,,False,0,train,1
129,0.0,121.08261,121.33281,40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020057,101,,,0,,False,0,train,2
130,0.0,121.33281,121.58301,0.0,"[20.0, 20.0]",gabors,20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25020057,102,,,0,,False,0,train,1
131,0.0,121.58301,121.83321,-40.0,"[20.0, 20.0]",gabors,-20.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25020057,103,,,0,,False,0,train,0
132,0.0,121.83321,122.08341,0.0,"[20.0, 20.0]",gabors,-10.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25020057,94,,,0,,False,1,train,2
133,0.0,122.08341,122.33362,40.0,"[20.0, 20.0]",gabors,0.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,45.0,0.25021193,37,,,0,,False,1,train,1
134,0.0,122.33362,122.58384,-40.0,"[20.0, 20.0]",gabors,30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021193,70,,,0,,False,1,train,0
135,0.0,122.58384,122.83405,40.0,"[20.0, 20.0]",gabors,-30.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,0.0,0.25021193,104,,,0,,False,0,train,0
136,0.0,122.83405,123.08426,0.0,"[20.0, 20.0]",gabors,40.0,0.8,0.08,null,null,"[3644.93333333, 3644.93333333]",4.0,90.0,0.25021193,38,,,0,,False,1,train,2
