ecephys_session_id,group,preference,model,weighted_correlation,weighted_rmse_octaves,shared_grid_points,coverage_fraction
715093703,V1,sf,raw,-0.309521,0.263439,362,0.859857
715093703,V1,tf,raw,0.841477,0.132985,381,0.871854
715093703,HVA pooled,sf,raw,0.425515,0.152398,1317,1
715093703,HVA pooled,tf,raw,0.448138,0.383984,1393,1
719161530,V1,sf,raw,0.379213,0.210466,300,0.983607
719161530,V1,tf,raw,-0.309164,0.255933,330,1
719161530,HVA pooled,sf,raw,0.386074,0.202411,655,1
719161530,HVA pooled,tf,raw,0.816004,0.403807,795,1
721123822,V1,sf,raw,-0.698843,0.212315,272,1
721123822,V1,tf,raw,0.863962,0.0842302,355,1
721123822,HVA pooled,sf,raw,0.562961,0.218864,1532,1
721123822,HVA pooled,tf,raw,0.568681,0.400722,1565,1
744228101,V1,sf,raw,-0.625378,0.276117,273,0.99635
744228101,V1,tf,raw,-0.106168,0.635478,338,0.976879
744228101,HVA pooled,sf,raw,0.262975,0.222258,491,1
744228101,HVA pooled,tf,raw,0.669986,0.36371,787,1
750749662,V1,sf,raw,-0.639536,0.795889,348,1
750749662,V1,tf,raw,0.770262,0.252981,391,1
750749662,HVA pooled,sf,raw,-0.226891,0.166865,1004,1
750749662,HVA pooled,tf,raw,0.0419196,0.587177,1145,1
751348571,V1,sf,raw,-0.894792,0.686586,323,1
751348571,V1,tf,raw,0.876117,0.289481,378,1
751348571,HVA pooled,sf,raw,-0.45634,0.310065,1164,1
751348571,HVA pooled,tf,raw,0.299596,0.53202,1325,1
754312389,V1,sf,raw,0.546413,0.294013,472,1
754312389,V1,tf,raw,0.623127,0.0981831,499,1
754312389,HVA pooled,sf,raw,0.481585,0.19422,811,1
754312389,HVA pooled,tf,raw,0.860053,0.307116,1198,1
754829445,V1,sf,raw,-0.794673,0.466429,585,0.983193
754829445,V1,tf,raw,0.429596,0.400115,603,0.975728
754829445,HVA pooled,sf,raw,0.382211,0.727856,52,1
754829445,HVA pooled,tf,raw,-0.602008,0.27936,238,1
755434585,V1,sf,raw,-0.714514,0.187658,457,1
755434585,V1,tf,raw,0.312343,0.0626693,451,1
755434585,HVA pooled,sf,raw,0.343761,0.265014,1552,1
755434585,HVA pooled,tf,raw,0.602842,0.242121,1607,1
756029989,V1,sf,raw,0.679946,0.277216,365,1
756029989,V1,tf,raw,0.826234,0.159572,412,1
756029989,HVA pooled,sf,raw,-0.0441239,0.412957,1437,1
756029989,HVA pooled,tf,raw,0.843139,0.300881,1493,1
757216464,V1,sf,raw,-0.183032,0.29682,480,0.995851
757216464,V1,tf,raw,0.815816,0.135121,497,0.997992
757216464,HVA pooled,sf,raw,-0.572606,0.323274,1128,1
757216464,HVA pooled,tf,raw,-0.110298,0.530039,1262,1
757970808,V1,sf,raw,0.087653,0.339474,494,1
757970808,V1,tf,raw,0.689107,0.0990172,507,1
757970808,HVA pooled,sf,raw,-0.212679,0.231378,1054,1
757970808,HVA pooled,tf,raw,0.768512,0.389207,1216,1
758798717,V1,sf,raw,-0.0691769,0.108075,367,1
758798717,V1,tf,raw,0.768793,0.0842568,406,1
758798717,HVA pooled,sf,raw,0.0413025,0.232084,1117,1
758798717,HVA pooled,tf,raw,0.720465,0.285417,1238,1
759883607,V1,sf,raw,0.510696,0.3445,385,1
759883607,V1,tf,raw,-0.563534,0.243119,407,1
759883607,HVA pooled,sf,raw,0.299072,0.30899,1067,1
759883607,HVA pooled,tf,raw,0.107173,0.465412,1134,1
760345702,V1,sf,raw,0.0279915,0.344518,400,1
760345702,V1,tf,raw,0.749884,0.0984852,423,1
760345702,HVA pooled,sf,raw,0.337388,0.212648,1200,1
760345702,HVA pooled,tf,raw,0.176433,0.461218,1116,1
761418226,V1,sf,raw,0.0521939,0.18906,297,0.919505
761418226,V1,tf,raw,0.362512,0.105329,319,0.938235
761418226,HVA pooled,sf,raw,0.282559,0.213929,1154,1
761418226,HVA pooled,tf,raw,0.819317,0.36644,1189,1
762602078,V1,sf,raw,0.79547,0.652564,412,0.78626
762602078,V1,tf,raw,0.399211,0.118061,427,0.783486
762602078,HVA pooled,sf,raw,0.794892,0.228372,442,1
762602078,HVA pooled,tf,raw,0.768896,0.0740651,379,1
763673393,V1,sf,raw,-0.517409,0.200171,434,1
763673393,V1,tf,raw,-0.372948,0.195074,453,1
763673393,HVA pooled,sf,raw,0.535336,0.186684,742,1
763673393,HVA pooled,tf,raw,0.840199,0.267443,827,1
773418906,V1,sf,raw,0.727331,0.648465,374,1
773418906,V1,tf,raw,-0.929389,0.160671,364,1
773418906,HVA pooled,sf,raw,0.392044,0.195795,920,1
773418906,HVA pooled,tf,raw,0.00516385,0.38933,1051,1
791319847,V1,sf,raw,0.863631,0.355728,488,1
791319847,V1,tf,raw,0.459479,0.134656,502,1
791319847,HVA pooled,sf,raw,0.137204,0.299921,1231,1
791319847,HVA pooled,tf,raw,0.352761,0.547637,1274,1
797828357,V1,sf,raw,0.631647,0.069028,410,0.987952
797828357,V1,tf,raw,-0.702696,0.326465,477,1
797828357,HVA pooled,sf,raw,-0.46711,0.377377,483,1
