ecephys_session_id,n_held_cells,naive_held_error_deg,affine_held_error_deg,chosen_dtheta_deg,chosen_dscale,improvement_deg
786091066,576,32.517472632334126,28.222073135105106,8.57142857142857,1.0428571428571427,4.29539949722902
798911424,478,24.237723618456954,23.80954273962937,10.714285714285715,1.0428571428571427,0.4281808788275825
778240327,455,24.777892809607277,20.052965530208983,8.57142857142857,1.0428571428571427,4.724927279398294
755434585,400,29.88046451485399,24.724139832671348,8.57142857142857,1.0428571428571427,5.1563246821826425
774875821,450,28.855188183364383,27.2717682379936,8.57142857142857,1.0428571428571427,1.5834199453707818
847657808,414,32.83941153296487,27.442470555962128,8.57142857142857,1.0428571428571427,5.396940977002739
831882777,310,27.78206153767689,25.522447661588387,8.57142857142857,1.0428571428571427,2.259613876088501
757216464,409,21.497074743535713,19.632060881547,8.57142857142857,1.0428571428571427,1.8650138619887109
829720705,398,36.60386709055523,35.611531651662595,10.714285714285715,1.0428571428571427,0.9923354388926313
756029989,393,32.41761644171732,32.349641632101964,8.57142857142857,1.0428571428571427,0.0679748096153574
781842082,381,37.07000628741395,25.92050838824474,8.57142857142857,1.0428571428571427,11.149497899169212
794812542,383,30.75244064468622,27.148484266960512,8.57142857142857,1.0428571428571427,3.6039563777257086
715093703,314,18.736493137514028,22.991499082156686,10.714285714285715,1.0642857142857143,-4.255005944642658
768515987,373,18.34295716071198,16.287743086101937,8.57142857142857,1.0428571428571427,2.055214074610042
771160300,378,24.334008514627246,25.18177502545314,10.714285714285715,1.0642857142857143,-0.8477665108258918
761418226,328,34.6851801261772,32.77896780197633,8.57142857142857,1.0428571428571427,1.9062123242008724
767871931,372,20.29546322340419,19.308595711607477,8.57142857142857,1.0428571428571427,0.9868675117967136
797828357,340,34.61234529948014,31.91161747924111,10.714285714285715,1.0428571428571427,2.700727820239031
840012044,385,21.057724695133814,14.944041975158907,8.57142857142857,1.0642857142857143,6.113682719974907
757970808,354,30.186279338523367,31.084368840774047,8.57142857142857,1.0428571428571427,-0.8980895022506807
791319847,349,23.423010222383976,23.877516884146086,8.57142857142857,1.0428571428571427,-0.4545066617621103
778998620,345,26.966051984312685,25.65163597496745,8.57142857142857,1.0428571428571427,1.3144160093452335
839068429,329,21.60326441089492,21.451831722464515,8.57142857142857,1.0428571428571427,0.15143268843040403
773418906,325,36.78022447590691,29.29285149300991,8.57142857142857,1.0428571428571427,7.4873729828970035
799864342,327,34.252214505164474,36.292369661692284,10.714285714285715,1.0428571428571427,-2.0401551565278098
751348571,331,30.194499809881997,26.169507776936456,8.57142857142857,1.0428571428571427,4.024992032945541
754312389,339,25.798798597680793,25.700166753343296,10.714285714285715,1.0642857142857143,0.09863184433749694
766640955,317,33.35051136910141,29.42497006545857,8.57142857142857,1.0428571428571427,3.9255413036428415
721123822,330,22.167187761816905,23.355227494854365,10.714285714285715,1.0428571428571427,-1.18803973303746
816200189,322,18.557908210825968,17.042148009764787,8.57142857142857,1.0428571428571427,1.5157602010611804
760345702,327,23.045266092421155,16.72049698703604,8.57142857142857,1.0428571428571427,6.324769105385116
750749662,298,19.30355693580764,25.288729456008554,8.57142857142857,1.0428571428571427,-5.985172520200912
759883607,298,15.137347265658864,14.170653050446617,8.57142857142857,1.0428571428571427,0.9666942152122466
835479236,271,46.091513329380014,45.956799829653114,10.714285714285715,1.0428571428571427,0.1347134997268995
758798717,289,30.876497599878263,28.304003173023975,8.57142857142857,1.0428571428571427,2.5724944268542878
779839471,263,19.75324486379702,21.751743984510878,8.57142857142857,1.0428571428571427,-1.9984991207138592
763673393,268,26.119973703449073,23.985723129189317,8.57142857142857,1.0428571428571427,2.134250574259756
793224716,253,23.697984422128805,20.90480222832916,8.57142857142857,1.0428571428571427,2.7931821937996446
771990200,252,20.938839843387377,21.439281970326903,8.57142857142857,1.0428571428571427,-0.5004421269395252
762602078,228,24.950357318540867,23.20811724790895,8.57142857142857,1.0428571428571427,1.7422400706319152
719161530,251,22.681450944701858,21.964563454151946,10.714285714285715,1.0428571428571427,0.7168874905499116
754829445,223,25.053079992360583,28.58201471095528,8.57142857142857,1.0428571428571427,-3.528934718594698
787025148,215,21.583116697332734,18.868840460741055,8.57142857142857,1.0428571428571427,2.7142762365916795
789848216,180,35.88185816007455,29.761481771041915,8.57142857142857,1.0428571428571427,6.120376389032636
744228101,168,33.10083818399452,30.456934224081294,10.714285714285715,1.0428571428571427,2.6439039599132244
