ecephys_session_id,disagreement_az,disagreement_el,disagreement_magnitude_deg,capped
766640955,-20.47696818245885,-5.318133730976372,21.156293917555146,True
761418226,-20.839625187906858,-3.6467512053249234,21.156293917555143,True
744228101,19.16172028612089,8.967566448175551,21.156293917555143,True
757970808,-20.72420068830602,4.253972044665665,21.156293917555143,True
835479236,8.672048016147599,19.29726290258831,21.15629391755514,True
789848216,-20.992966604426886,2.623761702479479,21.15629391755514,True
829720705,19.876599322656517,7.246348852529187,21.15629391755514,True
773418906,10.233096650319517,18.410219593360043,21.063058954732064,False
754829445,14.256435905012069,-14.04214126520904,20.01068954398633,False
774875821,-19.462180798357387,4.103502304157612,19.89007824489833,False
847657808,-14.541601154824722,10.346265264797239,17.84666268733596,False
771160300,-8.663585886979266,-15.454515702988814,17.717216938193033,False
797828357,12.614893380128123,10.934205947000233,16.694082624793,False
794812542,14.6885355640608,7.407513875696216,16.450663780994095,False
793224716,14.025261347947051,8.393685598367338,16.345088369368238,False
781842082,7.336926995868112,14.593327162137571,16.33388182288217,False
719161530,12.515539705570752,-10.48977454422087,16.330159341240435,False
831882777,15.601687319447109,-3.5831517373950597,16.007861305839516,False
762602078,8.20386622790761,13.344511944933771,15.664591285248497,False
754312389,-14.734414839167872,-3.338714721616885,15.107944818704883,False
751348571,10.97767185425002,-10.04613675024798,14.88066339059775,False
791319847,14.048342184159303,-3.6933043192304122,14.52571564218699,False
760345702,-5.680450390246172,-12.938475183687654,14.130522167101581,False
763673393,-13.236580450917263,-4.436895147426915,13.960411905916873,False
756029989,11.369822358761468,-5.51515521331469,12.63684286112415,False
816200189,2.2953499574937766,12.342838093086643,12.554452740741725,False
839068429,11.255325881248098,1.6866832976115447,11.381004403809666,False
786091066,-6.904633982283784,8.656565026366213,11.072943984551475,False
840012044,-2.427248580033421,-10.241848609054115,10.525540299673835,False
721123822,8.099145502560553,-5.401077294516522,9.734875130837002,False
715093703,1.4266698585852708,-9.460175053590309,9.567146854207273,False
778240327,-6.143539807766032,-7.13032026656251,9.41193648902063,False
771990200,-7.460994319176677,3.763913979498072,8.356643146374486,False
778998620,7.909514522838833,-0.6999818990031716,7.940427862900746,False
799864342,-3.417317321235437,6.361896914596545,7.221619626231278,False
787025148,-6.270197562743888,0.12420716554224853,6.271427660095541,False
757216464,-4.536551092177099,3.8977814454453616,5.981053085234352,False
779839471,-1.65701386055526,-5.339758541625304,5.590949491538324,False
798911424,3.351807102461123,3.6500686904311364,4.955563771860322,False
755434585,3.678128351454589,-2.9163202505019026,4.693991049550641,False
768515987,4.09654599039898,-2.1089015781673073,4.607510707296351,False
750749662,-3.1218654530030463,-2.6416546716332956,4.089545611778395,False
758798717,-1.275874905074076,3.502000504579528,3.7271791354150197,False
767871931,0.12835955829788048,3.0574386494843337,3.060131904275862,False
759883607,-1.1597841429196336,0.01707869815352847,1.1599098844731208,False
