outcome,area,session_id,cohort,n_hva_available,n_hva_matched,hva_discarded_fraction,n_v1_candidates,n_unique_v1_matched,mean_match_distance_deg,smd_azimuth_before,smd_azimuth_after,smd_elevation_before,smd_elevation_after
ttfs_ms,RL,715093703,Brain Observatory 1.1,30,17,0.43333333333333335,36,7,6.098904120091403,-1.861780280633043,-0.29307041741738327,-1.2254528553173012,-0.8292304629600895
ttfs_ms,PM,715093703,Brain Observatory 1.1,18,14,0.2222222222222222,36,9,4.82029356127896,-0.3010696443273336,-0.16590691554685283,0.9316859139941552,0.13726635441098334
ttfs_ms,LM,719161530,Brain Observatory 1.1,34,27,0.20588235294117652,43,10,4.09334334267603,0.03707139689923203,-0.09983957587571403,1.872203691068137,0.5230699682067084
ttfs_ms,AL,719161530,Brain Observatory 1.1,13,6,0.5384615384615384,43,3,4.959721509323295,0.5638934928875294,0.1296594104237501,2.964765150548339,1.204841479303653
ttfs_ms,AM,719161530,Brain Observatory 1.1,24,21,0.125,43,12,3.236939867595513,-0.31533100075089177,-0.05912924406060579,0.9484044299785781,0.22871001283137996
ttfs_ms,RL,721123822,Brain Observatory 1.1,9,7,0.2222222222222222,27,4,6.913685808508599,-0.4398522402738392,0.09299025602731438,-2.1283739746264603,-1.036107993829369
ttfs_ms,AL,721123822,Brain Observatory 1.1,14,7,0.5,27,5,6.576152750284014,0.7653065989215949,0.17215539372668165,1.4037717166478894,0.40892956303857997
ttfs_ms,AM,721123822,Brain Observatory 1.1,18,16,0.11111111111111116,27,9,5.458184169993989,-0.6435450994686609,-0.027169056744029692,-1.1879885730430815,-0.4989525906328178
ttfs_ms,AL,732592105,Brain Observatory 1.1,9,7,0.2222222222222222,111,5,5.444139059052555,0.941095033640434,0.4859421892877201,-0.6177937778432929,-0.11162746605617994
ttfs_ms,PM,732592105,Brain Observatory 1.1,40,37,0.07499999999999996,111,22,2.9660142636535527,0.760256190117943,0.02786970193644093,-0.6977383145821375,-0.1800650431173299
ttfs_ms,LM,739448407,Brain Observatory 1.1,37,35,0.05405405405405406,22,12,5.1905004692503525,-0.19330102187179232,-0.2737331973002048,0.9607555649516824,0.0726232183490309
ttfs_ms,RL,746083955,Brain Observatory 1.1,35,35,0.0,28,13,4.0537725652162555,-1.0836859548050446,0.004317192949313385,-0.6443304649357271,-0.319365285451841
ttfs_ms,PM,746083955,Brain Observatory 1.1,39,35,0.10256410256410253,28,19,3.9275883580166036,0.3760939372078611,0.05923163505069914,-0.31027924897435943,0.015832263396666553
ttfs_ms,LM,750332458,Brain Observatory 1.1,13,8,0.3846153846153846,35,4,5.974463846247444,-1.6603714229656263,-0.2137566731536403,0.38727189991280797,0.6604006894277159
ttfs_ms,AL,750332458,Brain Observatory 1.1,25,7,0.72,35,4,5.90109765549233,-2.7360134655731976,-0.6583229299302805,2.1193267802783144,0.512103875673235
ttfs_ms,AM,750332458,Brain Observatory 1.1,30,20,0.33333333333333337,35,12,4.598507251282356,-0.5218208959806528,-0.037453217812965255,-0.47909878187993754,-0.23311353288385048
ttfs_ms,LM,750749662,Brain Observatory 1.1,7,6,0.1428571428571429,32,4,6.67687915548499,0.6223612450595023,0.5053679685147199,1.942858547995578,0.09866588708968416
ttfs_ms,RL,750749662,Brain Observatory 1.1,19,18,0.052631578947368474,32,5,5.700783832581317,-2.213747358858874,-0.5491472715709594,-0.7816163911662138,0.12245485924878738
ttfs_ms,AL,750749662,Brain Observatory 1.1,23,9,0.6086956521739131,32,4,5.766843252666754,1.970392896588008,0.295740795924957,1.0633306474459376,0.5440632640923494
ttfs_ms,AM,750749662,Brain Observatory 1.1,14,9,0.3571428571428571,32,6,5.300528263023796,1.0089688783220574,0.0588962557696905,-0.4632932771031162,-0.4043291867660593
ttfs_ms,LM,751348571,Brain Observatory 1.1,16,10,0.375,35,5,5.778904210025255,0.9214246896848699,0.14152455517709947,1.6315604928410203,0.965337447835893
ttfs_ms,RL,751348571,Brain Observatory 1.1,20,7,0.65,35,4,5.439872839133029,-1.6178773347769901,-0.1713155855902373,-0.4688430984878472,-0.17930315989408435
ttfs_ms,AM,751348571,Brain Observatory 1.1,17,14,0.17647058823529416,35,6,4.75405866720735,1.024799892361137,-0.18568102923065707,-0.18186394324336724,0.07978736416127687
ttfs_ms,RL,754312389,Brain Observatory 1.1,9,5,0.4444444444444444,86,3,3.5030548652217006,-2.0920192172685828,-0.2234405003290589,-1.3904187769322882,-0.03840008183702188
ttfs_ms,PM,754312389,Brain Observatory 1.1,12,11,0.08333333333333337,86,8,3.4960664772378762,-1.0958021966716722,0.205406579775336,0.7624036950444562,-0.09704214443438504
ttfs_ms,AM,754312389,Brain Observatory 1.1,24,21,0.125,86,13,3.620016432737116,0.31400470198318736,0.0014471714963523931,-1.2975640243018558,-0.17279139055924614
ttfs_ms,AM,754829445,Brain Observatory 1.1,28,14,0.5,65,6,6.154675930263456,1.6045447204218466,0.4190059858398827,0.8371487094425375,0.6467427197958545
ttfs_ms,LM,755434585,Brain Observatory 1.1,21,17,0.19047619047619047,50,8,4.0825568006465875,1.1951876946861506,0.22891357256674075,0.0960602259742344,0.17290418889351986
ttfs_ms,PM,755434585,Brain Observatory 1.1,38,14,0.631578947368421,50,6,5.767673726355395,-1.252598844708829,-0.025207527863965795,1.6610554687946584,0.2695034539096293
ttfs_ms,AM,755434585,Brain Observatory 1.1,40,31,0.22499999999999998,50,14,4.984361281952688,-0.10944746121496426,-0.004834521929967169,-1.0017382868243518,-0.35912730070644494
ttfs_ms,AM,756029989,Brain Observatory 1.1,31,29,0.06451612903225812,35,14,3.3571842095983926,-0.00819755931735935,-0.03532871758121475,-0.5359999401965108,-0.1992310778356224
ttfs_ms,LM,757216464,Brain Observatory 1.1,25,22,0.12,70,7,5.334618036777485,2.3271258603915874,0.5413044474256758,0.6939237507866635,0.31706620022155035
ttfs_ms,RL,757216464,Brain Observatory 1.1,13,11,0.15384615384615385,70,7,4.935170646082292,-0.975408788488889,-0.30977192842682555,-1.2540347629266408,-0.4074695630701683
ttfs_ms,AL,757216464,Brain Observatory 1.1,19,6,0.6842105263157895,70,3,6.376428654687696,-1.7465102132025374,0.10125965692240152,2.2401892123159555,0.709120787405029
ttfs_ms,AM,757216464,Brain Observatory 1.1,11,6,0.4545454545454546,70,6,4.352520913018584,1.7763999300983822,0.36613090651159724,0.12740683330485236,-0.05506750213491362
ttfs_ms,RL,757970808,Brain Observatory 1.1,47,41,0.12765957446808507,53,21,3.127877970226957,-0.7681959509881087,0.007971671420110741,-0.5396589179838794,-0.18699242685336176
ttfs_ms,AM,757970808,Brain Observatory 1.1,21,14,0.33333333333333337,53,7,4.35389854773691,0.6461935623856038,0.08549114652816697,-1.2421857206368223,-0.18891873496220926
ttfs_ms,AL,758798717,Brain Observatory 1.1,27,15,0.4444444444444444,32,6,5.506526347673311,0.726014055983721,-0.1113623559269087,-1.5386242343464083,-1.1148045381208662
ttfs_ms,AM,758798717,Brain Observatory 1.1,6,6,0.0,32,5,3.9506494564521595,0.6618746137698811,0.03508905414141498,0.40159494984054694,0.5044340619665124
ttfs_ms,PM,759883607,Brain Observatory 1.1,57,48,0.1578947368421053,46,16,2.880841044800451,0.06061802768867979,-0.034729166739721984,0.9684216430886362,0.16518988944835097
ttfs_ms,AM,759883607,Brain Observatory 1.1,56,43,0.2321428571428571,46,14,4.1164822202602345,-0.79921811103301,-0.09784553857922224,-0.5295647866115752,-0.32505206609350595
ttfs_ms,LM,760345702,Brain Observatory 1.1,19,7,0.631578947368421,48,6,4.6841011426667984,-0.15854672930127642,0.013313035069265473,2.838712001019334,0.35330254235440345
ttfs_ms,AL,760345702,Brain Observatory 1.1,23,17,0.26086956521739135,48,9,3.916218122532395,0.04343821468875881,-0.0716921394612728,-1.9036114356942597,-0.7934663718178162
ttfs_ms,PM,760345702,Brain Observatory 1.1,34,29,0.1470588235294118,48,12,5.004643185048078,-0.8017206025870371,-0.15079350756924995,0.4653513691926847,0.0693550747727941
ttfs_ms,AM,760345702,Brain Observatory 1.1,14,11,0.2142857142857143,48,8,4.715855116896868,1.3104024372383973,0.28590663635470165,-0.7074539092575216,-0.26601609962234535
ttfs_ms,RL,760693773,Brain Observatory 1.1,15,14,0.06666666666666665,70,3,4.282917550178384,-1.896810344439452,-0.43011398056682654,-1.4320775053266817,-0.007486747272553619
ttfs_ms,AL,760693773,Brain Observatory 1.1,14,9,0.3571428571428571,70,7,4.3233048777114425,0.20626054169605912,0.11258001674197315,-0.565776491702983,-0.3622194476820355
ttfs_ms,PM,760693773,Brain Observatory 1.1,31,31,0.0,70,20,3.2438709479571086,-0.11770587372179425,-0.011894388469877107,0.4423916863663045,0.02610906345444693
ttfs_ms,AM,760693773,Brain Observatory 1.1,25,24,0.040000000000000036,70,17,4.874175978010663,-0.1917222334526006,-0.030853708030415643,-0.16393304134176587,-0.1690558660021536
ttfs_ms,RL,761418226,Brain Observatory 1.1,8,7,0.125,39,4,5.117050994027866,-1.3733953393209968,-0.015496671909577148,-1.1454126548645398,-0.5968062869129886
ttfs_ms,AL,761418226,Brain Observatory 1.1,11,8,0.2727272727272727,39,7,4.1824987687167186,0.24940682747856052,0.04532299662058339,0.2563731832766652,0.06657956024139168
ttfs_ms,PM,761418226,Brain Observatory 1.1,8,8,0.0,39,4,5.0947026338713925,-0.5568087664154748,0.3547973905017076,1.432183928894045,0.08221147783152517
ttfs_ms,AM,762120172,Brain Observatory 1.1,12,11,0.08333333333333337,82,7,3.9084431476129167,-0.5699714290892515,-0.01292541387628722,0.2881547206097118,-0.03278540575051779
ttfs_ms,RL,762602078,Brain Observatory 1.1,21,13,0.38095238095238093,49,6,5.180048897281607,-1.319439739513712,-0.10811605151317824,-1.5671146338909474,-0.9496655680304316
ttfs_ms,AM,762602078,Brain Observatory 1.1,9,6,0.33333333333333337,49,6,3.1611072888652543,-0.41911094450218095,-0.16517271379087287,-1.0978494981984666,-0.2612871850104566
ttfs_ms,LM,763673393,Brain Observatory 1.1,8,8,0.0,34,6,5.781245199179446,-0.7790288809923085,-0.11261203372109835,-0.7887049520732234,-0.2532995583306803
ttfs_ms,AM,763673393,Brain Observatory 1.1,11,10,0.09090909090909094,34,7,5.304324099620553,0.9715710391665496,-0.07317157085590865,-0.4525892800823986,-0.04397500214600189
ttfs_ms,LM,766640955,Functional Connectivity,22,13,0.40909090909090906,27,5,4.946260097641057,0.7153981271652246,0.32528850329635317,-0.22758555372373482,0.05180025143499004
ttfs_ms,AL,767871931,Functional Connectivity,18,15,0.16666666666666663,94,4,6.188213525130141,0.732537723889047,0.17311355787971336,-1.4541769784297949,-2.046381625234726
ttfs_ms,PM,767871931,Functional Connectivity,6,6,0.0,94,2,6.118798297537428,-4.361431062689175,-2.0326133783127025,1.7333634212040998,0.1220006657239322
ttfs_ms,AM,767871931,Functional Connectivity,15,13,0.1333333333333333,94,7,4.359319434118586,-0.1393856477353239,0.032627627368681314,-1.1485496090478686,-0.3643947809093855
ttfs_ms,LM,768515987,Functional Connectivity,31,30,0.032258064516129004,35,14,4.48566007410486,-0.2905961997737434,0.11949564259155868,-0.49809216247901017,-0.16385333473043184
ttfs_ms,AL,768515987,Functional Connectivity,38,19,0.5,35,11,5.809059961508384,0.9278747376377174,0.044704608865914465,1.5056088087034614,0.41332704747866944
ttfs_ms,AM,768515987,Functional Connectivity,23,22,0.04347826086956519,35,13,5.121233828588267,-0.0251888069774725,-0.08681432340152227,-0.6067181468882402,-0.3019295462974231
ttfs_ms,AL,771160300,Functional Connectivity,10,10,0.0,66,9,2.6704772831884243,0.18833201329242402,-0.018777864291300194,-0.12916549238281372,0.09742118793176557
ttfs_ms,AM,771160300,Functional Connectivity,34,30,0.11764705882352944,66,19,3.8092366121528776,-0.17613002365924005,0.04986601454078895,0.800254145728556,0.08975126456552456
ttfs_ms,PM,771990200,Functional Connectivity,16,14,0.125,38,9,4.801533144740766,-0.9928035541357024,-0.19163223150850145,1.392677337842673,0.1645290725512419
ttfs_ms,AM,771990200,Functional Connectivity,15,12,0.19999999999999996,38,9,4.983816954864608,0.49694821001250306,0.17906389569014666,0.6436734031335545,-0.08331773662705692
ttfs_ms,AL,773418906,Brain Observatory 1.1,18,11,0.38888888888888884,35,6,5.66340639972481,-0.43403739519919426,-0.03015632242396096,-0.003592880026924101,-0.04418529394199509
ttfs_ms,AM,773418906,Brain Observatory 1.1,12,10,0.16666666666666663,35,8,4.728711880542299,-0.45444201489030045,-0.09935553086035051,-0.14182332323399346,-0.22300775150714017
ttfs_ms,LM,774875821,Functional Connectivity,54,54,0.0,92,26,2.865234311184284,0.6706316850255339,-0.012749734986380566,0.17246060001827282,0.07716995754191562
ttfs_ms,AL,774875821,Functional Connectivity,17,13,0.23529411764705888,92,7,3.617760602386224,1.5032417880605062,0.18801978731280464,0.8456939317405356,0.3754772995301177
ttfs_ms,AM,774875821,Functional Connectivity,46,45,0.021739130434782594,92,27,3.095785256960637,-0.17318131152472935,-0.02092930783271587,0.7837653542365003,0.05803889941003263
ttfs_ms,LM,778240327,Functional Connectivity,43,38,0.11627906976744184,70,19,3.1631163004450222,0.3077740500224902,0.03228915141653655,-0.14081135349139237,-0.05405199084492868
ttfs_ms,AL,778240327,Functional Connectivity,33,30,0.09090909090909094,70,12,5.824671786268421,1.3689675538944819,0.2334811583266746,0.6125730603362187,0.07836380909918628
ttfs_ms,AM,778240327,Functional Connectivity,28,24,0.1428571428571429,70,11,4.154686799266179,-0.12256531862874806,-0.0855728797684675,2.4450218957574616,0.37381495949022325
ttfs_ms,RL,778998620,Functional Connectivity,12,10,0.16666666666666663,49,6,4.799605879961587,-0.38848477266045256,-0.007489714955708679,0.7273606411701454,0.098252299768652
ttfs_ms,PM,778998620,Functional Connectivity,11,5,0.5454545454545454,49,4,6.320341589306285,-0.2202942508164862,0.1984061970159459,1.3330344286455245,0.12791564898155464
ttfs_ms,AM,778998620,Functional Connectivity,15,7,0.5333333333333333,49,4,4.709600026589649,0.45429011900420074,-0.0030488742695270734,-0.17933270149215286,-0.332929450668911
ttfs_ms,AL,781842082,Functional Connectivity,39,25,0.3589743589743589,56,8,5.155291297118119,1.2930551547523437,0.26625712015532316,-0.16312372111972598,-0.09779172404429963
ttfs_ms,AM,781842082,Functional Connectivity,49,44,0.10204081632653061,56,23,3.6037703939731256,0.111925789842001,0.10030055834840157,0.0038612090172833067,-0.03653532867939699
ttfs_ms,RL,786091066,Functional Connectivity,16,15,0.0625,56,8,4.464510769393532,-0.847079993118637,-0.07843281056243451,-1.0367743361794606,-0.24655404312533244
ttfs_ms,AL,786091066,Functional Connectivity,17,15,0.11764705882352944,56,11,5.60708252209941,0.42595521545169157,0.16233733851611476,0.07860870668320148,-0.06118789119011519
ttfs_ms,PM,786091066,Functional Connectivity,17,15,0.11764705882352944,56,9,4.585194424098389,0.13598494715429327,-0.0018985820416440196,1.0639871890149797,-0.08962050810130218
ttfs_ms,AM,786091066,Functional Connectivity,34,30,0.11764705882352944,56,13,4.398506018063761,0.40288072581932094,0.02075677730323847,-1.1270175631997499,-0.3837640159569783
ttfs_ms,AM,787025148,Functional Connectivity,32,27,0.15625,69,16,4.20223532264154,0.0358119709331836,0.07720374112504211,0.7290443571824206,0.04388830991107583
ttfs_ms,RL,789848216,Functional Connectivity,20,17,0.15000000000000002,5,5,3.8899351912228997,0.49892543601346273,0.3307556747730359,-0.7462011299637646,-0.4168002599825288
ttfs_ms,LM,791319847,Brain Observatory 1.1,11,6,0.4545454545454546,35,5,3.6736931256458845,0.3426492478987959,-0.05280753003653685,-0.6005781242413131,-0.40711582017303033
ttfs_ms,RL,791319847,Brain Observatory 1.1,27,20,0.2592592592592593,35,7,4.330380445755744,-1.5290828485756705,-0.2972992226896586,-1.2764496184725058,-0.3689154434244214
ttfs_ms,AL,791319847,Brain Observatory 1.1,6,5,0.16666666666666663,35,4,4.258734318607781,0.21192474413680523,-0.08057339089959399,-0.9550028335440658,-0.3095371871332028
ttfs_ms,AM,791319847,Brain Observatory 1.1,20,13,0.35,35,8,5.022996532786413,-0.6832746618176835,-0.09610541525826531,0.7993404493302635,0.25943736463951633
ttfs_ms,RL,793224716,Functional Connectivity,8,8,0.0,50,4,4.48901200896036,-1.2797416175210585,-0.06521958568777597,-1.2837085924722247,-0.1455226218829484
ttfs_ms,AL,793224716,Functional Connectivity,25,21,0.16000000000000003,50,11,3.736129179148112,0.40233619220681904,0.05641983220387313,-0.30664324287971323,-0.17398453014368087
ttfs_ms,LM,794812542,Functional Connectivity,15,13,0.1333333333333333,67,6,5.086224291598604,0.6482181599104416,0.27149389330368606,-2.1525450946319773,-0.6544110424324202
ttfs_ms,AL,794812542,Functional Connectivity,22,16,0.2727272727272727,67,6,4.9766453795875725,3.112670037783653,1.0835960133411116,-0.7645342932242205,-0.09067062377039464
ttfs_ms,AM,794812542,Functional Connectivity,49,48,0.020408163265306145,67,17,4.546191336503519,-0.061069205199902186,-0.1092838528037733,1.2743277143729044,0.38755251287051046
ttfs_ms,AL,797828357,Brain Observatory 1.1,15,10,0.33333333333333337,38,5,6.385696652534941,0.47875204917526265,0.2742262622893892,-0.534390076776696,0.004226820164383306
ttfs_ms,AM,797828357,Brain Observatory 1.1,25,14,0.43999999999999995,38,9,4.470257964940805,0.6745126839795883,-0.011971291240462933,1.5939220909616512,0.19302373470088285
ttfs_ms,LM,798911424,Brain Observatory 1.1,29,22,0.24137931034482762,42,7,5.501820998336683,-1.200407625213094,-0.3734643299055396,-1.6901460056514026,-0.4614515089530291
ttfs_ms,AL,798911424,Brain Observatory 1.1,32,22,0.3125,42,9,5.4750176361621286,1.048950467397851,0.16688747522420944,-0.023347112524435706,0.09120213810800641
ttfs_ms,AM,798911424,Brain Observatory 1.1,31,17,0.4516129032258065,42,8,5.315535163581636,0.05209898703756613,0.10904062542213384,0.7945449366018611,0.10783593502693609
ttfs_ms,LM,799864342,Brain Observatory 1.1,8,6,0.25,48,2,7.6732279259095995,-1.8291460102419854,0.18149818332813716,-0.2603421742127206,-0.9556183376136371
ttfs_ms,RL,799864342,Brain Observatory 1.1,11,10,0.09090909090909094,48,7,5.879493693455252,-0.913434837782556,-0.005614372978613271,-0.4644358962889594,-0.12239613181208005
ttfs_ms,LM,816200189,Functional Connectivity,31,27,0.12903225806451613,37,12,2.9530748431393166,0.357344027419913,0.049961750571572414,-0.2610213977070287,-0.013505550349163307
ttfs_ms,LM,821695405,Functional Connectivity,30,12,0.6,18,6,4.488416638803126,-1.4779395955973096,-0.2898412168774854,1.7502514291160973,0.3104359764295706
ttfs_ms,AL,821695405,Functional Connectivity,17,7,0.5882352941176471,18,5,4.956707454224847,-1.1662224245241672,-0.13716502907318107,1.6367853930339946,0.41759500549477124
ttfs_ms,PM,821695405,Functional Connectivity,16,15,0.0625,18,7,5.366987630564561,-1.0783068043206432,-0.01522178341561261,-0.9826910840592803,-0.2524828135181331
ttfs_ms,AM,821695405,Functional Connectivity,26,18,0.3076923076923077,18,10,3.703645526198945,-0.9356287228538767,-0.0659802009013264,0.5719615684239457,0.0333222005024365
ttfs_ms,LM,829720705,Functional Connectivity,63,51,0.19047619047619047,46,18,4.531294270547456,-0.2923536772800399,-0.0657235380893702,0.998284698331621,0.1531833738341397
ttfs_ms,AM,829720705,Functional Connectivity,30,24,0.19999999999999996,46,12,4.46913415714272,-0.5363707543597372,-0.20235985105984686,1.4153397144975466,0.14810289211423266
ttfs_ms,AL,831882777,Functional Connectivity,47,43,0.08510638297872342,35,14,4.869191411211374,0.3338603849981517,-0.07425028801280271,0.938663572999196,0.226131700296509
ttfs_ms,PM,831882777,Functional Connectivity,9,7,0.2222222222222222,35,5,3.7157161645486765,-0.13973377293658246,-0.11900046783965726,1.098913607973092,0.2192345341311447
ttfs_ms,AM,831882777,Functional Connectivity,19,15,0.21052631578947367,35,8,4.84673312948016,-0.004558356397891807,-0.05535943070689034,1.0753256369235566,0.34279047270366525
ttfs_ms,LM,835479236,Functional Connectivity,57,49,0.14035087719298245,42,15,4.758657718377556,-1.317126884454002,-0.1956946094830521,0.06170821818982191,-0.10972655561534002
ttfs_ms,RL,835479236,Functional Connectivity,12,8,0.33333333333333337,42,5,4.455056691147487,-1.6900067182146619,-0.2376179130130998,-1.0982254371481128,-0.2296056189578539
ttfs_ms,LM,839068429,Functional Connectivity,14,14,0.0,81,5,4.959081629613412,-2.64141067563098,-0.3847142560307084,3.231737700445122,0.2741993318075082
ttfs_ms,PM,839068429,Functional Connectivity,29,21,0.27586206896551724,81,13,4.985715198563036,0.229136196310626,0.09939158579300492,1.178642680079225,0.06647746848879856
ttfs_ms,AM,839068429,Functional Connectivity,12,11,0.08333333333333337,81,9,2.52152895011989,-1.565128683621351,-0.013817603842302897,0.7600852247649112,-0.05679216764410138
