outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions
ttfs_ms,unadjusted_full,Intercept,64.32507335099537,0.5060751901698611,0.0,63.333184204793184,65.31696249719755,12265,54
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.LM]",3.4271292795971124,0.735805710915999,3.198313282009294e-06,1.984976586582864,4.869281972611361,12265,54
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.RL]",5.933895970751961,0.8831269444574997,1.8274000950240635e-11,4.202998965838357,7.6647929756655655,12265,54
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AL]",4.063356809447905,0.7592918132950958,8.722390245207411e-08,2.575172201633406,5.551541417262404,12265,54
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.PM]",10.567978316931349,0.9195348939180373,1.4348219471611402e-30,8.765723042324137,12.370233591538561,12265,54
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AM]",8.965477912149804,0.6368882048746124,5.259247293660845e-45,7.717199968417197,10.213755855882411,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.719161530],1.553583754233923,0.2601965520324219,2.3608088754316223e-09,1.0436078833488738,2.0635596251189723,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.721123822],-4.351638075639741,0.20770521501556363,1.8361888205581374e-97,-4.758732816471394,-3.9445433348080883,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.732592105],-4.300065033292785,0.20884584671601758,3.3974263346699465e-94,-4.709395371176953,-3.8907346954086184,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.737581020],-3.673303226043635,0.07532497280498492,0.0,-3.8209374598778645,-3.5256689922094058,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.739448407],-0.8972191494348252,0.18695295067362502,1.5932384897912626e-06,-1.2636401995586235,-0.5307980993110268,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.742951821],1.624025857942549,0.15199932024219456,1.2038833283878502e-26,1.3261126645932777,1.9219390512918204,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.744228101],-5.459954564516707,0.21032662289015994,1.4238500198381419e-148,-5.872187170371358,-5.047721958662056,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.746083955],-6.0679633922757645,0.28093051636763605,1.8150416466294185e-103,-6.618577086514572,-5.517349698036957,12265,54
ttfs_ms,unadjusted_full,C(session_id)[T.750332458],3.8451780020274233,0.1995655582181141,1.002109159900007e-82,3.4540366953652883,4.236319308689558,12265,54
