outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions,area
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.LM]",3.4271292795971124,0.735805710915999,3.198313282009294e-06,1.984976586582864,4.869281972611361,12265,54,LM
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.RL]",5.933895970751961,0.8831269444574997,1.8274000950240635e-11,4.202998965838357,7.6647929756655655,12265,54,RL
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AL]",4.063356809447905,0.7592918132950958,8.722390245207411e-08,2.575172201633406,5.551541417262404,12265,54,AL
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.PM]",10.567978316931349,0.9195348939180373,1.4348219471611402e-30,8.765723042324137,12.370233591538561,12265,54,PM
ttfs_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AM]",8.965477912149804,0.6368882048746124,5.259247293660845e-45,7.717199968417197,10.213755855882411,12265,54,AM
ttfs_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",2.9232827417267737,0.6992169671593849,2.904917779613066e-05,1.5528426687150536,4.293722814738494,5814,54,LM
ttfs_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",4.052150060489808,1.121852307151955,0.0003038241673748659,1.8533599424988094,6.250940178480807,5814,54,RL
ttfs_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",2.7477344976221274,0.849501730998641,0.0012184529759301447,1.0827417000603579,4.412727295183897,5814,54,AL
ttfs_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",9.74462082101253,1.0134586048876406,6.896615235075983e-22,7.7582784556105455,11.730963186414515,5814,54,PM
ttfs_ms,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",8.483233073231695,0.8352314390674856,3.0922685464454367e-24,6.846209533903862,10.120256612559528,5814,54,AM
ttfs_ms,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",1.1307783810146226,0.7891559956771154,0.15188759265060403,-0.41593894869637005,2.677495710725615,5814,54,LM
