outcome,area,session_id,cohort,n_hva_available,n_hva_matched,hva_discarded_fraction,n_v1_candidates,n_unique_v1_matched,hva_mean,matched_v1_mean,matched_difference_hva_minus_v1,mean_match_distance_deg,median_match_distance_deg
ttfs_ms,RL,715093703,Brain Observatory 1.1,30,17,0.43333333333333335,36,7,66.88235294117646,65.05882352941177,1.8235294117646959,6.098904120091403,7.2886898685566255
ttfs_ms,PM,715093703,Brain Observatory 1.1,18,14,0.2222222222222222,36,9,72.78571428571429,67.64285714285714,5.142857142857153,4.82029356127896,3.9417422679785323
ttfs_ms,LM,719161530,Brain Observatory 1.1,34,27,0.20588235294117652,43,10,67.74074074074072,63.70370370370369,4.037037037037031,4.09334334267603,2.9719436401116353
ttfs_ms,AL,719161530,Brain Observatory 1.1,13,6,0.5384615384615384,43,3,77.83333333333331,64.99999999999996,12.833333333333357,4.959721509323295,4.192627457812106
ttfs_ms,AM,719161530,Brain Observatory 1.1,24,21,0.125,43,12,74.42857142857143,72.76190476190476,1.6666666666666714,3.236939867595513,2.7950849718747373
ttfs_ms,RL,721123822,Brain Observatory 1.1,9,7,0.2222222222222222,27,4,67.14285714285712,67.14285714285714,-1.4210854715202004e-14,6.913685808508599,7.87716814597734
ttfs_ms,AL,721123822,Brain Observatory 1.1,14,7,0.5,27,5,71.85714285714286,72.85714285714286,-1.0,6.576152750284014,8.0
ttfs_ms,AM,721123822,Brain Observatory 1.1,18,16,0.11111111111111116,27,9,61.18749999999999,68.5625,-7.375000000000007,5.458184169993989,5.41547594742265
ttfs_ms,AL,732592105,Brain Observatory 1.1,9,7,0.2222222222222222,111,5,69.99999999999999,46.85714285714284,23.142857142857146,5.444139059052555,5.5659670318822405
ttfs_ms,PM,732592105,Brain Observatory 1.1,40,37,0.07499999999999996,111,22,63.189189189189186,52.43243243243242,10.756756756756765,2.9660142636535527,2.04816722950056
ttfs_ms,LM,739448407,Brain Observatory 1.1,37,35,0.05405405405405406,22,12,64.4,77.02857142857142,-12.62857142857142,5.1905004692503525,4.999999999999998
ttfs_ms,RL,746083955,Brain Observatory 1.1,35,35,0.0,28,13,65.97142857142858,63.799999999999976,2.1714285714285992,4.0537725652162555,4.5069390943299865
ttfs_ms,PM,746083955,Brain Observatory 1.1,39,35,0.10256410256410253,28,19,63.34285714285713,56.6,6.742857142857126,3.9275883580166036,3.7710005303632603
ttfs_ms,LM,750332458,Brain Observatory 1.1,13,8,0.3846153846153846,35,4,72.62499999999999,63.125,9.499999999999986,5.974463846247444,6.516379626418065
ttfs_ms,AL,750332458,Brain Observatory 1.1,25,7,0.72,35,4,63.57142857142857,64.4285714285714,-0.8571428571428328,5.90109765549233,6.373774391990981
ttfs_ms,AM,750332458,Brain Observatory 1.1,30,20,0.33333333333333337,35,12,72.9,64.5,8.400000000000006,4.598507251282356,4.853289998766492
ttfs_ms,LM,750749662,Brain Observatory 1.1,7,6,0.1428571428571429,32,4,67.16666666666664,83.0,-15.833333333333357,6.67687915548499,7.002833278045848
ttfs_ms,RL,750749662,Brain Observatory 1.1,19,18,0.052631578947368474,32,5,68.16666666666664,67.44444444444444,0.7222222222222001,5.700783832581317,5.371597533714635
ttfs_ms,AL,750749662,Brain Observatory 1.1,23,9,0.6086956521739131,32,4,60.22222222222221,82.33333333333333,-22.11111111111112,5.766843252666754,5.758436593381932
ttfs_ms,AM,750749662,Brain Observatory 1.1,14,9,0.3571428571428571,32,6,70.77777777777777,78.22222222222223,-7.444444444444457,5.300528263023796,5.050722324578932
ttfs_ms,LM,751348571,Brain Observatory 1.1,16,10,0.375,35,5,74.39999999999999,51.6,22.79999999999999,5.778904210025255,5.295084971874737
ttfs_ms,RL,751348571,Brain Observatory 1.1,20,7,0.65,35,4,76.28571428571429,80.85714285714286,-4.571428571428569,5.439872839133029,5.439894208530162
ttfs_ms,AM,751348571,Brain Observatory 1.1,17,14,0.17647058823529416,35,6,74.07142857142857,63.142857142857146,10.928571428571423,4.75405866720735,4.464499999999999
ttfs_ms,RL,754312389,Brain Observatory 1.1,9,5,0.4444444444444444,86,3,75.6,55.2,20.39999999999999,3.5030548652217006,2.874689026660103
ttfs_ms,PM,754312389,Brain Observatory 1.1,12,11,0.08333333333333337,86,8,68.54545454545452,63.727272727272705,4.818181818181813,3.4960664772378762,3.0
ttfs_ms,AM,754312389,Brain Observatory 1.1,24,21,0.125,86,13,69.23809523809524,56.80952380952379,12.428571428571452,3.620016432737116,3.952847075210474
ttfs_ms,AM,754829445,Brain Observatory 1.1,28,14,0.5,65,6,70.2142857142857,65.99999999999999,4.214285714285708,6.154675930263456,8.14183290979079
ttfs_ms,LM,755434585,Brain Observatory 1.1,21,17,0.19047619047619047,50,8,62.29411764705881,64.88235294117646,-2.588235294117652,4.0825568006465875,2.591004824387634
ttfs_ms,PM,755434585,Brain Observatory 1.1,38,14,0.631578947368421,50,6,72.07142857142857,59.5,12.57142857142857,5.767673726355395,6.2516491912874255
ttfs_ms,AM,755434585,Brain Observatory 1.1,40,31,0.22499999999999998,50,14,71.09677419354837,64.41935483870968,6.67741935483869,4.984361281952688,4.249444434276088
ttfs_ms,AM,756029989,Brain Observatory 1.1,31,29,0.06451612903225812,35,14,72.03448275862068,71.06896551724138,0.9655172413793025,3.3571842095983926,2.5
ttfs_ms,LM,757216464,Brain Observatory 1.1,25,22,0.12,70,7,74.45454545454545,75.0454545454545,-0.5909090909090509,5.334618036777485,4.929706206519628
ttfs_ms,RL,757216464,Brain Observatory 1.1,13,11,0.15384615384615385,70,7,66.0909090909091,79.27272727272727,-13.181818181818173,4.935170646082292,5.555999999999997
ttfs_ms,AL,757216464,Brain Observatory 1.1,19,6,0.6842105263157895,70,3,71.16666666666664,53.833333333333314,17.33333333333333,6.376428654687696,7.632443016381375
ttfs_ms,AM,757216464,Brain Observatory 1.1,11,6,0.4545454545454546,70,6,67.5,67.99999999999999,-0.4999999999999858,4.352520913018584,2.431499573582777
ttfs_ms,RL,757970808,Brain Observatory 1.1,47,41,0.12765957446808507,53,21,70.12195121951217,73.87804878048779,-3.7560975609756184,3.127877970226957,2.5
ttfs_ms,AM,757970808,Brain Observatory 1.1,21,14,0.33333333333333337,53,7,67.0,85.14285714285711,-18.14285714285711,4.35389854773691,4.7319915770859176
