model,azimuth_convention,cortical_reflection,objective,penetration_rf_rmse_deg,penetration_median_vector_error_deg,mean_named_area_distance_px,penetrations_in_named_area,penetrations
joint_anatomy_rf,native,-1,8.81941356,34.9777249,46.1908427,16.0483655,0,4
joint_anatomy_rf,native,1,1.23498231,14.9808685,14.0872294,0.0273608563,4,4
joint_anatomy_rf,100_minus_azimuth,-1,6.67419144,20.1226848,22.4438928,16.1477378,0,4
joint_anatomy_rf,100_minus_azimuth,1,0.345066253,7.52663192,1.0409622,0,4,4
rf_only,native,-1,0.404730478,7.71906307,3.26765488,131.618977,1,4
rf_only,native,1,0.0928328115,2.56163992,1.63138423,141.918826,0,4
rf_only,100_minus_azimuth,-1,0.0400501537,1.82696984,2.37078072,84.3275232,0,4
rf_only,100_minus_azimuth,1,0.258874967,6.13966306,1.58101911,77.2509009,1,4
