ecephys_probe_id,ecephys_structure_acronym,units,ccf_ap_mm,ccf_ml_mm,rf_azimuth_deg,rf_azimuth_iqr_deg,rf_elevation_deg,rf_elevation_iqr_deg,zhuang_area,template_x_px,template_y_px,target_azimuth_deg,target_elevation_deg,predicted_azimuth_deg,predicted_elevation_deg,display_observed_azimuth_deg,display_observed_elevation_deg,display_predicted_azimuth_deg,display_predicted_elevation_deg,azimuth_residual_deg,elevation_residual_deg,rf_vector_error_deg,named_area_distance_px,inside_named_area,model
760642621,VISam,58,7.5995,7.863,52.4421007,27.3709628,-3.16799305,15.4112867,AM,271.883044,80.5459451,47.5578993,-3.16799305,47.6088912,-3.88655964,52.4421007,-3.16799305,52.3911088,-3.88655964,0.0509918553,-0.718566593,0.720373596,0,True,joint_anatomy_rf
760642628,VISp,100,8.932,8.329,57.7818379,5.17837572,5.36302344,4.22933727,V1,227.151724,256.99996,42.2181621,5.36302344,42.6264356,4.99999644,57.7818379,5.36302344,57.3735644,4.99999644,0.408273477,-0.363026995,0.546329417,0,True,joint_anatomy_rf
760642631,VISl,20,9.004,9.6495,66.3308141,10.8453439,7.78753731,6.65847582,LM,65.9999476,262.999999,33.6691859,7.78753731,35.0000231,7.49997343,66.3308141,7.78753731,64.9999769,7.49997343,1.33083719,-0.287563879,1.36155081,0,True,joint_anatomy_rf
760642634,VISal,12,8.2825,9.466,72.2611936,19.985496,26.2191958,17.2231062,AL,81.786548,167.268817,27.7388064,26.2191958,27.213452,5,72.2611936,26.2191958,72.786548,5,-0.525354444,-21.2191958,21.2256983,0,True,joint_anatomy_rf
760642621,VISam,58,7.5995,7.863,52.4421007,27.3709628,-3.16799305,15.4112867,AM,331.000006,166.33701,47.5578993,-3.16799305,45.873297,0,52.4421007,-3.16799305,54.126703,0,-1.68460234,3.16799305,3.58804473,69.9114158,False,rf_only
760642628,VISp,100,8.932,8.329,57.7818379,5.17837572,5.36302344,4.22933727,V1,65.1469857,137.063631,42.2181621,5.36302344,42.4056684,3.52404705,57.7818379,5.36302344,57.5943316,3.52404705,0.187506346,-1.83897638,1.84851096,92.8620182,False,rf_only
760642631,VISl,20,9.004,9.6495,66.3308141,10.8453439,7.78753731,6.65847582,LM,31.0000049,298.524205,33.6691859,7.78753731,35.2635365,10.2016184,66.3308141,7.78753731,64.7364635,10.2016184,1.59435054,2.41408108,2.89305048,29.5792814,False,rf_only
760642634,VISal,12,8.2825,9.466,72.2611936,19.985496,26.2191958,17.2231062,AL,173.89865,323.037307,27.7388064,26.2191958,26.369503,25.8108338,72.2611936,26.2191958,73.630497,25.8108338,-1.36930345,-0.408362036,1.4288987,144.957378,False,rf_only
