stimulus_presentation_id,stimulus_block,start_time,stop_time,Speed,color,contrast,orientation,frame,coherence,phase,y_position,spatial_frequency,size,Dir,x_position,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1759,0.0,515.22664,515.47684,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25020743,84,,,0,,False,4,train,0
1760,0.0,515.47684,515.72705,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25020743,212,,,0,,False,8,test,2
1761,0.0,515.72705,515.97726,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25020757,8,,,0,,False,6,train,1
1762,0.0,515.97726,516.22747,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25020757,202,,,0,,False,4,train,0
1763,0.0,516.22747,516.47767,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020757,242,,,0,,False,4,train,1
1764,0.0,516.47767,516.72788,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25020757,195,,,0,,False,8,test,0
1765,0.0,516.72788,516.9781,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25021493,205,,,0,,False,5,test,1
1766,0.0,516.9781,517.22831,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25021493,219,,,0,,False,9,train,2
1767,0.0,517.22831,517.47853,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25021493,22,,,0,,False,7,train,2
1768,0.0,517.47853,517.72874,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25021493,133,,,0,,False,7,train,1
1769,0.0,517.72874,517.97895,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,20.0,gabors,4.0,0.25020507,34,,,0,,False,9,train,2
1770,0.0,517.97895,518.22915,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25020507,180,,,0,,False,6,train,0
1771,0.0,518.22915,518.47936,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020507,95,,,0,,False,7,train,2
1772,0.0,518.47936,518.72956,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25020507,220,,,0,,False,6,train,1
1773,0.0,518.72956,518.97978,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25022243,86,,,0,,False,10,train,1
1774,0.0,518.97978,519.23001,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25022243,135,,,0,,False,5,test,1
1775,0.0,519.23001,519.48023,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25022243,149,,,0,,False,8,test,1
1776,0.0,519.48023,519.73045,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25022243,134,,,0,,False,5,test,0
1777,0.0,519.73045,519.98065,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25019507,152,,,0,,False,8,test,1
1778,0.0,519.98065,520.23084,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25019507,82,,,0,,False,6,train,1
1779,0.0,520.23084,520.48104,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25019507,63,,,0,,False,8,test,1
