ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
739448407,interior_v1_rf_size_translation,3.58555,13.3333,0,0,0,0,0.847986,0.263748,0.584238,0.152014,0.812506,2.25,3.75,False,1
742951821,interior_v1_rf_size_translation,20,6.56072,0,0,0,0,0.876715,0.396263,0.480453,0.127843,0.780955,,9.75,False,1
744228101,interior_v1_rf_size_translation,-8.11646,22.9628,0,0,0,0,1.72373,0.600992,1.12274,-0.723734,0.636276,0.75,0.75,False,1
746083955,interior_v1_rf_size_translation,17.3336,5.31403,0,0,0,0,0.467127,0.20975,0.257378,0.532873,0.921727,1.5,4.5,False,1
750332458,interior_v1_rf_size_translation,-0.0381638,-5.33346,0,0,0,0,0.240149,0.15826,0.0818893,0.759851,0.853119,15,5.25,False,1
750749662,interior_v1_rf_size_translation,14.46,22.6667,0,0,0,0,1.29323,0.573453,0.719774,-0.293227,0.715696,6,2.25,False,1
751348571,interior_v1_rf_size_translation,-5.34272,2.66687,0,0,0,0,0.273015,0.136677,0.136338,0.727297,0.877586,5.25,2.25,False,1
754312389,interior_v1_rf_size_translation,25.3388,0.000437301,0,0,0,0,1.24947,0.508864,0.740609,-0.249205,0.747958,1.5,2.25,False,1
754829445,interior_v1_rf_size_translation,3.9992,1.33616,0,0,0,0,0.217877,0.1261,0.0917773,0.782123,0.881011,3,0.75,False,1
755434585,interior_v1_rf_size_translation,26.6727,1.42069,0,0,0,0,0.871363,0.483378,0.387985,0.128927,0.802003,3,4.5,False,1
756029989,interior_v1_rf_size_translation,21.3318,-13.3347,0,0,0,0,1.04456,0.449932,0.594623,-0.0437991,0.803213,3,3.75,False,1
757216464,interior_v1_rf_size_translation,-4.00525,-5.33596,0,0,0,0,0.45009,0.139406,0.310684,0.54991,0.878399,3.75,1.5,False,1
757970808,interior_v1_rf_size_translation,-20.0001,-0.355447,0,0,0,0,1.37149,0.404529,0.966959,-0.369645,0.755522,1.5,6.75,False,1
758798717,interior_v1_rf_size_translation,17.3262,-2.66684,0,0,0,0,0.711532,0.329603,0.381928,0.288468,0.79332,4.5,1.5,False,1
759883607,interior_v1_rf_size_translation,13.317,-1.33345,0,0,0,0,0.836943,0.335979,0.500964,0.163057,0.735669,3,2.25,False,1
760345702,interior_v1_rf_size_translation,3.99995,3.83505,0,0,0,0,0.549182,0.410261,0.138921,0.450818,0.602022,1.5,6,False,1
760693773,interior_v1_rf_size_translation,-4.06029,-15.4422,0,0,0,0,1.24053,0.634586,0.605946,-0.240533,0.467393,1.5,3,False,1
761418226,interior_v1_rf_size_translation,-12.4699,17.3334,0,0,0,0,1.76151,0.731678,1.02983,-0.760712,0.450699,0.75,1.5,False,1
762120172,interior_v1_rf_size_translation,-2.66223,2.67421,0,0,0,0,0.189889,0.133829,0.0560596,0.81097,0.871867,12.75,3,False,1
762602078,interior_v1_rf_size_translation,-21.3282,15.999,0,0,0,0,1.63371,0.727014,0.906696,-0.63371,0.55733,,,False,1
763673393,interior_v1_rf_size_translation,8.00001,-25.3362,0,0,0,0,1.69578,0.444445,1.25134,-0.695034,0.837925,0,0,False,1
773418906,interior_v1_rf_size_translation,6.51438,-2.66668,0,0,0,0,0.308435,0.200253,0.108183,0.691565,0.819567,6,2.25,False,1
791319847,interior_v1_rf_size_translation,-1.33389,16.0038,0,0,0,0,0.688943,0.465715,0.223228,0.311635,0.637446,5.25,4.5,False,1
797828357,interior_v1_rf_size_translation,-1.33426,-22.6733,0,0,0,0,1.10311,0.385809,0.717296,-0.10215,0.820535,5.25,5.25,False,1
798911424,interior_v1_rf_size_translation,24.0094,-5.33339,0,0,0,0,0.981448,0.373938,0.607509,0.0188298,0.86802,6,0,False,1
799864342,interior_v1_rf_size_translation,-27.9989,-4.00159,0,0,0,0,0.789961,0.464135,0.325826,0.210039,0.855845,3,2.25,False,1
